@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1013 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1510 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0.104396,0,0,0.00367,0,0,0,0.436773,0.460740,0.532072,0
9,0.012012,0.005255,0,0.000751,0.001503,0,0,0,0.641987,0.687931,0.797277,1
9,0.009569,0.028708,0,0,0.019231,0,0,0,0.381129,0.400744,0.459570,0
9,0,0.171642,0,0,0.022556,0,0,0,0.269917,0.278085,0.310999,0
9,0.007874,0,0,0,0.007937,0,0,0,0.046057,0.045936,0.037928,1
9,0.038321,0.012774,0,0,0.003656,0,0,0,0.261898,0.281265,0.313556,0
9,0.04497,0.004573,0,0,0.000763,0,0,0,0.478613,0.513948,0.593374,0
9,0.006329,0.006329,0,0,0.012739,0,0,0,0.391546,0.416605,0.476109,0
9,0,0.044776,0,0,0.026168,0,0,0,0.288600,0.295233,0.329384,0
9,0,0.015267,0,0,0.023077,0,0,0,0.518491,0.546955,0.631890,0
9,0,0.042936,0,0,0.009709,0,0,0,0.583102,0.619324,0.716708,0
9,0.003182,0.005569,0,0,0.003185,0,0,0,0.742093,0.793541,0.922293,0
9,0,0.012195,0,0,0.01227,0,0,0,0.612745,0.647468,0.749625,0
9,0.00708,0.086726,0,0,0.019504,0,0,0,0.233557,0.237954,0.261366,0
9,0,0.027027,0,0,0.018182,0,0,0,0.419922,0.437186,0.502237,1
9,0,0.032755,0,0,0.005792,0,0,0,0.371170,0.390597,0.441647,0
9,0.002796,0.00932,0,0.000933,0.003731,0,0,0,0.771575,0.825956,0.960578,0
9,0,0,0,0,0.020134,0,0,0,0.524646,0.551789,0.636724,0
9,0.001957,0.048924,0,0,0.017647,0,0,0,0.266084,0.271907,0.304295,0
9,0,0.108333,0,0,0.02521,0,0,0,0.399034,0.420452,0.483904,0
9,0,0.118699,0,0,0.006515,0,0,0,0.455510,0.480644,0.557097,0
9,0.00237,0.004739,0,0,0.005534,0,0,0,0.758763,0.812615,0.944713,0
9,0,0.005051,0,0,0.030457,0,0,0,0.633172,0.670809,0.778723,0
9,0,0.099839,0,0,0.004839,0,0,0,0.291181,0.303331,0.335809,0
9,0,0.076923,0,0,0.015504,0,0,0,0.360089,0.379397,0.433093,0
9,0,0.108772,0,0,0.010545,0,0,0,0.468204,0.493713,0.569824,0
9,0.002913,0.009709,0,0,0.002915,0,0,0,0.800376,0.857169,0.996819,0
9,0,0.038043,0,0,0.027322,0,0,0,0.611629,0.647530,0.751017,0
9,0,0.171429,0,0,0.013554,0,0,0,0.284251,0.294555,0.329592,0
9,0,0,0,0,0,0,0,0,0.358576,0.375842,0.423490,0
9,0,0.09403,0,0,0.00299,0,0,0,0.512043,0.544286,0.628217,1
9,0.012163,0.004231,0,0,0.004233,0,0,0,0.713572,0.764635,0.888670,2
9,0,0.036842,0,0,0.005291,0,0,0,0.549068,0.582267,0.671226,0
9,0,0.149912,0,0,0.022968,0,0,0,0.278791,0.286226,0.320972,1
9,0,0,0,0,0.012821,0,0,0,0.486528,0.513532,0.591797,0
9,0.004167,0.120833,0,0,0,0,0,0,0.418769,0.441273,0.507965,0
9,0.014039,0.00432,0,0,0.001081,0,0,0,0.616255,0.659312,0.763925,0
9,0,0.064516,0,0,0.019481,0,0,0,0.562805,0.595088,0.689738,0
9,0.007547,0.090566,0,0,0.015123,0,0,0,0.176316,0.182154,0.193552,0
9,0,0,0,0,0.03125,0,0,0,0.543590,0.573085,0.661247,1
9,0,0.111702,0,0,0.003552,0,0,0,0.429403,0.451396,0.521782,0
9,0.000997,0.010967,0,0,0.003992,0,0,0,0.769623,0.824247,0.956928,0
9,0,0.020305,0,0,0.02551,0,0,0,0.618338,0.653308,0.757328,0
9,0,0.18138,0,0,0.014469,0,0,0,0.267287,0.276343,0.309748,0
9,0,0.008547,0,0,0.017241,0,0,0,0.244237,0.252378,0.281931,0
9,0.004794,0.078619,0,0,0.004798,0,0,0,0.398193,0.421603,0.483938,0
9,0.017062,0.011374,0,0,0.001898,0,0,0,0.628053,0.672765,0.780020,0
9,0,0.00463,0,0,0.046512,0,0,0,0.565896,0.596047,0.690557,0
9,0.010033,0.128763,0,0,0.01005,0,0,0,0.234905,0.245742,0.270087,0
9,0.035928,0.005988,0,0,0.006024,0,0,0,0.326383,0.345969,0.393290,1
9,0.046398,0.021978,0,0,0.003667,0,0,0,0.203917,0.220950,0.243697,0
9,0.033708,0.003745,0,0,0.00375,0,0,0,0.447184,0.479129,0.551767,0
9,0.091892,0.005405,0,0,0.021739,0,0,0,0.360684,0.381425,0.436042,0
9,0,0.101289,0,0,0.01107,0,0,0,0.216771,0.220454,0.240062,0
9,0,0.025,0,0,0.02521,0,0,0,0.374280,0.391241,0.446296,0
9,0.017493,0.049563,0,0,0.00292,0,0,0,0.450641,0.479503,0.551424,0
9,0.01056,0,0,0,0.003171,0,0,0,0.750877,0.804184,0.935545,0
9,0,0.005525,0,0,0.033333,0,0,0,0.597001,0.630684,0.731438,0
9,0,0.101868,0,0,0.015306,0,0,0,0.318513,0.331043,0.372716,0
9,0,0.068966,0,0,0.017391,0,0,0,0.338912,0.352874,0.400672,0
9,0.007491,0.129213,0,0,0.005629,0,0,0,0.445441,0.470059,0.542838,0
9,0,0.004594,0,0,0.006897,0,0,0.000766,0.771846,0.825416,0.959575,1
9,0,0.033149,0,0,0.016667,0,0,0,0.609611,0.645813,0.749818,0
