@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0.101083,0,0,0.012658,0,0.265280,0.270585,0.297906,0
9,0,0.13,0,0,0.010101,0,0.254002,0.266880,0.298541,0
9,0,0.063319,0,0,0.003279,0,0.623080,0.664347,0.770111,0
9,0,0.011059,0,0,0.003494,0,0.738433,0.789988,0.917163,1
9,0,0.01005,0,0,0.015152,0,0.678765,0.722725,0.838812,0
9,0,0.151803,0,0,0.013308,0,0.321295,0.333814,0.376131,0
9,0,0.134454,0,0,0.008475,0,0.485978,0.511704,0.593238,0
9,0,0.072654,0,0,0.010101,0,0.548275,0.581202,0.670769,0
9,0.00534,0.010236,0,0,0.003562,0,0.795345,0.851928,0.990842,1
9,0,0,0,0,0.030303,0,0.671130,0.710580,0.824788,0
9,0,0.020833,0,0,0.003795,0,0.321825,0.333043,0.371472,0
9,0.026144,0.045752,0,0,0.006579,0,0.058683,0.066532,0.058681,2
9,0.008905,0.09528,0,0,0.000891,0,0.372598,0.396260,0.456019,2
9,0.001359,0.004076,0,0,0.00136,0,0.763043,0.816838,0.948785,2
9,0,0,0,0,0.011561,0,0.571785,0.603521,0.697809,0
9,0,0.060764,0,0,0.010435,0,0.273987,0.279800,0.308565,0
9,0,0.1,0,0,0,0,0.489348,0.514506,0.593824,2
9,0,0.072602,0,0,0.002595,0,0.567442,0.602814,0.697924,1
9,0,0.004942,0,0,0.000824,0,0.738073,0.790400,0.915680,1
9,0,0,0,0,0.038462,0,0.537791,0.563992,0.653397,0
9,0,0.082892,0,0,0.021201,0,0.288847,0.293352,0.326866,0
9,0,0.111675,0,0,0.010204,0,0.410363,0.429131,0.493710,1
9,0.005525,0.063536,0,0,0.006916,0,0.460402,0.486595,0.560927,0
9,0.021898,0.004866,0,0,0.002435,0,0.642537,0.687262,0.796647,0
9,0,0.017544,0,0,0.023529,0,0.468097,0.491762,0.564963,0
9,0,0.093439,0,0,0.007968,0,0.301877,0.312707,0.350532,0
9,0,0.14433,0,0,0.005181,0,0.605591,0.645583,0.749991,0
9,0,0.048641,0,0,0.008596,0,0.567309,0.602307,0.694445,0
9,0,0.003371,0,0,0.00225,0,0.836610,0.896429,1.042846,0
