@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature3 numeric
@attribute psy_feature5 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data
4,2,0.950341,3.831747,0.917501,0
5,9,-0.076758,4.150492,1.346525,1
1,2,0.444226,3.64003,0.879459,0
2,8,0.029938,3.250854,0.738603,0
3,2,0.07154,3.13997,0.581069,0
4,2,0.874186,3.05365,0.982467,0
5,7,-0.226791,3.752728,0.980837,0
1,2,0.061697,4.984469,0.950012,0
2,8,0.127284,4.892,0.920205,0
3,7,0.166968,4.414368,0.898498,1
4,2,0.883029,2.440765,0.911802,0
5,7,-0.114208,4.977835,0.893058,0
1,2,0.413147,5.77454,1.00908,0
2,8,0.145859,3.853193,1.087585,0
3,5,0.104985,3.006312,1.170438,0
4,2,1.537946,6.408688,1.079346,0
5,7,-0.377724,3.710599,1.106781,0
1,2,0.100312,5.387828,0.858129,0
2,8,-0.176794,5.013164,1.137621,0
3,4,-0.030753,3.506631,0.761698,0
4,2,1.270495,3.513744,0.933457,0
5,7,-0.171456,4.205279,0.973204,0
1,2,0.342217,5.624294,1.179722,0
2,8,0.111768,4.629398,0.86382,0
3,7,0.356222,3.739454,0.990805,0
4,2,0.817149,2.709784,0.942575,0
5,7,-0.37711,5.229867,1.094637,0
1,2,-0.285313,5.306196,0.845002,0
2,8,0.007947,3.733265,0.686535,0
3,7,0.390194,3.624596,0.637681,0
4,2,0.824399,3.336079,0.902684,0
5,7,-0.137315,4.985496,0.960367,1
1,2,0.221265,6.049521,0.899148,0
2,8,-0.045668,4.852233,0.701012,0
3,6,0.499306,3.869079,0.722185,1
4,2,0.302054,2.801379,0.949414,0
5,7,-0.180892,4.620474,0.897221,0
1,2,0.678295,6.480149,0.758041,0
2,8,-0.072206,3.260765,0.772637,0
3,3,0.943991,4.067144,0.705251,0
4,2,1.121968,3.791195,0.981327,0
5,7,-0.29501,6.652536,1.204969,0
1,2,-0.154288,4.096242,0.812187,0
2,8,-0.127578,3.18945,1.081743,0
3,5,0.306951,3.7363,0.644156,0
4,2,0.830764,3.996101,1.006401,0
5,7,-0.041428,3.730318,0.861832,0
1,2,-0.349135,4.819002,1.128858,1
2,14,0.085322,4.238523,2.597555,2
3,6,0.082328,4.220442,1.072321,2
4,3,0.890988,3.351985,0.936876,0
5,7,-0.210431,5.149257,0.948917,2
1,2,0.778319,5.661878,0.892585,0
2,10,0.051495,4.04139,1.278839,0
3,7,0.633367,3.437098,1.070993,0
4,2,0.987282,2.84464,0.914081,0
5,7,-0.461608,5.123771,1.037043,0
1,2,0.408317,4.151927,0.854847,0
2,8,0.019064,4.201903,0.858486,0
3,6,0.073973,3.295283,0.951293,0
4,2,0.86134,3.186567,0.935737,0
5,6,-0.256271,4.554069,0.767807,0
1,2,0.058358,6.101586,0.974624,0
2,8,-0.007119,4.702139,0.886933,0
3,4,0.27426,4.769537,1.242325,1
4,2,1.158726,3.006776,0.847976,0
5,7,-0.253322,3.703772,0.98847,0
1,2,0.332293,4.426246,0.897507,0
2,8,0.344487,3.059064,0.752572,0
3,7,0.486094,3.351255,0.857491,0
4,2,1.276635,3.523456,0.92206,0
5,7,-0.159765,3.757688,1.058207,0
1,2,0.118405,4.660529,0.826954,0
2,8,0.149853,3.968782,0.674597,0
3,3,0.474068,3.815871,0.585219,0
4,2,1.376673,2.739084,0.997283,0
5,7,-0.35679,4.289719,1.107822,1
1,2,-0.386757,2.488381,1.000877,0
2,9,-0.030991,3.687866,0.936207,1
3,5,-0.452523,3.541463,0.803535,0
4,2,0.856731,3.080117,0.87647,0
5,8,-0.00911,3.781682,2.092475,0
1,2,0.19392,4.961143,0.648109,0
2,10,-0.173346,4.093473,1.273505,0
3,5,0.195403,3.879328,0.904641,1
4,2,0.623516,4.229915,0.822901,0
5,7,-0.108896,5.030177,0.846913,0
1,2,0.295721,4.539792,0.826954,0
2,8,0.071456,3.890653,0.685773,0
3,4,0.357891,4.0526,0.619585,0
4,2,0.719939,4.126804,0.924339,0
5,7,-0.290873,4.804256,0.906936,0
1,2,-0.065038,5.269266,1.161673,1
2,8,0.077204,4.543385,0.99564,2
3,8,0.064945,4.473364,1.317532,2
4,2,0.517294,3.152967,1.088464,0
5,7,-0.080641,4.429462,1.010675,2
1,2,0.217747,4.222658,1.056663,0
2,8,-0.035068,3.485899,0.911824,0
3,7,-0.066185,3.585223,0.99479,1
4,2,1.086611,2.988807,0.957392,0
5,7,-0.098004,3.652439,0.874669,1
