@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature843 numeric
@attribute bi_feature888 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0,0,0.014679,0.001835,0.020183,0,0.283144,0.293083,0.334111,2
9,0.003831,0,0,0.006394,0,0.002558,0,0.535935,0.569818,0.679323,2
9,0.00252,0,0,0.001892,0.000631,0.001261,0,0.792495,0.851781,1.022883,2
9,0,0,0,0.012048,0,0.013769,0,0.276492,0.292345,0.334764,2
9,0.017493,0,0,0.007299,0,0.00292,0,0.450299,0.480553,0.569046,0
9,0,0,0,0,0,0.010582,0,0.312611,0.337699,0.394868,0
9,0,0,0,0,0,0.006289,0,0.567954,0.606848,0.721749,0
9,0,0,0,0.02521,0,0.033613,0,0.449505,0.472455,0.556879,0
9,0,0,0,0.022624,0,0.0181,0,0.685770,0.731121,0.874676,0
9,0,0,0,0.02454,0,0.02454,0,0.615376,0.651612,0.774822,0
9,0,0,0,0.005455,0,0.005455,0,0.487937,0.517782,0.615236,0
9,0.018868,0,0,0,0,0,0,0.339381,0.361058,0.418189,0
9,0,0,0,0.012821,0,0.019231,0,0.617507,0.658524,0.786965,0
9,0.00237,0,0,0.004743,0,0.005534,0,0.758040,0.814642,0.977754,0
9,0,0,0,0.017391,0,0.017391,0,0.338771,0.353782,0.410601,0
9,0.016529,0,0,0,0,0,0,0.163878,0.172197,0.193002,0
9,0,0,0,0,0,0.006289,0,0.564283,0.601991,0.719024,0
9,0,0,0,0.00641,0,0.012821,0,0.486177,0.514801,0.609980,0
9,0,0,0,0.038835,0,0.048544,0,0.433357,0.448089,0.530377,0
9,0.046398,0,0,0.003667,0.001222,0.003667,0,0.203613,0.221774,0.252117,0
9,0,0,0,0.003976,0,0.007952,0,0.546579,0.582737,0.691358,0
9,0.021127,0,0,0.010582,0,0.010582,0,0.193060,0.200319,0.218217,0
9,0,0,0,0.028736,0,0.028736,0,0.628904,0.668860,0.799648,0
9,0,0,0,0.027933,0,0.027933,0,0.656261,0.696664,0.830608,0
9,0,0,0,0.022556,0,0.022556,0,0.269970,0.278527,0.316568,0
9,0,0,0,0.030675,0,0.04908,0,0.518345,0.544587,0.644473,0
9,0,0,0,0.007968,0.003984,0.007968,0,0.301760,0.313333,0.357969,0
9,0.002796,0,0.000933,0.003731,0,0.003731,0,0.770855,0.827997,0.994003,0
9,0,0,0,0.007339,0,0.00367,0,0.436554,0.461444,0.547548,0
9,0.047927,0,0.001297,0.005188,0,0.003891,0,0.348985,0.372140,0.437741,1
9,0,0,0,0,0,0.008065,0,0.301595,0.323666,0.374649,1
9,0.035928,0,0,0,0,0.006024,0,0.326092,0.346963,0.405094,1
9,0,0,0,0.035714,0,0.02381,0,0.234568,0.235166,0.267901,1
9,0.00534,0,0,0.004007,0,0.003562,0,0.794567,0.854048,1.025561,1
9,0,0,0,0.003932,0,0.003932,0,0.564935,0.602951,0.715584,1
9,0.004702,0,0,0.010989,0.00157,0.012559,0.00157,0.253657,0.268417,0.300655,1
9,0,0,0,0.017668,0,0.022968,0,0.278845,0.286683,0.326636,1
9,0.040706,0.001359,0,0.008152,0,0.006793,0,0.266566,0.283734,0.329037,1
