@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute mono_feature25 numeric
@attribute bi_feature327 numeric
@attribute bi_feature1041 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.001275,0.01504,0.005608,0,0.00357,0,0.773049,0.822296,0.948852,1
0,0.182825,0.060942,0,0.002778,0,0.578092,0.604580,0.696958,2
0.037223,0.084507,0.077465,0,0.014595,0,0.393577,0.410364,0.463996,2
0,0.152174,0.005435,0,0,0,0.259627,0.260971,0.292205,0
0,0.099822,0.043672,0,0.015165,0,0.539883,0.567110,0.648240,0
0.056106,0.014521,0.013201,0,0.01321,0,0.550971,0.587309,0.672031,0
0.089655,0.158621,0,0,0,0,0.412012,0.426860,0.487884,0
0.009991,0.112625,0.049955,0,0.024545,0,0.346111,0.358710,0.400508,0
0.074534,0.111801,0.043478,0,0.0625,0,0.248675,0.254856,0.278970,0
0.006002,0.033613,0.029412,0,0.015616,0,0.686636,0.729722,0.838772,0
0,0.005692,0.014229,0,0.011959,0,0.852027,0.908235,1.049107,0
0,0.150735,0.003676,0,0.00369,0,0.640501,0.672630,0.774018,0
0,0.134541,0.086675,0,0.050518,0,0.256090,0.258912,0.282356,0
0,0.098837,0.081395,0,0.035088,0,0.257460,0.264246,0.291608,0
0.020558,0.093979,0.026432,0,0.011756,0,0.536765,0.566088,0.646753,0
0.021831,0.004245,0.005458,0,0.009709,0,0.744739,0.794271,0.916689,0
0.058309,0.037901,0,0,0,0,0.396343,0.419477,0.474978,0
0.021627,0.143151,0.048404,0,0.037113,0,0.255312,0.258449,0.280943,0
0.054913,0.034682,0.057803,0,0.02029,0,0.529085,0.561769,0.644846,2
0.003525,0.121034,0.036428,0,0.027059,0,0.440768,0.460954,0.519336,0
0,0.001672,0.010033,0,0.006693,0,0.862440,0.919871,1.062421,0
0,0.145594,0.065134,0,0.019231,0,0.548485,0.575743,0.661526,0
0,0.09185,0.117723,0,0.059585,0,0.296297,0.304588,0.334759,0
0,0.034965,0.27972,0,0.056338,0,0.157067,0.160461,0.168442,0
0,0.035437,0.062016,0,0.022173,0,0.610940,0.647442,0.743788,0
0.010496,0.005248,0.016221,0,0.008115,0,0.720970,0.768603,0.884720,0
0.028169,0.119718,0.003521,0,0,0,0.536053,0.561905,0.646246,0
0,0.22,0.197333,0,0.056075,0,0.242784,0.240296,0.265787,0
0,0.09434,0.050314,0,0.082278,0,0.480004,0.502697,0.572832,0
0,0.059524,0.039286,0,0.0441,0,0.583685,0.616702,0.704794,0
0,0.011121,0.003422,0,0.004281,0,0.896352,0.955558,1.105772,0
0,0.167315,0.003891,0,0.011719,0,0.604812,0.633615,0.729007,0
0,0.095528,0.075203,0,0.046796,0,0.324668,0.333080,0.372247,1
0,0.041667,0.10119,0,0.053892,0,0.459182,0.482883,0.546910,2
0,0.023548,0.076923,0,0.043991,0,0.601840,0.637271,0.730302,1
0.012672,0.013728,0.003168,0,0.003698,0,0.678940,0.723164,0.834321,1
0.043478,0.187291,0,0,0,0,0.454558,0.472360,0.541094,0
0.029151,0.031686,0.069708,0,0.031726,0,0.172349,0.182385,0.191265,0
0.068627,0.083333,0.186275,0,0.059113,0,0.274054,0.284349,0.320360,0
0.013198,0.026396,0.075127,0,0.005081,0,0.442292,0.471710,0.538097,0
0.002604,0.003472,0.006944,0,0.003475,0,0.838106,0.893990,1.033072,0
0.017241,0.12069,0.02069,0,0.00692,0,0.436689,0.456161,0.520439,0
0,0.078889,0.138889,0,0.046719,0,0.246831,0.250751,0.273916,0
0,0.062241,0.053942,0,0.033333,0,0.565383,0.596182,0.683753,1
0,0.079487,0.061538,0,0.019675,0,0.635578,0.671540,0.771098,2
0,0.006809,0.003891,0,0.009737,0,0.882982,0.941355,1.089064,1
0,0.064639,0.003802,0,0.034351,0,0.637797,0.672503,0.773197,0
0,0.086705,0.105973,0,0.041466,0,0.315082,0.323293,0.360030,2
0,0.063953,0.011628,0,0.005848,0,0.405692,0.419586,0.477941,0
0.007048,0.068128,0.065779,0,0.012539,0,0.603777,0.638236,0.733283,1
0,0.02049,0.007996,0,0.002,0,0.848993,0.903783,1.045368,2
0,0.084175,0.037037,0,0.013514,0,0.653260,0.689179,0.793944,1
0,0.079399,0.103004,0,0.116004,0,0.224316,0.227047,0.245246,1
0,0.152284,0.15736,0,0.010204,0,0.416121,0.430416,0.493787,2
0.000723,0.095445,0.110629,0,0.019537,0,0.469775,0.493268,0.562633,1
0.02725,0.004955,0.009083,0,0.008261,0,0.685235,0.731049,0.841151,0
0,0.05,0.038462,0,0.007722,0,0.656760,0.694400,0.799011,0
0,0.076426,0.160388,0,0.020474,0,0.332986,0.342026,0.384520,2
0.127551,0.015306,0.142857,0,0.051282,0,0.155443,0.159715,0.169557,0
0.001241,0.055831,0.032258,0,0.014277,0,0.630473,0.668758,0.767244,0
0.004077,0.028169,0.006301,0,0.003337,0,0.794124,0.845236,0.976325,2
0,0.086957,0.013378,0,0,0,0.665035,0.701035,0.808480,0
0.031712,0.063425,0.091966,0,0.050794,0,0.210575,0.217959,0.232511,0
0,0.032864,0.253521,0,0.037736,0,0.506773,0.534998,0.612516,1
0,0.053026,0.060519,0,0.008651,0,0.673096,0.713547,0.821176,0
0,0.000725,0.007971,0,0.003625,0,0.854332,0.910706,1.052139,0
0,0.106529,0.054983,0,0.003448,0,0.665945,0.701557,0.809871,0
0,0.106638,0.162133,0,0.043573,0,0.308995,0.315764,0.353714,0
0,0.067308,0.057692,0,0.014493,0,0.328004,0.347538,0.390110,1
0,0.118681,0.123077,0,0.016502,0,0.479823,0.501647,0.573694,0
0.013958,0.010806,0.008104,0,0.005405,0.00045,0.675366,0.719514,0.828421,1
0.020057,0.091691,0.054441,0,0.008621,0,0.417473,0.437288,0.499005,0
0,0.080717,0.219731,0,0.067568,0,0.294948,0.303348,0.339976,0
0.023474,0.061033,0.004695,0,0.023585,0,0.057757,0.058469,0.051271,1
0.045952,0.06674,0.019694,0,0.01862,0,0.298073,0.317219,0.351947,0
0.05807,0.005944,0.007316,0,0.007319,0,0.510448,0.545401,0.624956,0
0.030418,0.060837,0.007605,0,0.022901,0,0.410523,0.434561,0.493702,0
0,0.10962,0.059284,0,0.051512,0,0.310057,0.317327,0.352710,0
0,0.105023,0.018265,0,0.018349,0,0.553156,0.579955,0.666329,0
0,0.085619,0.051538,0,0.021631,0,0.622910,0.657101,0.754657,0
0.004773,0.025776,0.010024,0,0.003343,0,0.775115,0.824276,0.952194,0
0,0.076642,0.018248,0,0.007326,0,0.644922,0.679176,0.782985,0
0.011677,0.117834,0.110403,0,0.058448,0,0.260402,0.264949,0.289464,0
0,0.102151,0.032258,0,0.010811,0,0.455455,0.472291,0.539841,1
0,0.030023,0.050808,0,0.075145,0,0.406413,0.426105,0.479054,0
0.005031,0.022918,0.012856,0,0.002796,0,0.800929,0.852261,0.984952,0
0,0.119522,0,0,0.004,0,0.555695,0.581528,0.667068,0
0.002347,0.156103,0.078638,0,0.06228,0,0.294963,0.300412,0.335721,0
0,0.085,0.135,0,0.015075,0,0.432672,0.453216,0.518865,0
0,0.113171,0.137561,0,0.016602,0,0.500512,0.523280,0.600702,0
0.005213,0.017062,0.007583,0,0.004267,0,0.790716,0.842185,0.972999,0
0,0.138973,0.015106,0,0.00303,0,0.669175,0.704145,0.812025,0
0,0.028019,0.144928,0,0.101547,0,0.314752,0.327542,0.362386,0
0,0.078704,0.125,0,0.04186,0,0.390409,0.408318,0.464118,0
0,0.098843,0.128286,0,0.024211,0,0.503803,0.527042,0.603386,0
0.002912,0.012231,0.015143,0,0.006993,0,0.829105,0.883029,1.020921,0
0,0.13355,0.055375,0,0.006536,0,0.640358,0.673541,0.776834,0
0,0.07394,0.224527,0,0.06769,0,0.309130,0.319125,0.356257,0
0,0.049383,0.049383,0,0.055901,0,0.392811,0.410591,0.462497,0
0,0.06619,0.121646,0,0.021486,0,0.553542,0.584297,0.669353,1
0.017449,0.011421,0.007297,0,0.005078,0,0.746529,0.795555,0.918768,2
0,0.069401,0.056782,0,0.018987,0,0.574206,0.606469,0.696791,0
0,0.096296,0.192593,0,0.061441,0,0.304479,0.312270,0.350221,1
0.003802,0.087452,0,0,0.007634,0,0.521065,0.547536,0.626383,0
0.00625,0.11875,0.14375,0,0.026283,0,0.458803,0.479092,0.546434,0
0.016839,0.016192,0.006477,0,0.005185,0,0.652790,0.694803,0.799919,0
0,0.127413,0.084942,0,0.011628,0,0.602481,0.633021,0.729272,0
0.007928,0.075878,0.137033,0,0.064626,0,0.200596,0.206806,0.221784,0
0,0.096273,0.009317,0,0.012461,0,0.577256,0.605957,0.696167,1
0,0.1339,0.126461,0,0.017021,0,0.470790,0.490633,0.561450,0
0.001793,0.016139,0.011357,0,0.001794,0,0.799028,0.851113,0.981758,0
0,0.145897,0.027356,0,0.003049,0,0.650508,0.683353,0.788039,0
0,0.091434,0.231954,0,0.058767,0,0.293179,0.301578,0.337073,0
0.010204,0.081633,0.035714,0,0.046154,0,0.275882,0.285302,0.319373,0
0.007476,0.086256,0.097182,0,0.018987,0,0.434954,0.457613,0.521059,0
0.019898,0.014213,0.017055,0,0.010808,0,0.659739,0.702752,0.809281,0
0,0.183333,0.005556,0,0,0,0.595568,0.623592,0.718011,0
0.012036,0.051153,0.172518,0,0.052209,0,0.259939,0.270938,0.297799,0
0.039427,0.043011,0.028674,0,0.003597,0,0.358349,0.378765,0.428621,1
0.061493,0.032211,0.030015,0,0.008059,0,0.223069,0.239821,0.263286,0
0.048689,0.01573,0.009738,0,0.002999,0,0.479675,0.511521,0.584608,0
0.097403,0.090909,0.016234,0,0.003257,0,0.387896,0.407766,0.463266,0
0,0.060706,0.131347,0,0.099448,0,0.239643,0.243848,0.265595,0
0,0.085,0.03,0,0.025126,0,0.411379,0.428939,0.487610,0
0.020979,0.035839,0.062063,0,0.019248,0,0.489153,0.517334,0.590648,0
0.015199,0.017733,0.000633,0,0.000634,0,0.784162,0.834986,0.965178,0
0,0.169435,0.009967,0,0,0,0.625284,0.655871,0.756265,0
0,0.087666,0.140673,0,0.089796,0,0.339203,0.350878,0.394873,0
0,0.11399,0.098446,0,0.03125,0,0.370863,0.385056,0.437236,0
0.008989,0.122472,0.151685,0,0.033746,0,0.479771,0.501607,0.573871,0
0,0.022059,0.01011,0,0.004138,0,0.803640,0.854513,0.987531,1
0,0.145695,0.046358,0,0.003322,0,0.641678,0.674650,0.777705,0
0,0.04626,0.200787,0,0.063054,0,0.349467,0.363352,0.408874,0
0,0.148325,0,0,0,0,0.475121,0.492303,0.560674,0
0,0.105473,0.057711,0,0.028884,0,0.577347,0.606778,0.695526,0
