@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0,0,0.022727,0,0.629727,0.667762,0.772802,0
9,0,0,0,0.016097,0,0.303919,0.315700,0.357303,0
9,0,0,0,0.007937,0,0.466835,0.495425,0.564850,0
9,0,0,0,0.007307,0,0.565094,0.600383,0.693750,0
9,0.040695,0,0,0.001372,0,0.275504,0.299690,0.337944,1
9,0.106742,0,0,0,0,0.031106,0.041042,0.030063,0
9,0.021452,0,0,0,0,0.043280,0.056798,0.043164,0
9,0.175573,0,0,0,0,0.093203,0.096648,0.100441,0
9,0.047927,0,0.001297,0.003891,0,0.349638,0.372318,0.424280,1
9,0.016473,0,0,0.002908,0,0.680285,0.730506,0.845452,2
9,0.030303,0,0,0.006098,0,0.467418,0.498577,0.573420,0
9,0.005979,0,0,0.022455,0,0.164743,0.170014,0.179502,0
9,0.08982,0.006024,0,0,0,0.208910,0.220538,0.244201,1
9,0.057971,0,0,0.001613,0,0.286842,0.308753,0.347374,0
9,0.029375,0.000625,0,0.001251,0,0.617140,0.663035,0.766123,1
9,0,0,0,0.01676,0,0.616759,0.658100,0.758311,0
9,0.02268,0,0,0.004132,0,0.133354,0.142741,0.145705,1
9,0,0,0,0.033613,0,0.450230,0.472510,0.541016,0
9,0.003171,0,0,0.008883,0,0.668038,0.713950,0.825197,0
9,0.003448,0,0,0.001151,0,0.763147,0.819329,0.949071,0
9,0.010526,0,0,0.010582,0,0.416867,0.439473,0.504753,0
9,0.003049,0,0,0.015267,0,0.289866,0.298897,0.332842,0
9,0,0,0,0.018349,0,0.344913,0.361980,0.409600,0
9,0,0,0,0.00292,0,0.616591,0.658212,0.759277,0
9,0.03166,0,0,0.001546,0,0.603219,0.647801,0.747408,0
9,0,0,0,0.006289,0,0.565415,0.602193,0.695859,0
9,0,0,0,0.009074,0,0.284463,0.292400,0.327158,0
9,0,0,0,0.033613,0,0.361960,0.372477,0.425122,0
9,0.007207,0,0,0.005415,0,0.425472,0.449196,0.513415,0
9,0.002375,0,0,0.001189,0,0.820531,0.881534,1.023004,0
9,0,0,0,0.031847,0,0.577279,0.611143,0.703946,0
9,0,0,0,0.010969,0,0.273866,0.282160,0.314860,0
9,0,0,0,0.008403,0,0.454072,0.477766,0.551024,2
9,0.001348,0,0,0.00135,0,0.467730,0.500426,0.574552,0
9,0.000425,0,0,0.003825,0,0.740737,0.793673,0.919215,1
9,0,0,0,0.023148,0,0.546048,0.577848,0.669173,2
9,0.030176,0,0,0.006711,0,0.365166,0.383794,0.437354,2
9,0,0,0,0.027523,0,0.239405,0.238354,0.267030,0
9,0,0,0,0.008929,0,0.502159,0.531837,0.611583,0
9,0.044004,0,0,0.001101,0,0.513083,0.550733,0.633241,0
9,0.074713,0,0,0.046243,0,0.387462,0.401805,0.459451,0
9,0.007564,0,0,0.015152,0,0.320767,0.334383,0.375706,0
9,0.041667,0,0,0.010526,0,0.199762,0.204061,0.222028,0
9,0.004004,0,0,0.003006,0,0.654714,0.700747,0.808961,0
9,0,0,0,0.00095,0,0.822718,0.883671,1.024217,0
9,0,0,0,0.037037,0,0.603958,0.639454,0.739037,0
9,0,0,0,0.010799,0,0.232421,0.233842,0.255892,0
9,0,0,0,0.019608,0,0.226083,0.232487,0.256990,0
9,0.013464,0,0,0.007353,0,0.501596,0.533632,0.613890,0
9,0.017189,0,0,0.001012,0,0.716194,0.769329,0.890979,0
9,0.038835,0,0,0.009756,0,0.372540,0.396323,0.451949,0
9,0.013722,0,0,0.024055,0,0.232989,0.233831,0.255415,0
9,0.038647,0,0,0.009709,0,0.499930,0.534532,0.615296,2
9,0,0,0,0.007843,0,0.409010,0.431183,0.490054,0
9,0,0,0,0,0,0.830125,0.891912,1.033909,0
9,0,0,0,0.032258,0,0.507646,0.537648,0.619574,0
9,0,0,0,0.023758,0,0.272943,0.280190,0.307927,0
9,0,0,0,0,0,0.111323,0.113865,0.117325,0
9,0,0,0,0.007407,0,0.570359,0.609326,0.702649,0
9,0.007154,0,0,0.001591,0,0.685899,0.736350,0.851270,0
9,0.017647,0,0,0.023669,0,0.494410,0.521010,0.600318,0
9,0,0,0,0.03118,0,0.216559,0.215069,0.237695,0
9,0,0,0,0,0,0.438434,0.462680,0.527365,0
9,0,0,0,0.007952,0,0.547700,0.582921,0.669536,0
9,0,0,0,0.002857,0,0.868224,0.932531,1.082441,0
9,0,0,0,0.019608,0,0.572714,0.605853,0.700229,0
9,0,0,0,0.013582,0,0.308823,0.316252,0.354063,1
9,0,0,0,0,0,0.427000,0.452072,0.514670,2
9,0,0,0,0.003932,0,0.566126,0.603249,0.693345,1
