@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute mono_feature33 numeric
@attribute bi_feature330 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1301 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0.064327,0,0,0,0,0.023529,0,0,0.468933,0.486353,0.577688,0
9,0,0.00994,0.003976,0,0,0,0.007968,0,0,0.302422,0.309901,0.357057,0
9,0,0.020619,0.005155,0,0,0,0.005181,0,0,0.606889,0.638116,0.768468,0
9,0,0.048641,0.001431,0,0,0,0.008596,0,0,0.568429,0.595474,0.710767,0
9,0,0.005618,0.002247,0,0,0,0.00225,0,0,0.838291,0.885437,1.069602,0
9,0,0.016667,0,0,0,0,0,0,0,0.681961,0.719547,0.866741,0
9,0,0.033138,0.017544,0,0,0,0.009766,0,0,0.282478,0.288023,0.327849,0
9,0,0.06383,0,0,0,0,0.007143,0,0,0.349104,0.362072,0.426259,0
9,0.008172,0.089888,0.003064,0,0,0,0.00818,0,0,0.412843,0.429589,0.505110,0
9,0,0.017523,0,0,0,0,0.003509,0,0,0.809411,0.854468,1.031562,0
9,0,0.179191,0,0,0,0,0.023256,0,0,0.585915,0.608930,0.729997,0
9,0.002028,0.044625,0.002028,0,0,0,0.020325,0,0,0.241583,0.242420,0.273317,0
9,0,0.114035,0,0,0,0,0.035398,0,0,0.334362,0.344067,0.405342,0
9,0.012563,0.089196,0.001256,0,0,0,0.005031,0,0,0.536917,0.562587,0.674077,0
9,0,0.004042,0.000808,0,0,0,0.001618,0,0,0.772257,0.815738,0.982691,0
9,0,0.055556,0.005556,0,0,0,0.027933,0,0,0.658148,0.686673,0.824066,0
9,0,0.120715,0.00149,0,0,0,0.014925,0,0,0.363819,0.372249,0.434654,0
9,0,0.014706,0,0,0,0,0,0,0,0.360490,0.374990,0.443526,0
9,0,0.060177,0,0,0,0,0,0,0,0.535109,0.560981,0.669040,0
9,0.001966,0.014251,0.001474,0,0,0,0.00295,0,0,0.776059,0.819467,0.988908,2
9,0,0.079096,0.011299,0,0,0,0.022727,0,0,0.630302,0.658171,0.790497,0
9,0,0.12249,0.002008,0,0,0,0.016097,0,0,0.304120,0.312017,0.363151,0
9,0,0.047244,0,0,0,0,0.007937,0,0,0.467101,0.488881,0.577604,0
9,0,0.093848,0.003128,0,0,0,0.007307,0,0,0.565531,0.591743,0.709290,0
9,0.040695,0.002286,0,0,0,0,0.001372,0,0,0.275567,0.295448,0.347231,1
9,0.106742,0,0,0,0,0,0,0,0,0.030786,0.041550,0.032361,0
9,0.021452,0,0,0,0,0,0,0,0,0.042809,0.058073,0.046602,0
9,0.175573,0,0.007634,0,0,0,0,0,0,0.093126,0.095994,0.101476,0
9,0.047927,0.080311,0,0,0,0.001297,0.003891,0,0.001297,0.349809,0.367522,0.433578,1
9,0.016473,0.009205,0.001453,0,0,0,0.002908,0,0,0.680758,0.719458,0.867157,2
