@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature919 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.023548,0,0,0.006284,0.602224,0.638995,0.730302,1
0.012672,0.013728,0.000528,0,0.002641,0.679133,0.725314,0.834321,1
0.043478,0.187291,0,0,0.02349,0.454515,0.473619,0.541094,0
0.029151,0.031686,0,0,0.01269,0.172111,0.182191,0.191265,0
0.068627,0.083333,0,0,0.009852,0.274378,0.285507,0.320360,0
0.013198,0.026396,0,0,0.002033,0.442252,0.473127,0.538097,0
0.002604,0.003472,0,0,0.000869,0.838414,0.896629,1.033072,0
0.017241,0.12069,0,0,0.031142,0.436729,0.457334,0.520439,0
0,0.078889,0,0,0.01891,0.247186,0.250918,0.273916,0
0,0.062241,0,0,0.004167,0.565658,0.597728,0.683753,1
0,0.079487,0,0,0.005988,0.635911,0.673389,0.771098,2
0,0.006809,0,0,0.000974,0.883304,0.944136,1.089064,1
0,0.064639,0,0,0.022901,0.637980,0.674139,0.773197,0
0,0.086705,0,0,0.020251,0.315384,0.323659,0.360030,2
0,0.063953,0,0,0.035088,0.405697,0.420103,0.477941,0
0.007048,0.068128,0,0,0.004702,0.604021,0.640070,0.733283,1
0,0.02049,0,0,0.004,0.849266,0.906422,1.045368,2
0,0.084175,0,0,0.023649,0.653462,0.691085,0.793944,1
0,0.079399,0,0,0.019334,0.224722,0.227072,0.245246,1
0,0.152284,0,0,0.010204,0.416277,0.431861,0.493787,2
0.000723,0.095445,0,0,0.000724,0.470077,0.494721,0.562633,1
0.02725,0.004955,0,0,0.000413,0.685507,0.733134,0.841151,0
0,0.05,0,0,0.019305,0.657009,0.696223,0.799011,0
0,0.076426,0,0,0.025862,0.333258,0.342685,0.384520,2
0.127551,0.015306,0,0,0,0.155770,0.159960,0.169557,0
0.001241,0.055831,0,0,0.005587,0.630685,0.670539,0.767244,0
0.004077,0.028169,0,0,0.003337,0.794382,0.847698,0.976325,2
0,0.086957,0,0,0.020134,0.665166,0.702881,0.808480,0
0.031712,0.063425,0,0,0.020106,0.210790,0.217926,0.232511,0
0.02809,0,0,0,0,0.386072,0.409107,0.457501,0
0,0.081778,0,0,0.004448,0.621312,0.657281,0.753025,0
0,0.003759,0,0,0.00047,0.861606,0.920639,1.060955,0
0,0.114754,0,0,0.028807,0.595128,0.626402,0.719074,0
0,0.125152,0,0,0.027981,0.249170,0.251359,0.275514,0
0.011236,0.129213,0,0,0.016949,0.251187,0.255296,0.281343,0
0,0.090997,0,0,0.008721,0.586079,0.618107,0.706519,0
0.000666,0.01932,0,0,0.003333,0.783301,0.835391,0.961041,0
0.022581,0.158065,0,0,0.029126,0.478918,0.501477,0.573477,0
0,0.174142,0,0,0.030383,0.248727,0.249487,0.272212,0
0,0.032864,0,0,0,0.507323,0.537043,0.612516,1
0,0.053026,0,0,0.000577,0.673410,0.715626,0.821176,0
0,0.000725,0,0,0.000362,0.854677,0.913296,1.052139,0
0,0.106529,0,0,0.017241,0.666121,0.703640,0.809871,0
0,0.106638,0,0,0.038126,0.309282,0.316420,0.353714,0
0,0.067308,0,0,0.004831,0.327827,0.348378,0.390110,1
0,0.118681,0,0,0.0044,0.480106,0.503126,0.573694,0
0.013958,0.010806,0,0,0.002703,0.675523,0.721526,0.828421,1
0.020057,0.091691,0,0,0.014368,0.417607,0.438428,0.499005,0
0,0.080717,0,0,0.022523,0.295363,0.304301,0.339976,0
