@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.6,0.169,0.231,0.182,0.432,0
0.125,0.68,0.195,0.38,0.235,1
0.057,0.497,0.446,0.369,0.455,0
0.801,0.104,0.095,0.096,0.261,0
0.565,0.41,0.025,0.176,0.448,0
0.515,0.146,0.339,0.28,0.343,0
0.192,0.76,0.048,0.521,0.291,0
0.025,0.546,0.428,0.599,0.301,1
0.786,0.071,0.143,0.123,0.293,0
0.151,0.767,0.082,0.101,0.415,0
0.918,0.016,0.065,0.409,0.367,0
0.075,0.728,0.197,0.198,0.207,0
0.237,0.63,0.133,0.602,0.33,0
0.004,0.579,0.417,0.212,0.366,0
0.403,0.544,0.053,0.172,0.418,0
0.784,0.009,0.207,0.777,0.176,0
0.098,0.794,0.108,0.312,0.279,0
0.106,0.706,0.189,0.513,0.337,1
0.112,0.865,0.023,0.583,0.283,0
0.437,0.511,0.052,0.375,0.387,0
0.839,0.064,0.096,0.843,0.096,0
0.383,0.285,0.332,0.38,0.341,0
0.598,0.329,0.074,0.601,0.3,0
0.447,0.419,0.135,0.234,0.378,0
0.209,0.683,0.108,0.126,0.424,0
0.481,0.1,0.419,0.576,0.302,0
0.171,0.533,0.296,0.349,0.321,0
0.114,0.727,0.159,0.432,0.344,0
0.596,0.203,0.2,0.114,0.233,0
0.167,0.727,0.106,0.124,0.438,1
0.66,0.026,0.315,0.27,0.399,0
0.085,0.799,0.116,0.121,0.235,0
0.431,0.449,0.12,0.569,0.335,0
0.527,0.19,0.283,0.172,0.414,0
0.487,0.467,0.046,0.139,0.447,0
0.91,0.022,0.068,0.517,0.342,0
0.644,0.28,0.076,0.655,0.257,0
0.436,0.413,0.151,0.505,0.325,0
0.001,0.124,0.876,0.111,0.354,2
0.314,0.587,0.098,0.093,0.422,1
0.869,0.042,0.089,0.506,0.345,0
0.127,0.807,0.066,0.417,0.249,0
0.193,0.505,0.301,0.808,0.159,0
0.256,0.334,0.411,0.125,0.221,0
0.074,0.814,0.112,0.115,0.362,0
0.576,0.111,0.313,0.385,0.397,0
0.501,0.465,0.034,0.623,0.214,0
0.647,0.319,0.033,0.547,0.259,1
0.408,0.407,0.185,0.185,0.291,0
0.809,0.165,0.026,0.185,0.447,0
0.624,0.331,0.045,0.145,0.482,0
0.555,0.401,0.044,0.286,0.295,1
0.294,0.639,0.066,0.725,0.202,0
0.023,0.385,0.593,0.21,0.357,0
0.062,0.846,0.092,0.072,0.78,1
0.823,0.122,0.055,0.459,0.371,0
0.144,0.715,0.141,0.409,0.383,1
0.791,0.205,0.004,0.881,0.101,0
0.482,0.294,0.225,0.373,0.42,0
0.887,0.106,0.007,0.084,0.423,0
0.859,0.012,0.129,0.6,0.291,0
0.399,0.457,0.143,0.493,0.382,0
0.319,0.645,0.036,0.772,0.149,0
0.32,0.656,0.025,0.468,0.386,0
0.13,0.791,0.079,0.256,0.357,1
0.983,0.009,0.009,0.698,0.227,0
0.561,0.409,0.03,0.591,0.264,0
0.226,0.378,0.396,0.7,0.192,0
0.117,0.203,0.679,0.091,0.266,0
0.516,0.341,0.143,0.194,0.411,0
0.03,0.085,0.885,0.735,0.21,0
0.405,0.549,0.047,0.38,0.322,0
0.407,0.447,0.147,0.527,0.331,0
0.05,0.647,0.303,0.117,0.328,0
0.688,0.284,0.028,0.088,0.416,0
0.942,0.016,0.041,0.33,0.466,0
0.746,0.204,0.051,0.667,0.202,0
0.068,0.64,0.293,0.438,0.349,0
0.208,0.352,0.44,0.147,0.328,0
0.392,0.508,0.1,0.102,0.422,0
0.96,0.005,0.035,0.454,0.37,0
0.041,0.84,0.12,0.328,0.395,0
0.403,0.5,0.098,0.446,0.418,0
0.642,0.236,0.121,0.275,0.351,0
0.766,0.221,0.013,0.133,0.436,0
0.858,0.025,0.117,0.605,0.246,0
0.468,0.512,0.02,0.576,0.257,1
0.087,0.744,0.169,0.431,0.345,0
0.131,0.423,0.447,0.091,0.237,0
0.53,0.425,0.045,0.094,0.41,1
0.943,0.04,0.018,0.171,0.443,0
0.373,0.564,0.064,0.347,0.33,0
0.357,0.41,0.233,0.784,0.187,0
0.806,0.113,0.082,0.162,0.28,0
0.661,0.272,0.067,0.128,0.422,0
0.821,0.064,0.116,0.464,0.399,0
0.003,0.921,0.075,0.441,0.289,0
0.477,0.498,0.026,0.711,0.251,0
0.416,0.36,0.224,0.149,0.376,0
0.533,0.405,0.063,0.103,0.446,0
0.81,0.035,0.154,0.74,0.192,0
0.579,0.351,0.07,0.685,0.244,0
0.015,0.789,0.196,0.335,0.397,1
0,0.085,0.915,0.101,0.379,2
0.07,0.419,0.511,0.082,0.407,2
0.899,0.036,0.065,0.827,0.141,0
0.223,0.577,0.2,0.39,0.269,2
