@relation rabc_features-weka.filters.unsupervised.attribute.Remove-R1

@attribute psy_feature1 numeric
@attribute psy_feature2 numeric
@attribute psy_feature3 numeric
@attribute psy_feature4 numeric
@attribute psy_feature5 numeric
@attribute psy_feature6 numeric
@attribute psy_feature7 numeric
@attribute psy_feature8 numeric
@attribute psy_feature9 numeric
@attribute psy_feature10 numeric
@attribute psy_feature11 numeric
@attribute psy_feature12 numeric
@attribute psy_feature13 numeric
@attribute psy_feature14 numeric
@attribute psy_feature15 numeric
@attribute psy_feature16 numeric
@attribute psy_feature17 numeric
@attribute psy_feature18 numeric
@attribute joint_feature1 numeric
@attribute joint_feature2 numeric
@attribute class {0,1,2}

@data
2,0.617302,-0.060947,1.005508,5.127048,-0.116424,-0.124854,0.902405,6.176768,-0.064756,-0.412276,0.985709,5.025169,-0.315612,0.125496,1.897079,4.844153,0.125706,1.114828,0,0
8,0.414013,-0.104149,0.774047,3.657304,-0.225202,-0.259539,1.060915,4.832298,-0.097673,-0.144498,1.276104,5.397017,-0.074329,0.219468,0.857025,4.174796,0.413998,0.717468,0,0
12,0.124705,0.103884,1.083688,4.301709,-0.114756,-0.191556,1.009581,3.88043,-0.134931,-0.063782,0.822976,4.000498,-0.172513,-0.377784,0.748866,4.342815,-0.500286,1.665422,0,2
2,0.314961,1.256537,0.572187,2.805388,1.496536,0.048108,0.918419,3.973495,0.269204,-0.158002,0.338548,2.447302,-0.116632,-0.211469,0.968819,3.228025,0.161667,1.011708,0,0
7,0.696228,-0.193745,0.850416,4.546815,-0.410812,0.337657,0.79833,4.444973,0.460849,0.258385,0.920749,4.09346,0.126218,0.119629,0.925648,4.57913,0.164689,0.865743,0,0
2,0.498438,-0.127271,0.789535,5.909694,-0.193031,-0.255755,0.73546,5.587112,-0.114066,-0.585018,0.095178,1.327652,-0.739183,0.126517,0.05769,1.00972,0.111027,1.046173,0,0
10,0.39125,0.052281,1.276545,4.665842,0.074364,0.125238,0.974595,4.095656,0.357144,-0.187643,0.599672,4.031774,-0.261705,-0.135835,1.320494,4.328802,0.170461,1.21863,0,0
9,0.086289,0.065075,0.581222,3.57853,0.113313,0.252262,0.816255,3.918289,0.330874,0.03384,0.641822,4.3795,-0.217884,0.218628,0.430766,3.068755,-0.097908,1.790459,6,1
2,0.352018,1.726038,0.953193,4.217083,2.05265,1.575643,0.869939,4.026551,1.925414,-0.545478,0.096629,1.138773,-0.66828,-0.282468,0.028586,0.604208,-0.275098,1.015122,2,0
7,0.65183,0.349758,0.889292,5.32793,0.281586,0.62012,0.950538,4.053087,0.715538,-0.298726,0.632267,3.519057,-0.650069,-0.112663,0.198441,2.560136,-0.268656,1.053691,7,0
2,0.482496,-0.282519,0.639107,4.445331,-0.412515,-0.288496,0.86432,6.130884,-0.123459,-0.537737,0.096157,1.297548,-0.656905,-0.712706,0.26001,2.320658,-0.779661,1.073962,0,0
8,0.43449,-0.195382,1.097864,5.047678,-0.078119,0.229844,1.366242,5.252772,0.446524,-0.105498,1.348917,5.42194,-0.337905,-0.214817,1.127029,4.688783,-0.01003,0.980489,8,1
10,0.098246,-0.149205,0.612629,3.350088,-0.325789,-0.216576,1.199888,4.65258,-0.077893,0.523606,0.891368,4.398278,0.400838,0.75024,1.231024,5.468511,0.372564,1.689153,0,2
