@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute class {0,1,2}

@data
0.627,0.223,0.151,0.98,0.019,0.394,0.271,0
0.824,0.115,0.061,0.685,0.235,0.142,0.288,0
0.916,0.02,0.064,0.881,0.107,0.258,0.44,0
0.014,0.934,0.051,0.148,0.561,0.533,0.302,0
0.683,0.293,0.024,0.985,0.015,0.922,0.053,0
0.247,0.418,0.334,0.181,0.54,0.319,0.303,0
0.639,0.301,0.059,0.559,0.255,0.126,0.327,0
0.35,0.288,0.362,0.59,0.387,0.674,0.1,0
0.744,0.223,0.033,0.885,0.098,0.739,0.151,0
0.264,0.62,0.116,0.283,0.528,0.778,0.132,2
0.079,0.528,0.393,0.012,0.399,0.263,0.336,0
0.393,0.431,0.176,0.753,0.184,0.158,0.286,0
0.269,0.647,0.084,0.907,0.085,0.762,0.156,0
0.619,0.252,0.129,0.069,0.758,0.143,0.335,0
0.284,0.499,0.217,0.222,0.446,0.356,0.373,0
0.05,0.747,0.203,0.124,0.54,0.108,0.216,1
0.945,0.007,0.048,0.983,0.016,0.724,0.115,0
0.658,0.279,0.063,0.351,0.502,0.605,0.27,0
0.53,0.408,0.062,0.849,0.139,0.314,0.574,0
0.312,0.655,0.033,0.893,0.099,0.318,0.559,0
0.137,0.812,0.051,0.528,0.376,0.327,0.442,0
0.584,0.317,0.099,0.989,0.01,0.323,0.534,0
0.519,0.449,0.032,0.452,0.392,0.427,0.274,0
0.6,0.335,0.065,0.987,0.013,0.666,0.16,0
0.634,0.29,0.076,0.968,0.031,0.081,0.347,0
0.874,0.014,0.112,0.805,0.163,0.523,0.153,0
0.265,0.689,0.046,0.071,0.857,0.288,0.571,1
0.387,0.427,0.185,0.195,0.502,0.278,0.546,0
0.312,0.573,0.115,0.188,0.638,0.167,0.668,1
0.681,0.237,0.082,0.59,0.364,0.105,0.32,0
0.025,0.166,0.809,0,0.045,0.249,0.264,0
0.074,0.592,0.334,0.068,0.844,0.284,0.355,0
0.408,0.514,0.079,0.556,0.385,0.072,0.316,1
0.785,0.139,0.076,0.392,0.416,0.656,0.186,0
0.485,0.403,0.112,0.981,0.019,0.219,0.2,0
0.801,0.131,0.068,0.941,0.058,0.791,0.129,0
0.259,0.025,0.716,0.001,0.431,0.152,0.476,2
0.033,0.689,0.279,0,0.028,0.111,0.296,2
0.51,0.196,0.294,0.02,0.865,0.635,0.238,0
0.32,0.607,0.073,0.358,0.602,0.525,0.329,2
0.372,0.416,0.211,0.168,0.678,0.579,0.206,0
0.238,0.614,0.148,0.16,0.638,0.138,0.294,1
0.722,0.239,0.039,0.337,0.593,0.397,0.463,1
