@relation rabc_features-weka.filters.unsupervised.attribute.Remove-R1

@attribute child_feature1 numeric
@attribute child_feature2 numeric
@attribute child_feature3 numeric
@attribute child_feature4 numeric
@attribute child_feature5 numeric
@attribute child_feature6 numeric
@attribute child_feature7 numeric
@attribute child_feature8 numeric
@attribute child_feature9 numeric
@attribute child_feature10 numeric
@attribute child_feature11 numeric
@attribute child_feature12 numeric
@attribute child_feature13 numeric
@attribute child_feature14 numeric
@attribute child_feature15 numeric
@attribute child_feature16 numeric
@attribute child_feature17 numeric
@attribute child_feature18 numeric
@attribute joint_feature1 numeric
@attribute joint_feature2 numeric
@attribute class {0,1,2}

@data
5,0.130329,-0.149783,0.807726,3.380429,0.184207,-0.096996,1.211045,6.583502,-0.370986,-0.112802,0.900156,4.915999,-0.408418,-0.153432,0.066141,1.848425,-0.061284,0.810636,0,0
2,0.332687,-0.000127,0.900155,3.665834,0.123337,-0.017982,0.767642,4.770176,-0.071929,-0.287229,0.68912,3.359901,-0.526853,-0.027455,0.035544,1.004921,-0.078152,1.173289,1,0
3,0.098422,-0.072689,1.512435,4.67159,0.106121,0.123266,0.654109,4.103232,0.080378,0.328035,0.640502,2.605203,0.260349,-0.023299,0.004059,0.237031,-0.044221,1.012924,2,0
2,0.228846,0.487063,0.383714,2.048428,0.506303,0.237878,1.163803,5.008058,0.27371,-0.240555,0.25495,2.309811,-0.372627,0.052857,0.011696,0.354291,0.028393,1.703464,1,2
3,0.072379,-0.401111,1.444768,4.761513,-0.639128,0.061781,0.93839,3.749648,0.127338,-0.156189,0.426099,4.166389,-0.328982,-0.055645,0.016946,0.970909,-0.009793,0.649085,1,0
1,0.012261,-0.530131,1.074288,3.14866,-0.254504,-0.768965,0.19473,1.932679,-0.715952,2.184979,0.067468,1.120214,2.091619,-0.101781,0.000375,0.088597,-0.094107,0.881724,0,0
1,0.075159,-0.114021,0.21949,1.808238,-0.024054,-0.29309,0.445635,4.088227,-0.519662,-1.01586,0.053935,0.736364,-1.050798,0.062857,0.001541,0.150822,0.055175,0.893339,1,0
1,0.12093,-0.341168,0.029465,0.583296,-0.341168,-0.572141,0.074955,1.083321,-0.540621,-0.235672,1.820945,3.777282,-1.205719,0.062931,0.164222,1.173293,-0.202426,0.704317,0,0
3,0.048708,0.218187,0.398311,3.029601,0.005464,0.063787,0.69418,3.244872,-0.147477,0.856447,1.03926,2.878077,0.371778,0.049218,0.008036,0.35056,0.046301,0.688193,1,0
12,0.104276,-0.266627,1.085672,4.384938,-0.468439,-0.102702,0.58879,4.274384,-0.284994,-0.313795,0.825864,3.934928,-0.503572,0.019181,0.030741,2.3583,-0.054397,1.030453,0,0
2,0.118267,1.111665,0.080818,1.118158,1.153579,-0.19281,0.916094,3.494178,-0.54923,0.235614,0.870693,2.439365,0.59269,0.086947,0.018335,0.548668,0.070683,0.971862,0,0
1,0.008894,-1.99754,0.00004,0.021388,-1.99754,-1.193125,0.079333,0.972855,-1.187488,0,0,0,0,0,0,0,0,0.970835,0,1
12,0.181738,0.068146,1.043994,4.494818,0.123017,-0.376693,0.562684,4.16145,-0.346699,0.305685,1.385753,10.237663,-0.011677,-0.067479,0.02219,1.208563,-0.071766,0.931028,0,1
2,0.172222,0.241734,0.19574,1.767207,0.434774,-0.3529,1.280464,4.510602,-0.69613,0.939845,0.781406,3.208011,1.21525,0.100238,0.039097,0.895377,0.169765,1.02421,0,0
11,0.394848,-0.034647,1.003107,4.54062,0.050905,0.519466,0.999029,4.506765,0.612889,-0.444071,0.234833,2.154065,-0.479094,-0.19347,0.015008,0.626699,-0.203099,0.822567,11,0
1,0.211726,-0.049836,1.226678,4.061886,0.169074,0.859466,0.291842,2.446901,0.91485,-0.154117,0.652013,1.967426,-0.508786,0.00689,0.015687,0.326419,0.027943,1.005699,0,0
10,0.351488,-0.22367,1.12314,5.215916,-0.185119,0.430819,0.958755,5.108534,0.421394,0.330813,0.999422,5.784202,0.188799,0.036032,0.030225,1.157008,0.061767,0.750664,6,0
2,0.053804,0.057738,0.268791,2.059732,0.077872,-0.526669,0.274771,2.277786,-0.4884,-0.055927,0.702709,5.505065,-0.570931,-0.059296,0.043252,0.960507,-0.077526,0.56625,1,0
1,0.180985,0.309711,0.076079,1.212581,0.273087,-0.775763,0.300963,2.120438,-0.92589,-1.256681,0.031384,0.982936,-1.340501,-0.331014,0.009368,0.638296,-0.324311,0.993484,0,0
3,0.036996,-0.573213,0.18749,1.290655,-0.651205,-0.309207,0.732433,2.871493,-0.399846,-0.953127,0.098684,0.849841,-0.937331,-0.228177,0.035763,0.798576,-0.259378,0.938935,1,0
3,0.066788,0.183616,0.596812,3.520659,0.256512,0.037209,1.090785,4.503977,-0.14417,0.033122,1.101071,3.365036,0.156846,-0.013153,0.027454,0.637478,-0.020873,0.973374,2,1
1,0.004829,-1.620881,1.634304,3.355021,-0.876471,-0.328467,0.078477,0.942449,-0.391759,-0.292388,0.012612,0.460588,-0.254782,0.116109,0.00276,0.150508,0.142374,0.983607,1,2
4,0.102169,-0.41551,0.324658,2.619398,-0.563232,0.101275,1.070044,3.629632,-0.216488,1.017727,0.358364,2.812313,0.971459,0.292587,0.006861,0.322427,0.30216,1.053875,0,1
19,0.168937,0.143466,1.152986,4.068378,0.464103,-0.034968,0.971051,5.461844,-0.115478,-0.224759,0.862442,5.085294,-0.221745,-0.064616,0.047404,1.022263,-0.098303,1.190647,3,0
2,0.274576,-0.253874,1.085422,2.870942,0.163358,0.492495,1.584395,4.976216,0.293003,-0.442164,0.134206,1.023165,-0.347591,-0.010937,0.002437,0.164704,-0.012687,0.966388,0,0
7,0.096301,-0.236782,0.808712,2.823816,-0.428604,-0.002354,0.96733,4.68407,-0.292586,-0.187896,1.404354,4.725481,-0.438396,0.021588,0.049766,0.878218,0.124717,1.228843,3,0
3,0.057937,-0.003418,0.960182,2.975594,0.117432,-0.22712,0.951449,5.302418,-0.367939,-0.213905,0.796079,3.701323,-0.653085,-0.1504,0.029675,1.041759,-0.138414,1.325944,1,2
2,0.237592,0.424109,0.820217,3.003401,0.876914,0.086492,0.781201,4.908884,-0.005594,0.126585,0.918356,3.867385,-0.174086,0.029027,0.033,1.41166,0.040293,0.986871,4,0
1,0.099065,-0.000005,1,3.399346,-0.000005,0.000002,1,3.736908,0.003651,-0.000003,1,7.464563,0.030944,0,0.051299,1.080274,-0.07367,0.876301,0,0
1,0.104478,-0.521177,0.473603,2.201193,-0.826416,-0.191384,0.723165,3.326579,-0.481502,0.829509,0.731198,2.217335,0.897701,0.176931,0.003567,0.277027,0.166927,0.877939,0,0
1,0.014647,0.207819,0.57697,2.481481,0.194358,-0.406978,0.967038,5.246142,-0.517836,0.48035,0.122958,1.02669,0.444554,0.010708,0.004966,0.255742,-0.013176,0.738074,0,0
1,0.177039,0.038664,0.927816,3.049336,0.306143,-0.031028,1.160592,4.370535,-0.297224,0.008003,0.680123,3.37773,-0.188884,-0.116643,0.037754,0.526019,-0.230595,1.060626,0,0
1,0.006154,0.61366,0.022899,0.426883,0.588433,-0.263758,0.439731,1.942365,-0.420884,-1.574124,0.000551,0.071995,-1.56587,0.003586,0.000025,0.014045,0.004298,0.790261,1,0
3,0.048579,-0.101815,1.067291,3.347307,-0.698753,-0.255649,0.248447,3.095565,-0.28867,0.080216,1.158635,3.304511,0.001632,0.054287,0.073861,1.087653,0.146741,1.322549,0,0
1,0.349282,0.529659,0.362347,2.894129,0.347791,-0.263478,1.381308,4.288339,-0.290892,-0.401341,0.213411,2.772833,-0.404919,0.178341,0.01104,0.674559,0.195531,1.026992,1,1
1,0.021238,-0.016969,0.292185,2.000996,-0.281151,-0.529909,0.396134,1.962257,-0.365431,-0.002774,0.000109,0.066295,-0.000832,0.029728,0.00001,0.022191,0.030264,0.693526,0,0
11,0.150638,-0.129021,1.434464,5.499121,-0.335313,-0.318322,0.775274,4.30888,-0.331085,0.162432,1.08037,5.189985,0.059149,0.02087,0.049333,1.32903,0.041535,1.091713,3,1
2,0.144762,0.923581,1.153023,3.202344,0.774794,-0.622482,0.865402,3.611582,-0.797844,1.857461,0.488955,2.079361,2.212172,0.119462,0.002042,0.236163,0.136549,1.194912,0,0
2,0.60625,0.010952,0.893076,3.631045,0.015827,-0.107052,1.473828,6.131995,-0.5266,0.95969,1.329169,9.258203,0.911741,-0.021223,0.00886,0.712877,-0.000142,1.048286,2,1
10,0.432787,0.011567,0.85266,3.678085,-0.026271,0.074535,0.764758,5.141734,0.131294,-0.372598,0.362861,2.622583,-0.41699,-0.019204,0.031165,0.795711,-0.027925,0.697081,6,0
20,0.366849,0.029926,1.054113,3.759346,-0.001131,0.03741,1.021245,5.948061,-0.059848,-0.103812,0.737858,4.248177,-0.294522,0.02247,0.047798,1.827193,0.018724,1.07517,4,0
1,0.320707,0.339146,1.08879,3.551991,0.483349,0.169687,0.629899,3.874753,0.094306,-0.548629,0.27378,2.393322,-0.587074,-0.13683,0.028693,0.593034,-0.056559,0.901305,1,0
1,0.008585,-1.488587,0,0.000063,-1.488587,0.198746,1.231992,3.828849,0.207754,0,0,0,0,0,0,0,0,0.916998,0,0
6,0.038009,-0.073664,0.869322,3.040561,-0.023351,-0.102894,0.64773,3.934529,-0.143595,0.00969,1.167429,2.927148,-0.512351,-0.120066,0.072728,1.098076,0.011387,1.029962,0,0
1,0.034288,1.041928,0.141524,1.323928,1.075616,0.419209,1.145999,4.22305,0.298301,0.12432,0.792538,2.664109,-0.328284,0.162774,0.008244,0.37317,0.199154,0.982703,1,0
3,0.041341,0.094414,0.424977,2.885877,0.111253,0.245816,1.349513,5.498732,-0.094571,-0.119526,0.836487,3.256245,-0.318109,0.00473,0.036236,1.238521,0.037727,0.879595,2,0
2,0.052796,0.699238,0.122031,1.443669,0.750374,-0.398804,0.450842,3.048054,-0.391477,-0.443839,0.223051,1.558047,-0.807332,0.035186,0.003644,0.403248,0.052992,0.888219,1,0
1,0.044925,0.729511,0.0047,0.228841,0.729511,-1.129832,0.056463,0.873322,-1.134094,0,0,0,0,0,0,0,0,0.984406,0,0
2,0.022424,-0.133314,0.029027,0.696267,-0.104696,-0.944068,0.073642,1.243237,-0.957213,1.274289,1.959168,3.819232,0.876121,0.197506,0.016726,0.562575,0.213478,0.781391,0,0
4,0.058758,-0.02822,1.20962,5.505772,-0.49899,0.257113,0.916234,3.640789,0.295905,-0.23636,0.465032,2.89942,-0.488862,-0.036634,0.02715,0.617919,0.009944,1.037005,0,0
1,0.072197,-0.403283,0.000746,0.092599,-0.403283,-0.742274,0.160486,1.534663,-0.760829,-2.746629,0.031743,0.494847,-2.724068,0.413198,0.001863,0.098049,0.390368,1.066303,0,0
1,0.012806,-0.267036,0.471104,2.556939,-0.407188,1.054348,0.763579,2.751063,1.438622,0.205818,0.046576,1.03933,0.203653,-0.057354,0.000276,0.079406,-0.059039,0.844215,0,0
4,0.036364,-0.528582,0.19583,1.216861,-0.170307,-0.638577,0.521544,3.116317,-0.831945,0.643747,1.858682,5.709956,0.948869,0.363413,0.106908,1.686238,0.243232,0.851988,0,1
14,0.118431,0.009542,1.090308,4.983682,-0.126389,0.16674,1.116999,5.077927,-0.083852,-0.311472,0.395665,5.681042,-0.191623,-0.099225,0.04955,1.572015,-0.116151,1.549037,1,2
2,0.056604,1.194983,0.412116,1.653708,1.641127,-0.17621,1.243393,4.442538,-0.420419,-0.707522,0.000887,0.130648,-0.715286,-0.287249,0.00272,0.129193,-0.32524,1.085663,1,0
1,0.064557,-0.074433,0.020728,0.642371,-0.117539,-0.467433,0.865196,2.614907,-0.543834,-0.041369,0.005139,0.418879,-0.021566,0.049087,0.000767,0.088898,0.066581,1.293978,0,0
