@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute mono_feature33 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature961 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.02268,0.028866,0.002062,0,0,0.004132,0.022727,0,0.133139,0.141118,0.145705,1
9,0,0.016667,0,0,0,0.033613,0.008403,0,0.453109,0.481490,0.541016,0
9,0.003171,0.022828,0.002536,0,0,0.008883,0.015863,0,0.672444,0.727112,0.825197,0
9,0.003448,0,0,0,0,0.001151,0,0,0.768246,0.834417,0.949071,0
9,0.010526,0,0,0,0,0.010582,0,0,0.419570,0.447071,0.504753,0
9,0.003049,0.047256,0.004573,0,0,0.015267,0.029008,0,0.291410,0.304363,0.332842,0
9,0,0.018182,0,0,0,0.018349,0.009174,0,0.346887,0.368303,0.409600,0
9,0,0.043732,0.005831,0,0,0.00292,0.030657,0,0.620596,0.670512,0.759277,0
9,0.03166,0.006178,0,0,0,0.001546,0.003091,0,0.607154,0.659621,0.747408,0
9,0,0,0.00625,0,0,0.006289,0,0,0.569149,0.612848,0.695859,0
9,0,0.076087,0.003623,0,0,0.009074,0.056261,0,0.285956,0.297541,0.327158,0
9,0,0,0,0,0,0.033613,0,0,0.364266,0.379360,0.425122,0
9,0.007207,0.064865,0.007207,0,0,0.005415,0.050542,0,0.428097,0.457708,0.513415,0
9,0.002375,0,0.002375,0,0,0.001189,0,0,0.826067,0.897772,1.023004,0
9,0,0,0.006329,0,0,0.031847,0,0,0.581098,0.622768,0.703946,0
9,0,0.069343,0.001825,0,0,0.010969,0.053016,0,0.275368,0.287823,0.314860,0
9,0,0.066667,0,0,0,0.008403,0.042017,0,0.456997,0.486807,0.551024,2
9,0.001348,0.039084,0,0,0,0.00135,0.026991,0,0.470544,0.508461,0.574552,0
9,0.000425,0.002124,0.003398,0,0,0.003825,0.00085,0,0.745683,0.808251,0.919215,1
9,0,0.041475,0.009217,0,0,0.023148,0.018519,0,0.549678,0.588339,0.669173,2
9,0.030176,0.06119,0.000838,0,0,0.006711,0.04698,0,0.367315,0.390754,0.437354,2
9,0,0,0.009091,0,0,0.027523,0,0,0.240840,0.242774,0.267030,0
9,0,0.031204,0.004458,0,0,0.008929,0.022321,0,0.505383,0.541712,0.611583,0
9,0.044004,0.0044,0,0,0,0.001101,0,0,0.516324,0.560385,0.633241,0
9,0.074713,0,0,0,0,0.046243,0,0,0.389936,0.408897,0.459451,0
9,0.007564,0.033283,0.001513,0,0,0.015152,0.021212,0,0.322511,0.340044,0.375706,0
9,0.041667,0,0,0,0,0.010526,0,0,0.200726,0.208157,0.222028,0
9,0.004004,0.02002,0.002002,0,0,0.003006,0.012024,0,0.659013,0.713786,0.808961,0
9,0,0.008539,0,0,0,0.00095,0.003799,0,0.828229,0.900099,1.024217,0
9,0,0,0.01227,0,0,0.037037,0,0,0.608013,0.651304,0.739037,0
9,0,0.060345,0.008621,0,0,0.010799,0.038877,0,0.233616,0.238772,0.255892,0
9,0,0.058252,0,0,0,0.019608,0.04902,0,0.227179,0.236338,0.256990,0
9,0.013464,0.020808,0.002448,0,0,0.007353,0.01348,0,0.504844,0.543434,0.613890,0
9,0.017189,0.002022,0,0,0,0.001012,0,0,0.720961,0.783252,0.890979,0
9,0.038835,0,0.004854,0,0,0.009756,0,0,0.374770,0.402791,0.451949,0
9,0.013722,0.036021,0.005146,0,0,0.024055,0.025773,0,0.234203,0.238659,0.255415,0
9,0.038647,0.043478,0,0,0,0.009709,0.029126,0,0.502996,0.543450,0.615296,2
9,0,0.021526,0,0,0,0.007843,0.009804,0,0.411493,0.439271,0.490054,0
9,0,0.008364,0,0,0,0,0.005581,0,0.835696,0.908511,1.033909,0
9,0,0.044872,0,0,0,0.032258,0.032258,0,0.510882,0.547086,0.619574,0
9,0,0.073276,0.002155,0,0,0.023758,0.051836,0,0.274331,0.286045,0.307927,0
9,0,0.211765,0,0,0,0,0.166667,0,0.111434,0.115945,0.117325,0
9,0,0.048059,0.001848,0,0,0.007407,0.033333,0,0.573997,0.620320,0.702649,0
9,0.007154,0.010334,0,0,0,0.001591,0.003978,0,0.690434,0.749911,0.851270,0
9,0.017647,0,0,0,0,0.023669,0,0,0.497661,0.530261,0.600318,0
9,0,0.162222,0.004444,0,0,0.03118,0.131403,0,0.217583,0.219153,0.237695,0
9,0,0.010526,0,0,0,0,0,0,0.441143,0.471328,0.527365,0
9,0,0.027778,0.013889,0,0,0.007952,0.017893,0,0.551212,0.593994,0.669536,0
9,0,0.002853,0.00428,0,0,0.002857,0.001429,0,0.874089,0.949785,1.082441,0
9,0,0,0,0,0,0.019608,0,0,0.576549,0.617065,0.700229,0
9,0,0.057627,0.001695,0,0,0.013582,0.040747,0,0.310573,0.322459,0.354063,1
9,0,0.08,0,0,0,0,0.060606,0,0.429556,0.460796,0.514670,2
9,0,0.058901,0,0,0,0.003932,0.044561,0,0.569712,0.614570,0.693345,1
9,0.007042,0.001761,0.001761,0,0,0.002643,0,0,0.649468,0.704620,0.801737,1
9,0.027933,0,0.011173,0,0,0.033708,0,0,0.419741,0.443818,0.501872,0
9,0.023256,0.042283,0,0,0,0.004237,0.023305,0,0.151887,0.160620,0.169146,0
9,0.04918,0.155738,0.008197,0,0,0.016529,0.115702,0,0.240530,0.255115,0.282750,0
9,0.00846,0.067682,0.005076,0,0,0.001695,0.054237,0,0.412211,0.446927,0.505351,0
9,0.002894,0.002894,0,0,0,0.001449,0.001449,0,0.812964,0.883720,1.006107,0
9,0.011494,0.011494,0.005747,0,0,0.034682,0.00578,0,0.409135,0.432541,0.485637,0
9,0,0.085185,0,0,0,0.014842,0.055659,0,0.224552,0.230170,0.245795,0
9,0,0.020833,0,0,0,0,0.006993,0,0.530859,0.571509,0.645264,1
9,0,0.049858,0.002849,0,0,0.007133,0.034237,0,0.602413,0.649652,0.735745,2
9,0,0.003241,0.001621,0,0,0,0.001623,0,0.861054,0.935736,1.066118,1
9,0,0,0.012739,0,0,0.025641,0,0,0.608457,0.652486,0.737745,0
9,0,0.078652,0,0,0,0.017685,0.05627,0,0.299549,0.310742,0.339407,2
9,0,0,0.009709,0,0,0.019608,0,0,0.387689,0.405666,0.453195,0
9,0.005222,0.049608,0.003916,0,0,0.005229,0.035294,0,0.575552,0.620543,0.703240,1
9,0,0.005833,0.0025,0,0,0.00417,0.003336,0,0.824515,0.894477,1.018968,2
9,0,0.022472,0.005618,0,0,0.028249,0.00565,0,0.625810,0.672239,0.761372,1
9,0,0.064401,0.003578,0,0,0.012545,0.046595,0,0.205783,0.211394,0.222837,1
9,0,0.127119,0,0,0,0.008547,0.08547,0,0.378841,0.401470,0.454953,2
9,0,0.092883,0.001206,0,0,0.001208,0.074879,0,0.431487,0.463333,0.523005,1
9,0.020647,0.005506,0,0,0,0,0.004132,0,0.652172,0.708550,0.804365,0
9,0,0.025641,0.012821,0,0,0.012903,0.006452,0,0.632213,0.679788,0.769367,0
9,0,0.13465,0.005386,0,0,0.017986,0.111511,0,0.312097,0.324248,0.357681,2
9,0.119658,0.119658,0.008547,0,0,0,0.086207,0,0.129272,0.135316,0.141527,0
9,0,0.021717,0.002068,0,0,0.003106,0.014493,0,0.598883,0.647386,0.733143,0
9,0.00309,0.004326,0.001236,0,0,0.004329,0.003092,0,0.770842,0.836374,0.952185,2
9,0,0.011173,0.005587,0,0,0.016854,0.005618,0,0.633105,0.679052,0.770578,0
9,0.021127,0.070423,0,0,0,0.010582,0.051146,0,0.193923,0.202311,0.214187,0
9,0.018868,0.160377,0,0,0,0,0.104762,0,0.341882,0.368706,0.406584,0
9,0,0.048889,0,0,0,0.002967,0.031157,0,0.589564,0.635513,0.720060,0
9,0,0.007053,0,0,0,0,0.003922,0,0.837313,0.909757,1.035801,0
9,0,0.061644,0,0,0,0.034483,0.048276,0,0.567041,0.605676,0.685945,0
9,0,0.093306,0.002028,0,0,0.028455,0.069106,0,0.225309,0.230261,0.246165,0
9,0,0.056075,0.009346,0,0,0.028302,0.028302,0,0.225907,0.232657,0.254138,0
9,0,0.029032,0.003226,0,0,0.011309,0.017771,0,0.552984,0.593702,0.670234,0
9,0,0.005549,0,0,0,0.003333,0.001111,0,0.755238,0.819084,0.931125,0
9,0.016129,0,0,0,0,0.043243,0,0,0.450868,0.479169,0.542108,0
9,0,0.039648,0.006608,0,0,0.02649,0.02649,0,0.220808,0.225585,0.242726,0
9,0,0.21875,0,0,0,0,0.181102,0,0.476277,0.514118,0.579573,1
9,0,0.049952,0,0,0,0,0.0375,0,0.643424,0.696183,0.790510,0
9,0,0.005435,0.000604,0,0,0,0.003021,0,0.830118,0.902144,1.027077,0
9,0,0.051429,0,0,0,0.028736,0.045977,0,0.634313,0.681637,0.774997,0
9,0,0.137931,0,0,0,0.021818,0.110909,0,0.287222,0.296591,0.324943,0
9,0,0.015267,0.015267,0,0,0.023077,0.007692,0,0.522496,0.558470,0.631890,0
9,0,0.042936,0.004155,0,0,0.009709,0.033287,0,0.587650,0.632685,0.716708,0
9,0.003182,0.005569,0.006364,0,0,0.003185,0.002389,0,0.748017,0.810534,0.922293,0
9,0,0.012195,0,0,0,0.01227,0.006135,0,0.617507,0.661092,0.749625,0
