@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1041 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.028169,0.119718,0,0,0.028269,0,0,0.535555,0.561905,0.646246,0
0,0.22,0,0,0.026702,0.056075,0,0.242848,0.240296,0.265787,0
0,0.09434,0,0,0.012658,0.082278,0,0.479723,0.502697,0.572832,0
0,0.059524,0,0,0.009535,0.0441,0,0.583376,0.616702,0.704794,0
0,0.011121,0,0,0.002568,0.004281,0,0.895614,0.955558,1.105772,0
0,0.167315,0,0,0.015625,0.011719,0,0.604344,0.633615,0.729007,0
0,0.095528,0,0,0.02238,0.046796,0,0.324578,0.333080,0.372247,1
0,0.041667,0,0,0.011976,0.053892,0,0.459043,0.482883,0.546910,2
0,0.023548,0,0,0.006284,0.043991,0,0.601476,0.637271,0.730302,1
0.012672,0.013728,0.000528,0,0.002641,0.003698,0,0.678360,0.723164,0.834321,1
0.043478,0.187291,0,0,0.02349,0,0,0.454169,0.472360,0.541094,0
0.029151,0.031686,0,0,0.01269,0.031726,0,0.172012,0.182385,0.191265,0
0.068627,0.083333,0,0,0.009852,0.059113,0,0.274019,0.284349,0.320360,0
0.013198,0.026396,0,0,0.002033,0.005081,0,0.441803,0.471710,0.538097,0
0.002604,0.003472,0,0,0.000869,0.003475,0,0.837427,0.893990,1.033072,0
0.017241,0.12069,0,0,0.031142,0.00692,0,0.436332,0.456161,0.520439,0
0,0.078889,0,0,0.01891,0.046719,0,0.246891,0.250751,0.273916,0
0,0.062241,0,0,0.004167,0.033333,0,0.564997,0.596182,0.683753,1
0,0.079487,0,0,0.005988,0.019675,0,0.635185,0.671540,0.771098,2
0,0.006809,0,0,0.000974,0.009737,0,0.882254,0.941355,1.089064,1
0,0.064639,0,0,0.022901,0.034351,0,0.637282,0.672503,0.773197,0
0,0.086705,0,0,0.020251,0.041466,0,0.315044,0.323293,0.360030,2
0,0.063953,0,0,0.035088,0.005848,0,0.405273,0.419586,0.477941,0
0.007048,0.068128,0,0,0.004702,0.012539,0,0.603341,0.638236,0.733283,1
0,0.02049,0,0,0.004,0.002,0,0.848277,0.903783,1.045368,2
0,0.084175,0,0,0.023649,0.013514,0,0.652746,0.689179,0.793944,1
0,0.079399,0,0,0.019334,0.116004,0,0.224402,0.227047,0.245246,1
0,0.152284,0,0,0.010204,0.010204,0,0.415834,0.430416,0.493787,2
0.000723,0.095445,0,0,0.000724,0.019537,0,0.469545,0.493268,0.562633,1
0.02725,0.004955,0,0,0.000413,0.008261,0,0.684714,0.731049,0.841151,0
0,0.05,0,0,0.019305,0.007722,0,0.656264,0.694400,0.799011,0
0,0.076426,0,0,0.025862,0.020474,0,0.332878,0.342026,0.384520,2
0.127551,0.015306,0,0,0,0.051282,0,0.155544,0.159715,0.169557,0
0.001241,0.055831,0,0,0.005587,0.014277,0,0.629989,0.668758,0.767244,0
0.004077,0.028169,0,0,0.003337,0.003337,0,0.793469,0.845236,0.976325,2
0,0.086957,0,0,0.020134,0,0,0.664458,0.701035,0.808480,0
0.031712,0.063425,0,0,0.020106,0.050794,0,0.210592,0.217959,0.232511,0
0.02809,0,0,0,0,0.056497,0,0.385493,0.407902,0.457501,0
0,0.081778,0,0,0.004448,0.02669,0,0.620591,0.655420,0.753025,0
0,0.003759,0,0,0.00047,0.006582,0,0.860578,0.917987,1.060955,0
0,0.114754,0,0,0.028807,0.004115,0,0.594504,0.624641,0.719074,0
0,0.125152,0,0,0.027981,0.085158,0,0.248868,0.251014,0.275514,0
0.011236,0.129213,0,0,0.016949,0.022599,0,0.250989,0.255091,0.281343,0
0,0.090997,0,0,0.008721,0.028101,0,0.585426,0.616533,0.706519,0
0.000666,0.01932,0,0,0.003333,0.006667,0,0.782385,0.833074,0.961041,0
0.022581,0.158065,0,0,0.029126,0,0,0.478523,0.500123,0.573477,0
0,0.174142,0,0,0.030383,0.050198,0,0.248533,0.249487,0.272212,0
0,0.032864,0,0,0,0.037736,0,0.506602,0.534998,0.612516,1
0,0.053026,0,0,0.000577,0.008651,0,0.672627,0.713547,0.821176,0
