@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature788 numeric
@attribute bi_feature809 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1301 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0,0.635417,0.660279,0.813272,0
0,0,0,0,0,0,0.291908,0.299585,0.349808,0
0,0,0,0,0,0,0.361265,0.374124,0.450946,0
0,0,0,0,0,0,0.469748,0.486292,0.594284,0
0.002913,0,0,0,0,0,0.803504,0.843269,1.041882,0
0,0,0,0,0,0,0.613777,0.637498,0.784133,0
0,0,0,0,0,0,0.284954,0.290898,0.342693,0
0,0,0,0,0,0,0.359600,0.370906,0.442422,0
0,0,0,0,0,0,0.513910,0.535827,0.655262,1
0.012163,0,0,0,0,0.000529,0.716355,0.752319,0.928358,2
0,0,0,0,0,0,0.550941,0.573622,0.700090,0
0,0,0,0,0,0,0.279391,0.282976,0.333856,1
0,0,0,0,0,0,0.488074,0.505897,0.618383,0
0.004167,0,0,0,0,0,0.420186,0.434581,0.529017,0
0.014039,0,0,0,0,0,0.618575,0.648923,0.797235,0
0,0,0,0,0,0,0.564783,0.585916,0.719738,0
0.007547,0,0,0,0,0,0.176529,0.180889,0.195338,0
0,0,0,0,0,0,0.545313,0.564656,0.690600,1
0,0,0,0,0,0,0.430827,0.444575,0.543599,0
0.000997,0,0,0,0,0,0.772581,0.810959,0.999290,0
0,0,0,0,0,0,0.620422,0.643285,0.790913,0
0,0,0,0,0,0,0.267988,0.272983,0.321700,0
0,0,0,0,0,0,0.244739,0.249498,0.293853,0
0.004794,0,0,0,0,0,0.399539,0.415429,0.502767,0
0.017062,0,0,0,0,0,0.630478,0.662081,0.814282,0
0,0,0,0,0,0,0.567760,0.586967,0.720474,0
0.010033,0,0,0,0,0,0.235454,0.243155,0.276790,0
0.035928,0,0,0,0,0,0.327333,0.341503,0.407714,1
0.046398,0,0,0,0,0,0.204510,0.218832,0.244060,0
0.033708,0,0,0,0,0,0.448820,0.471902,0.574059,0
0.091892,0,0,0,0,0,0.361778,0.376226,0.451790,0
0,0,0,0,0,0,0.217061,0.218321,0.249427,0
0,0,0,0,0,0,0.375284,0.386090,0.466243,0
0.017493,0,0,0,0,0,0.452229,0.472265,0.574643,0
0.01056,0,0,0,0,0,0.753806,0.791135,0.977745,0
0,0,0,0,0,0,0.599052,0.620960,0.763776,0
0,0,0,0,0,0,0.319374,0.326914,0.388062,0
0,0,0,0,0,0,0.339793,0.348394,0.417879,0
0.007491,0,0,0,0,0,0.446999,0.462847,0.565425,0
0,0,0,0,0,0,0.774810,0.812126,1.003069,1
0,0,0,0,0,0,0.611808,0.635661,0.782660,0
