@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature1041 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.135,0,0,0.01005,0,0.499891,0.519349,0.594608,2
0.003234,0.046079,0,0,0.023463,0,0.500464,0.529197,0.604899,0
0.001275,0.01504,0,0,0.00357,0,0.775141,0.822296,0.948852,1
0,0.182825,0,0,0.002778,0,0.579580,0.604580,0.696958,2
0.037223,0.084507,0,0,0.014595,0,0.394483,0.410364,0.463996,2
0,0.152174,0,0,0,0,0.260265,0.260971,0.292205,0
0,0.099822,0,0,0.015165,0,0.541284,0.567110,0.648240,0
0.056106,0.014521,0,0,0.01321,0,0.552394,0.587309,0.672031,0
0.089655,0.158621,0,0,0,0,0.413043,0.426860,0.487884,0
0.009991,0.112625,0,0,0.024545,0,0.346936,0.358710,0.400508,0
0.074534,0.111801,0,0,0.0625,0,0.249348,0.254856,0.278970,0
0.006002,0.033613,0,0,0.015616,0,0.688495,0.729722,0.838772,0
0,0.005692,0,0,0.011959,0,0.854370,0.908235,1.049107,0
0,0.150735,0,0,0.00369,0,0.642257,0.672630,0.774018,0
0,0.134541,0,0,0.050518,0,0.256743,0.258912,0.282356,0
0,0.098837,0,0,0.035088,0,0.257991,0.264246,0.291608,0
0.020558,0.093979,0,0,0.011756,0,0.538198,0.566088,0.646753,0
0.021831,0.004245,0,0,0.009709,0,0.746739,0.794271,0.916689,0
0.058309,0.037901,0,0,0,0,0.397305,0.419477,0.474978,0
0.021627,0.143151,0,0,0.037113,0,0.255976,0.258449,0.280943,0
0.054913,0.034682,0,0,0.02029,0,0.530351,0.561769,0.644846,2
0.003525,0.121034,0,0,0.027059,0,0.441944,0.460954,0.519336,0
0,0.001672,0,0,0.006693,0,0.864817,0.919871,1.062421,0
0,0.145594,0,0,0.019231,0,0.549867,0.575743,0.661526,0
0,0.09185,0,0,0.059585,0,0.297035,0.304588,0.334759,0
0,0.09434,0,0,0.082278,0,0.481274,0.502697,0.572832,0
0,0.059524,0,0,0.0441,0,0.585283,0.616702,0.704794,0
0,0.011121,0,0,0.004281,0,0.898819,0.955558,1.105772,0
0,0.167315,0,0,0.011719,0,0.606459,0.633615,0.729007,0
0,0.095528,0,0,0.046796,0,0.325476,0.333080,0.372247,1
0,0.041667,0,0,0.053892,0,0.460345,0.482883,0.546910,2
0,0.023548,0,0,0.043991,0,0.603404,0.637271,0.730302,1
0.012672,0.013728,0.000528,0,0.003698,0,0.680730,0.723164,0.834321,1
0.043478,0.187291,0,0,0,0,0.455696,0.472360,0.541094,0
0.029151,0.031686,0,0,0.031726,0,0.172332,0.182385,0.191265,0
0.068627,0.083333,0,0,0.059113,0,0.274541,0.284349,0.320360,0
0.013198,0.026396,0,0,0.005081,0,0.443155,0.471710,0.538097,0
0.002604,0.003472,0,0,0.003475,0,0.840384,0.893990,1.033072,0
0.017241,0.12069,0,0,0.00692,0,0.437744,0.456161,0.520439,0
0,0.078889,0,0,0.046719,0,0.247335,0.250751,0.273916,0
0,0.062241,0,0,0.033333,0,0.566868,0.596182,0.683753,1
0,0.079487,0,0,0.019675,0,0.637268,0.671540,0.771098,2
0,0.006809,0,0,0.009737,0,0.885409,0.941355,1.089064,1
