@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature3 numeric
@attribute psy_feature5 numeric
@attribute psy_feature6 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data
4,2,0.302054,2.801379,0.470892,0.948162,0
5,7,-0.180892,4.620474,-0.282604,0.89957,0
1,2,0.678295,6.480149,0.398548,0.757222,0
2,8,-0.072206,3.260765,-0.123436,0.774226,0
3,3,0.943991,4.067144,0.945531,0.69388,0
4,2,1.121968,3.791195,0.85866,0.980033,0
5,7,-0.29501,6.652536,-0.378958,1.208123,0
1,2,-0.154288,4.096242,0.080045,0.811309,0
2,8,-0.127578,3.18945,-0.077292,1.083968,0
3,5,0.306951,3.7363,0.575633,0.63377,0
4,2,0.830764,3.996101,0.905985,1.005075,0
5,7,-0.041428,3.730318,0.067382,0.864088,0
1,2,-0.349135,4.819002,-0.108521,1.127638,1
2,14,0.085322,4.238523,0.217263,2.602897,2
3,6,0.082328,4.220442,0.241011,1.055031,2
4,3,0.890988,3.351985,1.117403,0.935641,0
5,7,-0.210431,5.149257,-0.178654,0.951401,2
1,2,0.778319,5.661878,0.666432,0.891621,0
2,10,0.051495,4.04139,0.178054,1.281469,0
3,7,0.633367,3.437098,0.565342,1.053724,0
4,2,0.987282,2.84464,1.143435,0.912876,0
5,7,-0.461608,5.123771,-0.432126,1.039758,0
1,2,0.408317,4.151927,0.340192,0.853923,0
2,8,0.019064,4.201903,-0.13829,0.860252,0
3,6,0.073973,3.295283,-0.193796,0.935954,0
4,2,0.86134,3.186567,1.05024,0.934503,0
5,6,-0.256271,4.554069,-0.29269,0.769817,0
1,2,0.058358,6.101586,0.052923,0.973571,0
2,8,-0.007119,4.702139,-0.177744,0.888757,0
3,4,0.27426,4.769537,0.365493,1.222294,1
4,2,1.158726,3.006776,1.279981,0.846858,0
5,7,-0.253322,3.703772,-0.287494,0.991057,0
1,2,0.332293,4.426246,0.548604,0.896538,0
2,8,0.344487,3.059064,0.477089,0.75412,0
3,7,0.486094,3.351255,0.691827,0.843665,0
4,2,1.276635,3.523456,1.346454,0.920844,0
5,7,-0.159765,3.757688,-0.038571,1.060977,0
1,2,0.118405,4.660529,0.337714,0.82606,0
2,8,0.149853,3.968782,0.32156,0.675985,0
3,3,0.474068,3.815871,0.435682,0.575783,0
4,2,1.376673,2.739084,1.418586,0.995969,0
5,7,-0.35679,4.289719,-0.35147,1.110721,1
1,2,-0.386757,2.488381,-0.277286,0.999795,0
2,9,-0.030991,3.687866,-0.251441,0.938132,1
3,5,-0.452523,3.541463,-0.657419,0.790579,0
4,2,0.856731,3.080117,1.080008,0.875314,0
5,8,-0.00911,3.781682,-0.143652,2.097952,0
1,2,0.19392,4.961143,0.212347,0.647408,0
2,10,-0.173346,4.093473,-0.236894,1.276125,0
3,5,0.195403,3.879328,0.066356,0.890054,1
4,2,0.623516,4.229915,0.744703,0.821816,0
5,7,-0.108896,5.030177,-0.006383,0.84913,0
1,2,0.295721,4.539792,0.159565,0.82606,0
2,8,0.071456,3.890653,0.183104,0.687183,0
3,4,0.357891,4.0526,0.484996,0.609595,0
4,2,0.719939,4.126804,0.825702,0.923121,0
5,7,-0.290873,4.804256,-0.189596,0.90931,0
1,2,-0.065038,5.269266,-0.20886,1.160418,1
2,8,0.077204,4.543385,0.14651,0.997688,2
3,8,0.064945,4.473364,0.160789,1.296288,2
4,2,0.517294,3.152967,0.818398,1.087029,0
5,7,-0.080641,4.429462,0.158309,1.01332,2
1,2,0.217747,4.222658,0.252389,1.055521,0
2,8,-0.035068,3.485899,0.065435,0.913699,0
3,7,-0.066185,3.585223,0.242449,0.97875,1
4,2,1.086611,2.988807,1.160068,0.95613,0
5,7,-0.098004,3.652439,0.063439,0.876959,1
