@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature3 numeric
@attribute psy_feature5 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data
2,8,0.062763,3.765315,0.919997,0
3,9,0.109667,3.667449,1.047734,0
4,2,1.02177,3.85117,0.942053,0
5,7,-0.243181,4.448673,0.998014,0
1,2,0.142336,3.503729,0.91555,1
2,8,-0.299438,3.612764,0.662163,0
3,5,0.194375,3.758382,0.894773,0
4,2,0.70115,3.570433,0.863168,0
5,7,0.031527,3.635125,0.902058,0
1,2,0.07594,5.252722,0.98434,0
2,8,0.242951,3.371703,0.783946,0
3,8,0.152807,3.417787,1.054899,0
4,2,0.78318,2.790591,1.137552,0
5,7,-0.324323,4.188991,1.095734,0
1,2,0.123367,5.794505,1.066231,0
2,8,0.122898,3.788628,0.727131,0
3,7,0.06598,3.754747,0.858782,0
4,2,0.974654,4.479473,1.055237,0
5,7,-0.232274,4.006843,1.174051,0
1,2,-0.001936,5.865826,0.797626,0
2,8,-0.188553,4.783542,0.854774,1
3,8,0.328242,4.19326,1.575767,2
4,3,0.294296,3.476314,1.090678,0
5,7,-0.050644,5.160203,1.001189,1
1,2,0.378178,5.853308,1.293891,0
2,8,0.01649,3.704572,0.611718,0
3,8,0.340019,3.672899,0.771971,0
4,2,0.473565,3.573718,0.89175,0
5,7,-0.246363,5.855324,0.935219,0
1,2,0.453969,5.325631,1.587063,1
2,8,0.323343,3.483463,0.719743,0
3,6,-0.109163,4.185694,0.836455,0
4,2,1.14558,2.64082,1.131836,0
5,7,-0.374895,5.071835,1.100673,0
1,2,0.083163,5.18147,0.964686,0
2,13,0.118453,6.312105,1.329677,0
3,7,0.060183,4.034402,0.87961,0
4,2,1.371678,2.99686,1.235874,0
5,7,-0.172628,5.47714,1.056222,0
1,2,0.266134,5.537619,1.372507,1
2,11,-0.042379,5.832212,1.044582,0
3,5,0.339706,4.701641,0.667664,0
4,2,0.580756,3.289836,1.05981,0
5,7,-0.175241,5.590564,0.959561,0
1,2,0.190753,4.727714,0.987615,0
2,8,0.035214,4.337568,0.874647,0
3,5,0.27005,4.048899,0.7898,0
4,2,1.07515,4.150497,1.035802,0
5,7,-0.278637,4.068149,1.039289,0
1,2,0.170231,5.945864,0.953221,0
2,8,-0.015544,3.852648,0.680507,0
3,9,0.423311,3.865538,1.088224,1
4,2,0.982788,3.064032,1.039231,0
5,7,-0.372867,4.690851,1.076331,0
1,2,0.168007,3.752881,1.030199,0
2,8,0.13526,3.491962,0.768915,0
3,8,0.164591,3.339058,0.714152,0
4,2,0.993542,3.240395,1.028942,0
5,7,-0.315851,3.358328,0.955327,0
