@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1281 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.002671,0,0.000891,0.001783,0.004456,0,0,0.735377,0.791823,0.936428,1
0,0,0,0.012195,0.02439,0,0,0.616832,0.652875,0.768902,0
0,0,0,0,0,0,0,0.273552,0.280375,0.319775,0
0,0,0,0,0,0,0,0.047768,0.055097,0.042903,2
0,0,0,0.001786,0,0,0,0.314938,0.337398,0.393445,2
0,0,0,0.001361,0,0,0,0.701288,0.754337,0.891599,2
0,0,0,0,0,0,0,0.511732,0.539198,0.631857,0
0,0,0.003484,0.003484,0,0,0,0.246363,0.246346,0.271167,0
0,0,0,0,0,0,0,0.434243,0.459692,0.536647,2
0,0,0.001733,0.003466,0.001733,0,0,0.505869,0.541835,0.637011,1
0,0,0,0,0,0,0,0.671221,0.722630,0.852664,1
0,0,0,0.015625,0.015625,0,0,0.489281,0.510531,0.596184,0
0,0,0.007092,0.003546,0.014184,0,0,0.256597,0.256540,0.287366,0
0,0,0,0,0,0,0,0.359101,0.376151,0.433989,1
0,0,0.00277,0.00831,0,0,0,0.399564,0.424589,0.495440,0
0.008117,0,0,0,0,0,0,0.580077,0.623354,0.734412,0
0,0,0,0.011905,0,0,0,0.407953,0.425447,0.493325,0
0,0,0,0.004,0.004,0,0,0.271755,0.279413,0.314247,0
0,0,0,0,0,0,0,0.550352,0.589627,0.691503,0
0,0,0,0.005747,0,0,0,0.510414,0.543739,0.635984,0
0,0,0,0.002252,0,0,0,0.775348,0.834919,0.987846,0
0,0,0,0,0,0,0,0.624155,0.671407,0.789181,0
0,0,0.003922,0,0.019608,0,0,0.244707,0.249090,0.276265,0
0,0,0,0,0,0,0,0.319718,0.335280,0.380985,0
0.00409,0,0,0.002049,0.002049,0,0,0.355990,0.377267,0.434105,0
0,0,0,0.002342,0,0,0,0.749650,0.806575,0.953270,0
0,0,0,0,0,0,0,0.529018,0.559142,0.655972,0
0,0,0,0.008163,0,0,0,0.213237,0.212266,0.229920,0
0,0,0,0,0,0,0,0.295114,0.304620,0.348118,0
0.007538,0,0,0.002519,0,0,0,0.466989,0.499628,0.587839,0
0,0,0.001621,0.003241,0,0,0,0.705240,0.759621,0.896968,0
0,0,0,0.022472,0,0,0,0.600086,0.631338,0.741299,0
0,0,0,0,0.002994,0,0,0.327582,0.338704,0.388175,0
0,0,0,0,0,0,0,0.305747,0.322716,0.373502,0
0,0,0,0,0,0,0,0.463561,0.495342,0.579972,0
