@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature961 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0.030318,0,0,0.005382,0.024951,0,0.739781,0.788245,0.918823,2
9,0,0.007746,0,0,0.002326,0.005426,0,0.808331,0.862983,1.006506,2
9,0,0.128205,0,0,0.020183,0.108257,0,0.283162,0.291867,0.327561,2
9,0.003831,0.066411,0,0,0.002558,0.05243,0,0.536310,0.567250,0.658569,2
9,0.00252,0.006931,0,0,0.001261,0.001892,0,0.793325,0.847507,0.988380,2
9,0,0.041237,0,0,0.013769,0.022375,0,0.276673,0.290995,0.325884,2
9,0,0.063704,0,0,0.005935,0.045994,0,0.523845,0.554587,0.640053,0
9,0,0,0,0,0.01676,0,0,0.616159,0.654775,0.758311,0
9,0,0.085185,0,0,0.014842,0.055659,0,0.223298,0.224866,0.245795,0
9,0,0.058252,0,0,0.019608,0.04902,0,0.225907,0.231777,0.256990,0
9,0.018868,0.160377,0,0,0,0.104762,0,0.339482,0.360222,0.406584,0
9,0,0.025,0,0,0.02521,0.008403,0,0.374390,0.389894,0.446296,0
9,0,0.0375,0,0,0.006289,0.018868,0,0.568472,0.603980,0.698786,0
9,0.013464,0.020808,0,0,0.007353,0.01348,0,0.501021,0.530946,0.613890,0
9,0,0.010204,0,0,0.020619,0,0,0.142383,0.140003,0.149633,0
9,0,0.083333,0,0,0,0.061453,0,0.680580,0.726524,0.845448,0
9,0.001348,0.039084,0,0,0.00135,0.026991,0,0.467178,0.497927,0.574552,0
9,0.06,0,0,0,0.030303,0,0,0.079658,0.073031,0.071164,0
9,0,0.094488,0,0,0.007937,0.063492,0,0.466175,0.493250,0.564850,0
9,0.009804,0.039216,0,0,0,0.009901,0,0.103232,0.107178,0.109156,0
9,0.009174,0,0,0,0,0,0,0.040878,0.054703,0.040574,0
