@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature961 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0.070513,0,0,0.012903,0.051613,0,0.536681,0.564138,0.656071,1
9,0,0.072587,0,0,0.006182,0.05796,0,0.600112,0.637090,0.738860,0
9,0.00414,0.005914,0,0,0.001775,0.000592,0,0.758305,0.810699,0.943286,1
9,0,0,0,0,0.02439,0,0,0.648332,0.683708,0.796337,0
9,0,0.101083,0,0,0.012658,0.079566,0,0.265239,0.269859,0.297906,0
9,0,0.13,0,0,0.010101,0.090909,0,0.254042,0.266478,0.298541,0
9,0,0.063319,0,0,0.003279,0.052459,0,0.623081,0.662719,0.770111,0
9,0,0.011059,0,0,0.003494,0.005242,0,0.738480,0.788014,0.917163,1
9,0,0.01005,0,0,0.015152,0,0,0.678782,0.720751,0.838812,0
9,0,0.151803,0,0,0.013308,0.125475,0,0.321266,0.333108,0.376131,0
9,0,0.134454,0,0,0.008475,0.101695,0,0.485926,0.510411,0.593238,0
9,0,0.072654,0,0,0.010101,0.050505,0,0.548273,0.579841,0.670769,0
9,0.00534,0.010236,0,0,0.003562,0.006233,0,0.795390,0.849785,0.990842,1
9,0,0,0,0,0.030303,0,0,0.671104,0.708418,0.824788,0
9,0,0.020833,0,0,0.003795,0.017078,0,0.321826,0.332116,0.371472,0
9,0.026144,0.045752,0,0,0.006579,0.026316,0,0.058506,0.067069,0.058681,2
9,0.008905,0.09528,0,0,0.000891,0.081996,0,0.372569,0.395481,0.456019,2
9,0.001359,0.004076,0,0,0.00136,0.00136,0,0.763097,0.814774,0.948785,2
9,0,0,0,0,0.011561,0,0,0.571797,0.601519,0.697809,0
9,0,0.060764,0,0,0.010435,0.041739,0,0.273974,0.278902,0.308565,0
9,0,0.1,0,0,0,0.064748,0,0.489302,0.513227,0.593824,2
9,0,0.072602,0,0,0.002595,0.056228,0,0.567420,0.601442,0.697924,1
9,0,0.004942,0,0,0.000824,0.000824,0,0.738129,0.788558,0.915680,1
9,0,0,0,0,0.038462,0,0,0.537735,0.562099,0.653397,0
9,0,0.082892,0,0,0.021201,0.065371,0,0.288755,0.292504,0.326866,0
9,0,0.111675,0,0,0.010204,0.081633,0,0.410311,0.428030,0.493710,1
9,0.005525,0.063536,0,0,0.006916,0.047026,0,0.460379,0.485418,0.560927,0
9,0.021898,0.004866,0,0,0.002435,0.002435,0,0.642575,0.685547,0.796647,0
9,0,0.017544,0,0,0.023529,0.011765,0,0.468065,0.490232,0.564963,0
9,0,0.093439,0,0,0.007968,0.069721,0,0.301879,0.311882,0.350532,0
9,0,0.14433,0,0,0.005181,0.124352,0,0.605603,0.644136,0.749991,0
