@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature279 numeric
@attribute bi_feature327 numeric
@attribute bi_feature841 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.020558,0.093979,0,0,0,0.084497,0.005878,0,0.545490,0.566088,0.646753,0
0.021831,0.004245,0,0,0,0.002427,0.00182,0,0.757026,0.794271,0.916689,0
0.058309,0.037901,0,0,0,0.023392,0.01462,0,0.401858,0.419477,0.474978,0
0.021627,0.143151,0,0,0,0.105155,0.030928,0,0.259172,0.258449,0.280943,0
0.054913,0.034682,0,0.002899,0,0.023188,0.005797,0,0.536992,0.561769,0.644846,2
0.003525,0.121034,0,0,0,0.114118,0.004706,0,0.447613,0.460954,0.519336,0
0,0.001672,0,0,0,0.001115,0,0,0.877013,0.919871,1.062421,0
0,0.145594,0,0,0,0.119231,0.019231,0,0.557325,0.575743,0.661526,0
0,0.09185,0,0,0,0.059585,0.031088,0,0.301183,0.304588,0.334759,0
0,0.034965,0,0,0,0.028169,0,0,0.159326,0.160461,0.168442,0
0,0.035437,0,0,0,0.026608,0.004435,0,0.620879,0.647442,0.743788,0
0.010496,0.005248,0,0,0,0.003341,0.001432,0,0.732916,0.768603,0.884720,0
0.028169,0.119718,0,0,0,0.088339,0.028269,0,0.544641,0.561905,0.646246,0
0,0.22,0,0,0,0.184246,0.026702,0,0.246731,0.240296,0.265787,0
0,0.09434,0,0,0,0.06962,0.012658,0,0.488008,0.502697,0.572832,0
0,0.059524,0,0,0,0.046484,0.009535,0,0.593502,0.616702,0.704794,0
0,0.011121,0,0,0,0.008562,0.002568,0,0.911515,0.955558,1.105772,0
0,0.167315,0,0,0,0.140625,0.015625,0,0.614922,0.633615,0.729007,0
0,0.095528,0,0,0,0.066124,0.02238,0,0.329953,0.333080,0.372247,1
0,0.041667,0,0,0,0.02994,0.011976,0,0.466858,0.482883,0.546910,2
0,0.023548,0,0,0,0.01414,0.006284,0,0.611930,0.637271,0.730302,1
0.012672,0.013728,0.000528,0.000528,0,0.010565,0.002641,0,0.689957,0.723164,0.834321,1
0.043478,0.187291,0,0,0,0.161074,0.02349,0,0.461675,0.472360,0.541094,0
0.029151,0.031686,0,0,0,0.016497,0.01269,0,0.170613,0.182385,0.191265,0
0.068627,0.083333,0,0,0,0.064039,0.009852,0,0.278378,0.284349,0.320360,0
0.013198,0.026396,0,0,0,0.021341,0.002033,0,0.447259,0.471710,0.538097,0
0.002604,0.003472,0,0,0,0.001738,0.000869,0,0.852106,0.893990,1.033072,0
0.017241,0.12069,0,0,0,0.086505,0.031142,0,0.443298,0.456161,0.520439,0
