@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1510 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.015203,0,0,0,0,0,0.036669,0.048620,0.035687,0
9,0,0,0,0.020619,0,0,0.142310,0.140551,0.149633,0
9,0,0,0,0.007143,0,0,0.348171,0.365908,0.417664,0
9,0,0,0,0.002857,0,0,0.866282,0.929716,1.082441,0
9,0.012968,0,0,0.012987,0,0,0.222235,0.232086,0.255529,0
9,0.044004,0,0,0.001101,0,0,0.511994,0.549187,0.633241,0
9,0,0,0,0.010101,0,0,0.547796,0.581202,0.670769,0
9,0,0,0,0.023529,0,0,0.467582,0.491762,0.564963,0
9,0,0,0,0.012903,0,0,0.626786,0.665616,0.769367,0
9,0.004004,0,0,0.003006,0,0,0.653288,0.698761,0.808961,0
9,0,0,0,0.004926,0,0,0.326333,0.340368,0.383764,0
9,0,0,0,0.032967,0,0,0.302211,0.300376,0.340117,0
9,0,0,0,0.012545,0,0,0.204614,0.206991,0.222837,1
9,0.040695,0,0,0.001372,0,0,0.274967,0.298639,0.337944,1
9,0,0,0,0.03125,0,0,0.543154,0.573085,0.661247,1
9,0,0,0,0.003932,0,0,0.564902,0.601573,0.693345,1
9,0,0,0,0,0,0,0.526381,0.559565,0.645264,1
9,0.003866,0,0,0.009032,0,0,0.252813,0.264575,0.293437,1
9,0,0,0,0.011928,0,0,0.205803,0.209909,0.226886,1
9,0.007874,0,0,0.007937,0,0,0.046118,0.045936,0.037928,1
9,0,0,0,0.014787,0,0,0.271869,0.279786,0.308082,1
9,0,0,0,0.003494,0,0.000582,0.737746,0.789988,0.917163,1
9,0.00414,0,0,0.001775,0,0,0.757548,0.812664,0.943286,1
9,0.02268,0,0,0.004132,0,0,0.133389,0.143147,0.145705,1
9,0,0,0,0.022968,0,0,0.278666,0.286226,0.320972,1
9,0.035813,0,0,0.001838,0.000919,0,0.643944,0.690958,0.801527,1
9,0.047927,0,0.001297,0.003891,0,0,0.348990,0.371307,0.424280,1
9,0,0,0,0.008065,0,0,0.301734,0.322660,0.362976,1
9,0.08982,0.006024,0,0,0,0,0.208542,0.220080,0.244201,1
9,0.004702,0,0,0.012559,0.00157,0.00157,0.253767,0.267631,0.292516,1
9,0,0,0,0.004608,0,0,0.800848,0.857828,0.998044,1
9,0.040706,0.001359,0,0.006793,0,0,0.266591,0.283108,0.319124,1
9,0,0,0,0.014706,0,0,0.467687,0.493415,0.565571,1
9,0.012012,0,0.000751,0.001503,0,0,0.641413,0.687931,0.797277,1
9,0.0217,0,0,0.012681,0,0,0.138541,0.140736,0.146322,1
9,0.02607,0,0,0.002676,0,0,0.756501,0.811633,0.944003,1
9,0.035928,0,0,0.006024,0,0,0.326150,0.345969,0.393290,1
9,0,0,0,0.007143,0,0,0.421537,0.447060,0.509489,1
9,0,0,0,0.001208,0,0,0.427875,0.453647,0.523005,1
9,0,0,0,0.028249,0,0,0.620440,0.658307,0.761372,1
9,0,0,0,0,0,0,0.853379,0.915975,1.066118,1
9,0.004065,0,0.001357,0.020353,0,0,0.488573,0.515768,0.595052,1
