@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.006329,0,0,0.012739,0,0.391663,0.416605,0.476109,0
9,0,0,0,0.01487,0,0.388776,0.407131,0.467442,0
9,0,0,0,0.02809,0,0.573479,0.603355,0.699149,0
9,0,0,0,0.023077,0,0.518584,0.546955,0.631890,0
9,0.003704,0,0,0.009276,0,0.359102,0.377613,0.430834,0
9,0,0,0,0.009766,0,0.281894,0.290441,0.322358,0
9,0.003049,0,0,0.015267,0,0.289567,0.298670,0.332842,0
9,0.007874,0,0,0.007937,0,0.046080,0.045936,0.037928,1
9,0.02268,0,0,0.004132,0,0.133348,0.143147,0.145705,1
9,0,0,0,0.011928,0,0.205755,0.209909,0.226886,1
9,0,0,0,0.028249,0,0.621110,0.658307,0.761372,1
9,0,0,0,0.00299,0,0.512165,0.544286,0.628217,1
9,0.08982,0.006024,0,0,0,0.208662,0.220080,0.244201,1
9,0.040706,0.001359,0,0.006793,0,0.266825,0.283108,0.319124,1
9,0,0,0,0.002595,0,0.567536,0.602814,0.697924,1
9,0,0,0,0.006897,0,0.772075,0.825416,0.959575,1
9,0.035813,0,0,0.001838,0.000919,0.644742,0.690958,0.801527,1
9,0,0,0,0,0,0.854442,0.915975,1.066118,1
9,0.00534,0,0,0.003562,0,0.795563,0.851928,0.990842,1
9,0,0,0,0.014706,0,0.468118,0.493415,0.565571,1
9,0.037893,0,0,0.0037,0,0.590350,0.631581,0.732049,1
9,0,0,0,0,0,0.526954,0.559565,0.645264,1
9,0,0,0,0.003932,0,0.565514,0.601573,0.693345,1
9,0,0,0,0.012545,0,0.204640,0.206991,0.222837,1
9,0,0,0,0.02381,0,0.234315,0.234997,0.264395,1
9,0.000425,0,0,0.003825,0,0.739987,0.791419,0.919215,1
9,0.004702,0,0,0.012559,0.00157,0.253821,0.267631,0.292516,1
9,0,0,0,0.013937,0,0.313029,0.326117,0.365723,1
9,0,0,0,0.013582,0,0.308498,0.315965,0.354063,1
9,0,0,0,0.010204,0,0.410346,0.429131,0.493710,1
9,0,0,0,0.003494,0,0.738616,0.789988,0.917163,1
9,0,0,0,0.014787,0,0.271889,0.279786,0.308082,1
9,0.02607,0,0,0.002676,0,0.757437,0.811633,0.944003,1
