@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1301 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.005979,0,0,0.022455,0,0,0.164704,0.170407,0.178529,0
9,0.08982,0.006024,0,0,0,0,0.208964,0.220170,0.241503,1
9,0.057971,0,0,0.001613,0,0,0.286908,0.308631,0.343895,0
9,0.029375,0.000625,0,0.001251,0,0,0.617395,0.661734,0.756206,1
9,0,0,0,0.01676,0,0,0.617009,0.657035,0.748731,0
9,0.02268,0,0,0.004132,0,0,0.133304,0.143637,0.145609,1
9,0,0,0,0.033613,0,0,0.450440,0.471612,0.534221,0
9,0.003171,0,0,0.008883,0,0,0.668323,0.712508,0.814357,0
9,0.003448,0,0,0.001151,0,0,0.763482,0.817634,0.936411,0
9,0.010526,0,0,0.010582,0,0,0.417079,0.438597,0.498646,0
9,0.003049,0,0,0.015267,0,0,0.289939,0.298528,0.328608,0
9,0,0,0,0.018349,0,0,0.345034,0.361483,0.404587,0
9,0,0,0,0.00292,0,0,0.616849,0.656788,0.749244,0
9,0.03166,0,0,0.001546,0,0,0.603469,0.646564,0.737664,0
9,0,0,0,0.006289,0,0,0.565673,0.600986,0.687021,0
9,0,0,0,0.009074,0,0,0.284547,0.291982,0.323342,0
9,0,0,0,0.033613,0,0,0.362116,0.371865,0.419922,0
9,0.007207,0,0,0.005415,0,0,0.425652,0.448229,0.506893,0
9,0.002375,0,0,0.001189,0,0,0.820900,0.879732,1.009425,0
9,0,0,0,0.031847,0,0,0.577523,0.610167,0.694779,0
9,0,0,0,0.010969,0,0,0.273955,0.281679,0.310873,0
9,0,0,0,0.008403,0,0,0.454290,0.476901,0.544411,2
9,0.001348,0,0,0.00135,0,0,0.467923,0.499546,0.567524,0
9,0.000425,0,0,0.003825,0,0,0.741053,0.792167,0.907124,1
9,0,0,0,0.023148,0,0,0.546319,0.576457,0.660919,2
9,0.030176,0,0,0.006711,0,0,0.365299,0.383294,0.432229,2
9,0,0,0,0.027523,0,0,0.239482,0.238208,0.263986,0
9,0,0,0,0.008929,0,0,0.502382,0.530871,0.603925,0
9,0.044004,0,0,0.001101,0,0,0.513291,0.549746,0.625185,0
9,0.074713,0,0,0.046243,0,0,0.387590,0.401137,0.454002,0
9,0.007564,0,0,0.015152,0,0,0.320870,0.334125,0.371402,0
9,0.041667,0,0,0.010526,0,0,0.199812,0.203753,0.219342,0
9,0.004004,0,0,0.003006,0,0,0.654992,0.699342,0.798269,0
9,0,0,0,0.00095,0,0,0.823074,0.881857,1.010510,0
9,0,0,0,0.037037,0,0,0.604233,0.638162,0.729617,0
9,0,0,0,0.010799,0,0,0.232481,0.233510,0.252639,0
9,0,0,0,0.019608,0,0,0.226162,0.232222,0.254005,0
9,0.013464,0,0,0.007353,0,0,0.501817,0.532619,0.606201,0
9,0.017189,0,0,0.001012,0,0,0.716500,0.767775,0.879249,0
9,0.038835,0,0,0.009756,0,0,0.372681,0.395860,0.446599,0
9,0.013722,0,0,0.024055,0,0,0.233032,0.233739,0.252447,0
9,0.038647,0,0,0.009709,0,0,0.500117,0.533444,0.607534,2
9,0,0,0,0.007843,0,0,0.409179,0.430626,0.484173,0
9,0,0,0,0,0,0,0.830482,0.890110,1.020082,0
9,0,0,0,0.032258,0,0,0.507873,0.536402,0.611773,0
9,0,0,0,0.023758,0,0,0.272987,0.279747,0.303731,0
9,0,0,0,0,0,0,0.111305,0.113318,0.115748,0
9,0,0,0,0.007407,0,0,0.570586,0.608095,0.693471,0
9,0.007154,0,0,0.001591,0,0,0.686189,0.734904,0.840011,0
9,0.017647,0,0,0.023669,0,0,0.494596,0.520086,0.592869,0
9,0,0,0,0.03118,0,0,0.216608,0.214267,0.234812,0
9,0,0,0,0,0,0,0.438600,0.461694,0.520545,0
9,0,0,0,0.007952,0,0,0.547924,0.581768,0.660665,0
9,0,0,0,0.002857,0,0,0.868604,0.930604,1.067985,0
9,0,0,0,0.019608,0,0,0.573001,0.604579,0.691384,0
9,0,0,0,0.013582,0,0,0.308909,0.315741,0.349390,1
9,0,0,0,0,0,0,0.427143,0.451120,0.507844,2
9,0,0,0,0.003932,0,0,0.566332,0.602003,0.684066,1
9,0.007042,0,0,0.002643,0,0,0.645452,0.690952,0.791330,1
9,0.027933,0,0,0.033708,0,0,0.417216,0.435338,0.496093,0
9,0.023256,0,0,0.004237,0,0,0.151930,0.162763,0.168625,0
9,0.04918,0,0,0.016529,0,0,0.239395,0.249781,0.279086,0
9,0.00846,0,0,0.001695,0,0,0.410132,0.440746,0.499557,0
9,0.002894,0,0,0.001449,0,0,0.807907,0.866097,0.992768,0
9,0.011494,0,0,0.034682,0,0,0.406685,0.424836,0.479664,0
9,0,0,0,0.014842,0,0,0.223508,0.225302,0.242701,0
9,0,0,0,0,0,0,0.527697,0.559892,0.636810,1
9,0,0,0,0.007133,0,0,0.598770,0.636338,0.726093,2
9,0,0,0,0,0,0,0.855666,0.916849,1.051869,1
9,0,0,0,0.025641,0,0,0.604718,0.639343,0.728023,0
9,0,0,0,0.017685,0,0,0.297990,0.304166,0.334892,2
9,0,0,0,0.019608,0,0,0.385358,0.397767,0.447597,0
9,0.005222,0,0,0.005229,0,0,0.572132,0.608314,0.694188,1
9,0,0,0,0.00417,0,0,0.819366,0.876540,1.005438,2
9,0,0,0,0.028249,0,0,0.621966,0.658719,0.751313,1
9,0,0,0,0.012545,0,0,0.204924,0.206783,0.219911,1
9,0,0,0,0.008547,0,0,0.376681,0.393253,0.449512,2
9,0,0,0,0.001208,0,0,0.429005,0.454039,0.516522,1
9,0.020647,0,0,0,0,0,0.648200,0.694767,0.793872,0
9,0,0,0,0.012903,0,0,0.628330,0.666027,0.759164,0
9,0,0,0,0.017986,0,0,0.310445,0.317463,0.353000,2
