@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature33 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1281 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.004494,0,0,0,0.002252,0,0,0,0.773299,0.834919,0.987846,0
0,0,0,0,0,0,0,0,0,0.622534,0.671407,0.789181,0
0,0.042969,0,0.003922,0.003922,0,0.019608,0,0,0.244290,0.249090,0.276265,0
0,0,0,0,0.053571,0,0,0,0,0.294491,0.304620,0.348118,0
0.007538,0.005025,0,0,0.005038,0.002519,0,0,0,0.465834,0.499628,0.587839,0
0,0.006472,0,0.001621,0,0.003241,0,0,0,0.703387,0.759621,0.896968,0
0,0.022222,0,0,0.011236,0.022472,0,0,0,0.598706,0.631338,0.741299,0
0,0.023881,0,0,0.011976,0,0.002994,0,0,0.327010,0.338704,0.388175,0
0,0,0,0,0,0,0,0,0,0.305130,0.322716,0.373502,0
0,0,0,0,0,0,0,0,0,0.462401,0.495342,0.579972,0
0,0.003933,0,0,0.001969,0.000984,0.001969,0,0,0.707573,0.764182,0.903723,2
0,0.011364,0,0.011494,0.022989,0,0,0,0,0.570908,0.604079,0.710228,0
0,0.016064,0,0.004032,0.008065,0,0.004032,0,0,0.251876,0.261783,0.298510,0
0,0,0,0,0.016129,0,0,0,0,0.414235,0.440374,0.507491,0
0,0.012526,0,0.002092,0.006276,0.004184,0.002092,0,0,0.498801,0.534483,0.628786,0
0.017383,0,0,0,0,0,0,0,0,0.251152,0.273959,0.316295,1
0.044944,0,0,0,0,0,0,0,0,0.031331,0.040994,0.031155,0
0.013201,0,0,0,0,0,0,0,0,0.045711,0.059878,0.045722,0
0.123077,0.015385,0,0,0,0,0,0,0,0.058273,0.058828,0.054488,0
0.031088,0.010363,0.002597,0,0.007792,0.005195,0,0,0,0.302770,0.325936,0.376588,1
0.006783,0.003876,0,0,0.00194,0,0.00097,0,0.00097,0.609240,0.657763,0.776145,2
0.02439,0.012195,0,0,0,0,0,0,0,0.410045,0.439680,0.512875,0
0.002994,0.017964,0,0,0.006006,0.006006,0.003003,0,0,0.148159,0.151310,0.158083,0
0.024096,0,0.012195,0,0,0,0,0,0,0.160041,0.170086,0.186228,1
0.035484,0,0,0,0.003236,0,0,0,0,0.242056,0.262853,0.298455,0
0.0125,0.0025,0,0.001252,0,0.001252,0.001252,0,0,0.549028,0.593586,0.699535,1
0,0.033333,0,0.011236,0,0,0,0,0,0.564305,0.604798,0.706353,0
0.008264,0.004132,0,0,0,0,0,0,0,0.118499,0.128956,0.130037,1
0,0,0,0,0.016949,0,0,0,0,0.406910,0.428734,0.495330,0
0,0.008883,0,0,0.006353,0.001271,0.002541,0,0,0.610568,0.656197,0.772853,0
