@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature5 numeric
@attribute psy_feature6 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data
2,8,3.059064,0.477089,0.751464,0
3,7,3.351255,0.691827,0.843858,0
4,2,3.523456,1.346454,0.920713,0
1,2,4.660529,0.337714,0.8212,0
2,8,3.968782,0.32156,0.673604,0
3,3,3.815871,0.435682,0.575915,0
4,2,2.739084,1.418586,0.995827,0
5,7,4.289719,-0.35147,1.107538,1
1,2,2.488381,-0.277286,0.993913,0
2,9,3.687866,-0.251441,0.934828,1
3,5,3.541463,-0.657419,0.79076,0
5,8,3.781682,-0.143652,2.091938,0
2,10,4.093473,-0.236894,1.27163,0
3,5,3.879328,0.066356,0.890258,1
2,8,3.890653,0.183104,0.684763,0
3,4,4.0526,0.484996,0.609735,0
5,7,4.804256,-0.189596,0.906703,0
2,8,4.543385,0.14651,0.994174,2
3,8,4.473364,0.160789,1.296585,2
4,2,3.152967,0.818398,1.086874,0
5,7,4.429462,0.158309,1.010416,2
2,8,3.485899,0.065435,0.910481,0
3,7,3.585223,0.242449,0.978974,1
5,7,3.652439,0.063439,0.874445,1
