@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0.014842,0.223750,0.224946,0.245795,0
0,0,0,0,0.529615,0.555532,0.645264,1
0,0,0,0.007133,0.601077,0.631175,0.735745,2
0,0,0,0,0.859294,0.908551,1.066118,1
0,0,0,0.025641,0.606964,0.634285,0.737745,0
0,0,0,0.017685,0.298579,0.303113,0.339407,2
0,0,0,0.019608,0.386431,0.395358,0.453195,0
0.005222,0,0,0.005229,0.574342,0.603310,0.703240,1
0,0,0,0.00417,0.822810,0.868684,1.018968,2
0,0,0,0.028249,0.624353,0.653420,0.761372,1
0,0,0,0.012545,0.204993,0.206631,0.222837,1
0,0,0,0.008547,0.377898,0.390630,0.454953,2
0,0,0,0.001208,0.430533,0.450555,0.523005,1
0.020647,0,0,0,0.650917,0.688528,0.804365,0
0,0,0,0.012903,0.630747,0.660668,0.769367,0
0,0,0,0.017986,0.311158,0.316142,0.357681,2
0.119658,0,0,0,0.129035,0.132178,0.141527,0
0,0,0,0.003106,0.597706,0.629747,0.733143,0
0.00309,0,0,0.004329,0.769262,0.812385,0.952185,2
0,0,0,0.016854,0.631586,0.660042,0.770578,0
0.021127,0,0,0.010582,0.193640,0.199252,0.214187,0
0.018868,0,0,0,0.341233,0.358472,0.406584,0
0,0,0,0.002967,0.588235,0.617472,0.720060,0
0,0,0,0,0.835590,0.883332,1.035801,0
0,0,0,0.034483,0.565671,0.588840,0.685945,0
0,0,0,0.028455,0.224482,0.225003,0.246165,0
0,0,0,0.028302,0.225138,0.227094,0.254138,0
0,0,0,0.011309,0.551658,0.577059,0.670234,0
0,0,0,0.003333,0.753647,0.795479,0.931125,0
0.016129,0,0,0.043243,0.449740,0.466478,0.542108,0
0,0,0,0.02649,0.219974,0.220477,0.242726,0
0,0,0,0,0.475412,0.499546,0.579573,1
0,0,0,0,0.642064,0.676299,0.790510,0
0,0,0,0,0.828414,0.875933,1.027077,0
0,0,0,0.028736,0.632854,0.662332,0.774997,0
0,0,0,0.021818,0.286329,0.289368,0.324943,0
0,0,0,0.008065,0.303352,0.320673,0.362976,1
0,0,0,0.00367,0.439039,0.457675,0.532072,0
0.012012,0,0.000751,0.001503,0.645737,0.682503,0.797277,1
0.009569,0,0,0.019231,0.383007,0.398056,0.459570,0
0,0,0,0.022556,0.270930,0.276977,0.310999,0
0.007874,0,0,0.007937,0.045834,0.046221,0.037928,1
0.038321,0,0,0.003656,0.263128,0.279530,0.313556,0
0.04497,0,0,0.000763,0.481405,0.509843,0.593374,0
0.006329,0,0,0.012739,0.393560,0.413648,0.476109,0
0,0,0,0.026168,0.289541,0.293971,0.329384,0
0,0,0,0.023077,0.521178,0.543057,0.631890,0
0,0,0,0.009709,0.586312,0.614771,0.716708,0
0.003182,0,0,0.003185,0.746443,0.787228,0.922293,0
0,0,0,0.01227,0.616002,0.642689,0.749625,0
0.00708,0,0,0.019504,0.234231,0.237228,0.261366,0
0,0,0,0.018182,0.421825,0.434419,0.502237,1
0,0,0,0.005792,0.372879,0.388288,0.441647,0
0.002796,0,0.000933,0.003731,0.776142,0.819348,0.960578,0
0,0,0,0.020134,0.527289,0.547887,0.636724,0
0.001957,0,0,0.017647,0.266962,0.270753,0.304295,0
0,0,0,0.02521,0.401073,0.417686,0.483904,0
0,0,0,0.006515,0.457904,0.477394,0.557097,0
0.00237,0,0,0.005534,0.763267,0.806083,0.944713,0
0,0,0,0.030457,0.636644,0.665757,0.778723,0
0,0,0,0.004839,0.292304,0.302053,0.335809,0
0,0,0,0.015504,0.361857,0.377052,0.433093,0
0,0,0,0.010545,0.470620,0.490436,0.569824,0
0.002913,0,0,0.002915,0.805133,0.850291,0.996819,0
0,0,0,0.027322,0.614967,0.642725,0.751017,0
0,0,0,0.013554,0.285383,0.293342,0.329592,0
0,0,0,0,0.360156,0.373661,0.423490,0
0,0,0,0.00299,0.514863,0.540430,0.628217,1
0.012163,0,0,0.004233,0.717809,0.758475,0.888670,2
0,0,0,0.005291,0.552009,0.578053,0.671226,0
0,0,0,0.022968,0.279795,0.285071,0.320972,1
0,0,0,0.012821,0.489032,0.509885,0.591797,0
0.004167,0,0,0,0.420905,0.438453,0.507965,0
0.014039,0,0,0.001081,0.619828,0.654142,0.763925,0
0,0,0,0.019481,0.565840,0.590771,0.689738,0
0.007547,0,0,0.015123,0.176736,0.181804,0.193552,0
0,0,0,0.03125,0.546392,0.569008,0.661247,1
0,0,0,0.003552,0.431582,0.448434,0.521782,0
0.000997,0,0,0.003992,0.774157,0.817708,0.956928,0
0,0,0,0.02551,0.621647,0.648493,0.757328,0
0,0,0,0.014469,0.268327,0.275241,0.309748,0
0,0,0,0.017241,0.245142,0.251128,0.281931,0
0.004794,0,0,0.004798,0.400255,0.418752,0.483938,0
0.017062,0,0,0.001898,0.631736,0.667428,0.780020,0
0,0,0,0.046512,0.568856,0.591692,0.690557,0
0.010033,0,0,0.01005,0.235780,0.244801,0.270087,0
0.035928,0,0,0.006024,0.327972,0.343656,0.393290,1
0.046398,0,0,0.003667,0.204873,0.219568,0.243697,0
0.033708,0,0,0.00375,0.449723,0.475422,0.551767,0
0.091892,0,0,0.021739,0.362476,0.378740,0.436042,0
0,0,0,0.01107,0.217331,0.219954,0.240062,0
0,0,0,0.02521,0.375978,0.388775,0.446296,0
0.017493,0,0,0.00292,0.453078,0.476090,0.551424,0
0.01056,0,0,0.003171,0.755338,0.797687,0.935545,0
0,0,0,0.033333,0.600205,0.626012,0.731438,0
0,0,0,0.015306,0.319822,0.329414,0.372716,0
0,0,0,0.017391,0.340406,0.350829,0.400672,0
0.007491,0,0,0.005629,0.447769,0.466951,0.542838,0
0,0,0,0.006897,0.776377,0.818857,0.959575,1
0,0,0,0.016667,0.612962,0.640997,0.749818,0
0,0,0,0.004926,0.327893,0.338695,0.383764,0
0,0,0,0.024194,0.454126,0.465423,0.535538,0
0,0,0,0.004983,0.540022,0.564833,0.657264,0
0.001167,0,0,0.007009,0.753560,0.794893,0.931108,0
0,0,0,0.02809,0.576423,0.599005,0.699149,0
0,0,0,0.024074,0.217504,0.219195,0.238660,0
0,0,0,0.020202,0.327276,0.335572,0.383080,0
0,0,0,0.006065,0.670723,0.705572,0.825421,2
0,0,0,0.003226,0.797861,0.842241,0.987194,1
0,0,0,0.029557,0.627073,0.654404,0.764608,0
0,0,0,0.023438,0.290609,0.300965,0.336572,0
0.017391,0,0,0.026316,0.148589,0.146823,0.158576,0
0.003883,0,0,0.007782,0.389039,0.403675,0.468338,0
0.016018,0,0,0.003817,0.767513,0.810674,0.949986,0
0,0,0,0.021978,0.610304,0.636619,0.743174,0
0,0,0,0.029795,0.223293,0.225773,0.246829,0
0,0,0,0.02381,0.235169,0.234233,0.264395,1
0.007987,0,0,0.0064,0.384418,0.401309,0.463840,0
0,0,0,0.01218,0.740978,0.780098,0.913400,0
0,0,0,0,0.602051,0.629898,0.734674,0
0,0,0,0.013937,0.314216,0.324551,0.365723,1
0.057143,0,0,0.009615,0.218631,0.228187,0.252105,0
0.01721,0,0,0.00816,0.597653,0.628672,0.732177,0
0.013158,0,0.001317,0.003292,0.641007,0.677359,0.792148,1
0,0,0,0.025157,0.588651,0.614622,0.716873,0
0.003866,0,0,0.009032,0.253854,0.263338,0.293437,1
