@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1168 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1281 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0.007435,0,0.011152,0,0,0,0.198962,0.196569,0.213428,0
0,0,0,0,0,0,0,0,0,0.468647,0.500546,0.580831,1
0,0,0.005714,0.002857,0,0.005714,0.005714,0,0,0.534253,0.572734,0.672217,2
0,0,0,0,0,0.003257,0,0,0,0.790043,0.854045,1.010926,1
0,0,0,0,0,0.012987,0,0,0,0.535549,0.565475,0.661069,0
0,0,0,0.009677,0,0,0,0,0,0.276777,0.279278,0.310625,2
0,0,0.02,0,0,0.02,0.02,0,0,0.343229,0.346726,0.396236,0
0,0,0,0.007853,0,0.007853,0,0,0,0.510592,0.547737,0.642765,1
0,0,0,0.003339,0,0.001669,0.001669,0,0,0.752721,0.811825,0.960342,2
0,0,0,0,0,0,0,0,0,0.557801,0.590808,0.692063,1
0,0,0.003597,0.010791,0,0,0.003597,0,0,0.172106,0.171100,0.180615,1
0,0,0,0.017241,0,0,0,0,0,0.323212,0.338481,0.391400,2
0,0,0.002421,0.002421,0,0.002421,0,0,0,0.356947,0.382148,0.447439,1
0.009642,0,0,0,0,0,0,0,0,0.572430,0.618687,0.729441,0
0,0,0.025974,0,0,0.012987,0,0,0,0.575029,0.610328,0.714067,0
0,0,0,0,0,0.01083,0,0,0.00361,0.277919,0.278712,0.313266,2
0.103448,0,0,0,0,0,0.017544,0,0,0.086856,0.086980,0.087669,0
0,0,0.004149,0.002075,0,0.002075,0.004149,0,0,0.534008,0.574761,0.673933,0
0,0,0,0.00495,0,0.001238,0.001238,0,0,0.701859,0.757312,0.895471,2
0,0,0,0.011364,0,0,0,0,0,0.564116,0.597330,0.701722,0
0.003521,0,0,0,0,0.003534,0,0,0,0.176041,0.180549,0.192187,0
0,0,0,0,0,0,0,0,0,0.413263,0.442473,0.512994,1
0,0,0,0,0,0,0,0,0,0.571323,0.615589,0.726220,0
0,0,0,0,0,0,0,0,0,0.759706,0.821444,0.971961,0
0,0,0,0.011628,0,0.011628,0,0,0,0.564710,0.599348,0.704096,0
0,0,0,0.007299,0,0.00365,0,0,0,0.259605,0.257953,0.286153,0
0,0,0,0,0,0,0,0,0,0.248560,0.268117,0.301032,1
0,0,0,0,0,0,0,0,0,0.364520,0.389191,0.455354,0
0.007508,0,0,0,0,0,0.001504,0,0,0.578054,0.623701,0.734340,1
0,0,0.019417,0.009709,0,0.009709,0.019417,0,0,0.312014,0.327218,0.377879,0
0,0,0,0,0,0,0,0,0,0.251729,0.256646,0.282224,0
0,0,0,0,0,0,0,0,0,0.050511,0.049559,0.038808,1
0.025547,0,0,0,0,0,0,0,0,0.208929,0.226971,0.252203,0
0.022866,0,0,0,0,0,0,0,0,0.417659,0.451695,0.529320,0
0,0,0,0.012821,0,0,0,0,0,0.357254,0.380074,0.436569,0
0,0,0.003745,0.011236,0,0.007491,0.003745,0,0,0.263863,0.266358,0.295922,0
0,0,0,0,0,0,0.015625,0,0,0.471174,0.496521,0.576969,0
0,0,0.002778,0.013889,0,0.002778,0.002778,0,0,0.521214,0.557503,0.654931,0
0,0,0.001595,0.00319,0,0.001595,0.007974,0,0,0.669365,0.720441,0.850777,0
0,0,0,0.012346,0,0.012346,0,0,0,0.558818,0.591645,0.693866,0
0.003546,0,0,0.014235,0,0.003559,0,0,0,0.204854,0.206093,0.225088,0
0,0,0,0.018519,0,0,0,0,0,0.368757,0.382989,0.441386,1
0,0,0,0.007752,0,0.003876,0,0,0,0.324881,0.341210,0.387417,0
0,0,0.001869,0.001869,0,0,0.001869,0,0,0.712205,0.767977,0.907788,0
0,0,0.013514,0.013514,0,0.027027,0,0,0,0.476915,0.501454,0.584108,0
0,0,0.003937,0.007874,0,0,0.007874,0,0,0.234525,0.237666,0.263195,0
0,0,0,0,0,0,0,0,0,0.335357,0.355171,0.408029,0
0,0,0,0.009804,0,0,0,0,0,0.380504,0.405569,0.475394,0
0,0,0,0.001582,0,0.001582,0,0,0,0.689486,0.743583,0.878984,0
