@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature879 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0,0,0,0,0,0.489469,0.513080,0.598964,2
9,0,0,0,0,0.002595,0,0.567477,0.601290,0.704372,1
9,0,0,0,0,0.000824,0,0.738081,0.788009,0.924293,1
9,0,0,0,0,0.038462,0,0.537738,0.562143,0.659938,0
9,0,0,0,0,0.021201,0,0.288938,0.292150,0.328721,0
9,0,0,0,0,0.010204,0,0.410528,0.427807,0.497916,1
9,0.005525,0,0,0,0.006916,0,0.460456,0.485207,0.565905,0
9,0.021898,0,0,0,0.002435,0,0.642539,0.685150,0.804466,0
9,0,0,0,0,0.023529,0,0.468127,0.489885,0.570272,0
9,0,0,0,0,0.007968,0,0.302090,0.311214,0.352400,0
9,0,0,0,0,0.005181,0,0.605856,0.643573,0.756970,0
9,0,0,0,0,0.008596,0,0.567390,0.600382,0.700562,0
9,0,0,0,0,0.00225,0,0.836619,0.893681,1.053283,0
9,0,0,0,0,0,0,0.680692,0.725992,0.853361,0
9,0,0,0,0,0.009766,0,0.282155,0.289071,0.323642,0
9,0,0,0,0,0.007143,0,0.348523,0.364706,0.421203,0
9,0.008172,0,0,0,0.00818,0,0.412107,0.432811,0.498382,0
9,0,0,0,0,0.003509,0,0.807799,0.862387,1.015923,0
9,0,0,0,0,0.023256,0,0.584737,0.614160,0.722119,0
9,0.002028,0,0,0,0.020325,0,0.241334,0.242822,0.270238,0
9,0,0,0,0,0.035398,0,0.333848,0.346391,0.401429,0
9,0.012563,0,0,0,0.005031,0,0.535928,0.567491,0.665404,0
9,0,0,0,0,0.001618,0,0.770732,0.823254,0.967472,0
9,0,0,0,0,0.027933,0,0.656914,0.692294,0.813089,0
9,0,0,0,0,0.014925,0,0.363315,0.374347,0.429919,0
9,0,0,0,0,0,0,0.360048,0.377505,0.438376,0
9,0,0,0,0,0,0,0.534123,0.565723,0.659875,0
9,0.001966,0,0,0,0.00295,0,0.774520,0.827079,0.973997,2
9,0,0,0,0,0.022727,0,0.629106,0.663741,0.780533,0
9,0,0,0,0,0.016097,0,0.303766,0.313830,0.359279,0
9,0,0,0,0,0.007937,0,0.466323,0.492653,0.568854,0
9,0,0,0,0,0.007307,0,0.564498,0.596814,0.700149,0
9,0.040695,0,0,0,0.001372,0,0.275132,0.298352,0.341569,1
9,0.106742,0,0,0,0,0,0.030503,0.042890,0.031219,0
9,0.021452,0,0,0,0,0,0.042274,0.060310,0.044712,0
9,0.175573,0,0,0,0,0,0.093149,0.096097,0.100031,0
9,0.047927,0,0.001297,0.003891,0.003891,0,0.349087,0.370940,0.428285,1
9,0.016473,0,0,0,0.002908,0,0.679425,0.726123,0.853831,2
9,0.030303,0,0,0,0.006098,0,0.466895,0.495826,0.579052,0
9,0.005979,0,0,0.001497,0.022455,0,0.164417,0.170543,0.180661,0
9,0.08982,0.006024,0,0,0,0,0.208678,0.219600,0.245559,1
9,0.057971,0,0,0.001613,0.001613,0,0.286259,0.308092,0.350540,0
9,0.029375,0.000625,0,0,0.001251,0,0.616338,0.659183,0.773735,1
9,0,0,0,0,0.01676,0,0.615963,0.654733,0.766057,0
9,0.02268,0,0,0,0.004132,0,0.132746,0.144370,0.146510,1
9,0,0,0,0,0.033613,0,0.449828,0.469880,0.545607,0
9,0.003171,0,0,0,0.008883,0,0.667250,0.709745,0.833190,0
9,0.003448,0,0,0,0.001151,0,0.762175,0.814407,0.958472,0
9,0.010526,0,0,0,0.010582,0,0.416506,0.437060,0.509820,0
9,0.003049,0,0,0,0.015267,0,0.289722,0.297411,0.334899,0
9,0,0,0,0,0.018349,0,0.344559,0.360194,0.412733,0
9,0,0,0,0,0.00292,0,0.615855,0.654324,0.766204,0
9,0.03166,0,0,0,0.001546,0,0.602448,0.644073,0.754608,0
9,0,0,0,0,0.006289,0,0.564812,0.598654,0.702922,0
9,0,0,0,0,0.009074,0,0.284295,0.291050,0.329224,0
9,0,0,0,0,0.033613,0,0.361869,0.370233,0.429215,0
9,0.007207,0,0,0,0.005415,0,0.425050,0.446767,0.517556,0
9,0.002375,0,0,0,0.001189,0,0.819484,0.876254,1.033352,0
9,0,0,0,0,0.031847,0,0.576733,0.607647,0.710689,0
9,0,0,0,0,0.010969,0,0.273755,0.280679,0.316411,0
