@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1044 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0.014493,0,0,0,0.435903,0.463786,0.536647,2
0,0,0.001733,0.003466,0.006932,0.003466,0,0,0.507774,0.546559,0.637011,1
0,0,0,0,0.00495,0,0,0,0.673770,0.729109,0.852664,1
0,0,0,0.03125,0,0.015625,0,0,0.491163,0.514347,0.596184,0
0,0,0.007092,0.010638,0.003546,0.003546,0,0,0.257506,0.258271,0.287366,0
0,0,0,0.010309,0.020619,0,0,0,0.360561,0.378880,0.433989,1
0,0,0.00277,0.01108,0.00554,0.00831,0,0,0.401059,0.428134,0.495440,0
0.008117,0,0,0.001626,0.003252,0,0,0,0.582262,0.628683,0.734412,0
0,0,0,0.011905,0,0.011905,0,0,0.409471,0.428536,0.493325,0
0,0,0,0,0.02,0.004,0,0,0.272769,0.281387,0.314247,0
0,0,0,0,0.010417,0,0,0,0.552571,0.594422,0.691503,0
0,0,0,0.005747,0.005747,0.005747,0,0,0.512381,0.548373,0.635984,0
0,0,0,0,0,0.002252,0,0,0.778325,0.842281,0.987846,0
0,0,0,0,0.011236,0,0,0,0.626574,0.677238,0.789181,0
0,0,0.003922,0.003922,0.019608,0,0,0,0.245598,0.250826,0.276265,0
0,0,0,0,0,0,0,0,0.321021,0.337269,0.380985,0
0.00409,0,0,0.006148,0.022541,0.002049,0,0,0.357378,0.380334,0.434105,0
0,0,0,0.002342,0,0.002342,0,0,0.752528,0.813658,0.953270,0
0,0,0,0.023529,0,0,0,0,0.531111,0.563616,0.655972,0
0,0,0,0.004082,0.028571,0.008163,0,0,0.214051,0.213107,0.229920,0
0,0,0,0.053571,0,0,0,0,0.296245,0.306607,0.348118,0
0.007538,0,0,0.005038,0.002519,0.002519,0,0,0.468800,0.503997,0.587839,0
0,0,0.001621,0,0.004862,0.003241,0,0,0.707927,0.766376,0.896968,0
0,0,0,0.011236,0,0.022472,0,0,0.602335,0.636351,0.741299,0
0,0,0,0.011976,0.008982,0,0,0,0.328853,0.341390,0.388175,0
0,0,0,0,0.014925,0,0,0,0.306869,0.325398,0.373502,0
0,0,0,0,0.017794,0,0,0,0.465340,0.499674,0.579972,0
0,0,0,0.001969,0.004921,0.000984,0,0,0.712162,0.770924,0.903723,2
0,0,0.011494,0.022989,0,0,0,0,0.574431,0.608959,0.710228,0
0,0,0.004032,0.008065,0.008065,0,0,0,0.253266,0.263970,0.298510,0
0,0,0,0.016129,0.016129,0,0,0,0.416613,0.444391,0.507491,0
0,0,0.002092,0.006276,0.004184,0.004184,0,0,0.502008,0.539147,0.628786,0
0.017383,0,0,0,0.000916,0,0,0,0.252223,0.275574,0.316295,1
0.044944,0,0,0,0,0,0,0,0.029757,0.039993,0.031155,0
0.013201,0,0,0,0,0,0,0,0.043547,0.058581,0.045722,0
0.123077,0,0,0,0.03125,0,0,0,0.058254,0.059001,0.054488,0
0.031088,0.002597,0,0.007792,0.005195,0.005195,0,0,0.304131,0.328313,0.376588,1
0.006783,0,0,0.00194,0.00582,0,0,0.00097,0.613119,0.663473,0.776145,2
0.02439,0,0,0,0.012346,0,0,0,0.412544,0.442954,0.512875,0
0.002994,0,0,0.006006,0.009009,0.006006,0,0,0.147964,0.151495,0.158083,0
0.024096,0.012195,0,0,0.02439,0,0,0,0.160821,0.171055,0.186228,1
0.035484,0,0,0.003236,0.009709,0,0,0,0.242851,0.264497,0.298455,0
0.0125,0,0.001252,0,0.002503,0.001252,0,0,0.552426,0.598668,0.699535,1
0,0,0.011236,0,0,0,0,0,0.567637,0.609385,0.706353,0
0.008264,0,0,0,0.012448,0,0,0,0.117907,0.128925,0.130037,1
0,0,0,0.016949,0.016949,0,0,0,0.409497,0.432050,0.495330,0
0,0,0,0.006353,0.003812,0.001271,0,0,0.614463,0.661851,0.772853,0
0.002299,0,0,0.002304,0.006912,0,0,0,0.695245,0.752820,0.881220,0
0,0,0,0.021277,0,0,0,0,0.331297,0.351323,0.405077,0
0,0,0,0.009174,0.015291,0,0,0,0.263879,0.270662,0.297174,0
0,0,0,0.018519,0.037037,0,0,0,0.305657,0.321163,0.360854,0
0,0,0.002924,0.002924,0.005848,0.002924,0,0,0.556821,0.599216,0.697120,0
0.017002,0.001548,0,0,0.001548,0.001548,0,0,0.534451,0.578830,0.675580,0
0,0,0.012658,0,0,0,0,0,0.507227,0.543206,0.632543,0
0,0,0.003636,0.010909,0.021818,0.003636,0,0,0.245373,0.251921,0.280211,0
0,0,0,0.016949,0,0,0,0,0.308752,0.311285,0.351261,0
0.00361,0,0.007246,0.003623,0.01087,0,0,0,0.366124,0.390705,0.448946,0
0,0,0.002381,0,0,0,0,0,0.759903,0.823825,0.966690,0
