@RELATION rabc_features

@ATTRIBUTE task_id NUMERIC
@ATTRIBUTE psy_feature1 NUMERIC
@ATTRIBUTE psy_feature2 NUMERIC
@ATTRIBUTE psy_feature3 NUMERIC
@ATTRIBUTE psy_feature4 NUMERIC
@ATTRIBUTE psy_feature5 NUMERIC
@ATTRIBUTE psy_feature6 NUMERIC
@ATTRIBUTE psy_feature7 NUMERIC
@ATTRIBUTE psy_feature8 NUMERIC
@ATTRIBUTE psy_feature9 NUMERIC
@ATTRIBUTE psy_feature10 NUMERIC
@ATTRIBUTE psy_feature11 NUMERIC
@ATTRIBUTE psy_feature12 NUMERIC
@ATTRIBUTE psy_feature13 NUMERIC
@ATTRIBUTE psy_feature14 NUMERIC
@ATTRIBUTE psy_feature15 NUMERIC
@ATTRIBUTE psy_feature16 NUMERIC
@ATTRIBUTE psy_feature17 NUMERIC
@ATTRIBUTE psy_feature18 NUMERIC
@ATTRIBUTE joint_feature1 NUMERIC
@ATTRIBUTE joint_feature2 NUMERIC
@ATTRIBUTE proj1 NUMERIC
@ATTRIBUTE proj2 NUMERIC
@ATTRIBUTE proj3 NUMERIC
@ATTRIBUTE class {0,1,2}

@DATA
2.000000000000000000e+00,1.200000000000000000e+01,2.774263023287117935e-01,1.184082839670124870e-01,1.257631839760607662e+00,4.290943152999999732e+00,4.121523069000000011e-02,3.251388460708748516e-03,1.020360904817946945e+00,4.862549072000000194e+00,1.611862601999999867e-01,-2.646513362472530106e-01,5.479527572375936240e-01,3.964543096999999960e+00,-4.652094543999999998e-01,-3.247633907251059049e-01,1.463332392793627035e+00,5.255577444000000042e+00,-4.274259069999999938e-02,1.894517494829802695e+00,0.000000000000000000e+00,0.666313,1.040903,1.219907,2
2.000000000000000000e+00,1.400000000000000000e+01,1.946807470421433595e-01,8.532227432374790699e-02,9.284379189053675319e-01,4.238522728000000406e+00,2.172631620000000097e-01,6.720690035533539997e-02,1.033184856376335059e+00,4.248227629000000505e+00,2.802162058000000067e-01,-2.964019235798558416e-01,9.356550156274822116e-01,5.367552894999999324e+00,-5.056717239000000363e-01,-1.145614294804475110e-02,1.632502259740697514e+00,6.745625033999999687e+00,2.932017662999999996e-01,2.608053630316919058e+00,0.000000000000000000e+00,0.739048,1.053102,1.230965,2
3.000000000000000000e+00,6.000000000000000000e+00,1.181297414460442813e-01,8.232826574117137197e-02,9.420187634233800900e-01,4.220441721000000257e+00,2.410105355999999921e-01,3.065812692806046697e-03,1.103861707491648803e+00,4.148567859999999996e+00,-4.138079721000000044e-02,3.755421160773309008e-01,5.906438992497049512e-01,4.220615045299999757e+00,1.985713648999999914e-01,1.460259426683369055e-01,3.132451724293369710e-01,2.791255519999999990e+00,2.002507769000000104e-01,1.062682698700684103e+00,0.000000000000000000e+00,0.807511,1.062634,1.239056,2
5.000000000000000000e+00,7.000000000000000000e+00,7.246800731261425765e-01,-2.104311287789936424e-01,9.695200581899194869e-01,5.149256539999999660e+00,-1.786539034500000123e-01,-1.126053580667336490e-01,8.330055315717629361e-01,4.759752794999999814e+00,3.521446588500000419e-02,-1.140338202202991792e-02,1.118212796143386090e+00,5.483099285999999850e+00,-3.041826421000000114e-01,-1.149019119631063818e-01,7.640887920982596393e-01,5.230333096999999931e+00,-2.544839993000000064e-02,9.528343307657799466e-01,1.000000000000000000e+00,0.283022,0.871116,1.038846,2
2.000000000000000000e+00,8.000000000000000000e+00,3.959183673469387488e-01,7.720377592370167297e-02,1.036753048944584199e+00,4.543385098999999983e+00,1.465100109499999914e-01,2.322281674576510413e-01,9.807778854317913408e-01,6.125362022000000017e+00,2.380489717500000046e-01,-2.302523270867215810e-01,1.484075494308600973e+00,1.229654459900000063e+01,-3.140581151999999876e-01,-2.547425143454657981e-01,2.038832069761352006e+00,1.189282311999999919e+01,-1.163832253999999983e-01,9.996646358504276408e-01,0.000000000000000000e+00,0.535824,1.017885,1.196067,2
3.000000000000000000e+00,8.000000000000000000e+00,1.255040322580645296e-01,6.494480084188009039e-02,7.886721616054186423e-01,4.473363788000000341e+00,1.607885378499999962e-01,-2.845048450333131917e-01,8.970085704646018065e-01,5.666310130000000278e+00,-3.201073737499999794e-01,2.246142305350599389e-01,1.006445287832020918e+00,5.846355124999999653e+00,5.791932618000000116e-02,3.141706180438507134e-01,3.925416061618729469e-01,3.676037385999999962e+00,1.527077346999999863e-01,1.305689719289151451e+00,0.000000000000000000e+00,0.792520,1.063926,1.240553,2
5.000000000000000000e+00,7.000000000000000000e+00,7.075180226570545461e-01,-8.064134709494236164e-02,1.067573178846959570e+00,4.429461678000000013e+00,1.583087924000000091e-01,7.662269650016473310e-02,8.549109388835030021e-01,5.418711139000000010e+00,1.023564592999999939e-01,1.812136719404158769e-01,6.492888737577692249e-01,4.182714081000000306e+00,1.101742217000000051e-01,1.345423105068766223e-01,3.927073237443113873e-01,4.513783847000000016e+00,5.517424653999999928e-02,1.014846949002090382e+00,5.000000000000000000e+00,0.276544,0.946147,1.051011,2
1.000000000000000000e+00,4.000000000000000000e+00,4.226519337016574340e-01,-4.605667966810483155e-02,2.023763882205717568e+00,4.007410853499999703e+00,6.237603662999999798e-01,-9.994585611383330903e-01,8.336037446664049666e-01,5.335613504000000340e+00,-1.144372533000000081e+00,-5.654789047000001734e-01,4.930380657631323784e-32,0.000000000000000000e+00,-5.654789046999999513e-01,-4.848905056999997659e-02,4.333342374871280669e-34,0.000000000000000000e+00,-4.848905056999999741e-02,5.924846419443074996e-01,0.000000000000000000e+00,0.471882,1.008033,1.181316,0
2.000000000000000000e+00,1.000000000000000000e+01,3.613815484469170003e-01,-4.406875806148277119e-01,6.928420122265950276e-01,4.479065795000000350e+00,-4.474557658000000160e-01,-2.862847648466227968e-01,8.927570459080279575e-01,4.089869132999999657e+00,-2.208297298999999936e-01,-3.042940210020682601e-01,1.191995328447948088e+00,5.542439232999999632e+00,-6.166503789999999707e-01,-2.322820113407742249e-01,1.071406099215910013e+00,7.472742194000000282e+00,-1.416700683000000072e-01,1.100141132412945089e+00,6.000000000000000000e+00,0.548853,1.042030,1.205875,0
1.000000000000000000e+00,2.000000000000000000e+00,5.225225225225225145e-01,-3.287508151142218976e-02,8.601909965108021083e-01,4.185433944999999767e+00,-2.015725292000000168e-01,-2.284948344039931523e-01,1.854906343913695466e+00,1.012379808600000075e+01,-1.283677763000000138e-01,7.795923443761461347e-02,1.643857786645301633e-01,2.520579523099999886e+00,2.792481347000000044e-02,8.216397925969580740e-01,7.274510487893098842e-02,1.475764674929999964e+00,8.092093422999999675e-01,9.083673377875431942e-01,0.000000000000000000e+00,0.371812,0.957359,1.135871,0
