@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.003182,0,0,0.003185,0,0.755320,0.793541,0.922293,0
0,0,0,0.01227,0,0.623590,0.647468,0.749625,0
0.00708,0,0,0.019504,0,0.237228,0.237954,0.261366,0
0,0,0,0.018182,0,0.427210,0.437186,0.502237,1
0,0,0,0.005792,0,0.377553,0.390597,0.441647,0
0.002796,0,0.000933,0.003731,0,0.785277,0.825956,0.960578,0
0,0,0,0.020134,0,0.533873,0.551789,0.636724,0
0.001957,0,0,0.017647,0,0.270395,0.271907,0.304295,0
0,0,0,0.02521,0,0.405941,0.420452,0.483904,0
0,0,0,0.006515,0,0.463487,0.480644,0.557097,0
0.00237,0,0,0.005534,0,0.772288,0.812615,0.944713,0
0,0,0,0.030457,0,0.644432,0.670809,0.778723,0
0,0,0,0.004839,0,0.296039,0.303331,0.335809,0
0,0,0,0.015504,0,0.366214,0.379397,0.433093,0
0,0,0,0.010545,0,0.476400,0.493713,0.569824,0
0.002913,0,0,0.002915,0,0.814713,0.857169,0.996819,0
0,0,0,0.027322,0,0.622485,0.647530,0.751017,0
0,0,0,0.013554,0,0.288996,0.294555,0.329592,0
0,0,0,0,0,0.364745,0.375842,0.423490,0
0,0,0,0.00299,0,0.521026,0.544286,0.628217,1
0.012163,0,0,0.004233,0,0.726155,0.764635,0.888670,2
0,0,0,0.005291,0,0.558346,0.582267,0.671226,0
0,0,0,0.022968,0,0.283451,0.286226,0.320972,1
0,0,0,0.012821,0,0.494982,0.513532,0.591797,0
0.004167,0,0,0,0,0.426040,0.441273,0.507965,0
0.014039,0,0,0.001081,0,0.626807,0.659312,0.763925,0
0,0,0,0.019481,0,0.572775,0.595088,0.689738,0
0.007547,0,0,0.015123,0,0.176852,0.182154,0.193552,0
0,0,0,0.03125,0,0.553091,0.573085,0.661247,1
0,0,0,0.003552,0,0.436860,0.451396,0.521782,0
0.000997,0,0,0.003992,0,0.782996,0.824247,0.956928,0
0,0,0,0.02551,0,0.629295,0.653308,0.757328,0
0,0,0,0.014469,0,0.271759,0.276343,0.309748,0
0,0,0,0.017241,0,0.248069,0.252378,0.281931,0
0.004794,0,0,0.004798,0,0.404445,0.421603,0.483938,0
0.017062,0,0,0.001898,0,0.638925,0.672765,0.780020,0
0,0,0,0.046512,0,0.575781,0.596047,0.690557,0
0.010033,0,0,0.01005,0,0.237184,0.245742,0.270087,0
0.035928,0,0,0.006024,0,0.330753,0.345969,0.393290,1
0.046398,0,0,0.003667,0,0.203454,0.220950,0.243697,0
0.033708,0,0,0.00375,0,0.454150,0.479129,0.551767,0
0.091892,0,0,0.021739,0,0.365610,0.381425,0.436042,0
0,0,0,0.01107,0,0.220146,0.220454,0.240062,0
0,0,0,0.02521,0,0.380641,0.391241,0.446296,0
0.017493,0,0,0.00292,0,0.458157,0.479503,0.551424,0
0.01056,0,0,0.003171,0,0.764233,0.804184,0.935545,0
0,0,0,0.033333,0,0.607591,0.630684,0.731438,0
0,0,0,0.015306,0,0.323941,0.331043,0.372716,0
0,0,0,0.017391,0,0.344640,0.352874,0.400672,0
0.007491,0,0,0.005629,0,0.453225,0.470059,0.542838,0
0,0,0,0.006897,0,0.785667,0.825416,0.959575,1
0,0,0,0.016667,0,0.620449,0.645813,0.749818,0
0,0,0,0.004926,0,0.332027,0.340368,0.383764,0
0,0,0,0.024194,0,0.459975,0.468328,0.535538,0
0,0,0,0.004983,0,0.546631,0.568872,0.657264,0
0.001167,0,0,0.007009,0,0.762559,0.801247,0.931108,0
0,0,0,0.02809,0,0.583588,0.603355,0.699149,0
0,0,0,0.024074,0,0.220456,0.219716,0.238660,0
0,0,0,0.020202,0,0.331503,0.337396,0.383080,0
0,0,0,0.006065,0,0.678793,0.710989,0.825421,2
0,0,0,0.003226,0,0.807387,0.849013,0.987194,1
0,0,0,0.029557,0,0.634786,0.659303,0.764608,0
0,0,0,0.023438,0,0.293645,0.302312,0.336572,0
0.017391,0,0,0.026316,0,0.150194,0.147071,0.158576,0
0.003883,0,0,0.007782,0,0.393543,0.406214,0.468338,0
0.016018,0,0,0.003817,0,0.776600,0.817214,0.949986,0
0,0,0,0.021978,0,0.617813,0.641357,0.743174,0
0,0,0,0.029795,0,0.226058,0.226345,0.246829,0
0,0,0,0.02381,0,0.238344,0.234997,0.264395,1
0.007987,0,0,0.0064,0,0.388310,0.403908,0.463840,0
0,0,0,0.01218,0,0.749881,0.786264,0.913400,0
0,0,0,0,0,0.609408,0.634576,0.734674,0
0,0,0,0.013937,0,0.318058,0.326117,0.365723,1
0.057143,0,0,0.009615,0,0.219225,0.229368,0.252105,0
0.01721,0,0,0.00816,0,0.604492,0.633416,0.732177,0
0.013158,0,0.001317,0.003292,0,0.648226,0.682792,0.792148,1
0,0,0,0.025157,0,0.595892,0.619186,0.716873,0
0.003866,0,0,0.009032,0,0.255497,0.264575,0.293437,1
0.028037,0,0,0.037736,0,0.314330,0.315559,0.358599,0
0.013769,0,0,0.008621,0,0.450797,0.468316,0.537437,0
0.001431,0,0,0.001433,0,0.824782,0.868610,1.010765,0
0,0,0,0.035088,0,0.623626,0.646547,0.749995,0
0,0,0,0.014184,0,0.303633,0.309122,0.344959,0
0.078261,0,0,0.008772,0,0.186542,0.193685,0.209886,0
0.024862,0,0,0.002766,0,0.256300,0.272178,0.306042,0
0.037893,0,0,0.0037,0,0.600311,0.631581,0.732049,1
0,0,0,0.037975,0,0.507669,0.523507,0.604222,0
0.009728,0,0,0.017544,0,0.159068,0.165405,0.173843,0
0,0,0,0.041322,0,0.434896,0.443650,0.510052,0
0,0,0,0.007018,0,0.614931,0.643303,0.746075,0
0.021292,0,0,0.004261,0,0.671861,0.708134,0.821826,0
0.005291,0,0,0.037234,0,0.503135,0.520000,0.600411,0
0,0,0,0.014151,0,0.262085,0.265937,0.290555,0
0,0,0,0.019417,0,0.318119,0.320441,0.362038,0
0,0,0,0.005593,0,0.587158,0.616433,0.713382,0
0,0,0,0.002183,0,0.796692,0.838435,0.974498,0
0,0,0,0.012346,0,0.537561,0.559784,0.646377,0
0.028571,0,0,0.019678,0,0.193600,0.198112,0.211528,0
0,0,0,0.021127,0,0.451278,0.464315,0.532328,0
0.005882,0,0,0.002946,0,0.464920,0.484330,0.558170,0
0,0,0,0.005034,0,0.807520,0.848435,0.986782,0
