@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0.028736,0,0.631117,0.667326,0.778005,0
0,0,0,0.021818,0,0.286163,0.290500,0.326483,0
0,0,0,0.008065,0,0.302608,0.322660,0.363939,1
0,0,0,0.00367,0,0.437911,0.460740,0.534258,0
0.012012,0,0.000751,0.001503,0,0.643647,0.687931,0.800106,1
0.009569,0,0,0.019231,0,0.382089,0.400744,0.461275,0
0,0,0,0.022556,0,0.270654,0.278085,0.312334,0
0.007874,0,0,0.007937,0,0.046015,0.045936,0.037755,1
0.038321,0,0,0.003656,0,0.262403,0.281265,0.314142,0
0.04497,0,0,0.000763,0,0.479743,0.513948,0.595230,0
0.006329,0,0,0.012739,0,0.392490,0.416605,0.477460,0
0,0,0,0.026168,0,0.289215,0.295233,0.331027,0
0,0,0,0.023077,0,0.519912,0.546955,0.634443,0
0,0,0,0.009709,0,0.584595,0.619324,0.719500,0
0.003182,0,0,0.003185,0,0.744045,0.793541,0.925659,0
0,0,0,0.01227,0,0.614416,0.647468,0.752557,0
0.00708,0,0,0.019504,0,0.233912,0.237954,0.262661,0
0,0,0,0.018182,0,0.421119,0.437186,0.504498,1
0,0,0,0.005792,0,0.371988,0.390597,0.443521,0
0.002796,0,0.000933,0.003731,0,0.773614,0.825956,0.964065,0
0,0,0,0.020134,0,0.526050,0.551789,0.639303,0
0.001957,0,0,0.017647,0,0.266711,0.271907,0.305679,0
0,0,0,0.02521,0,0.400150,0.420452,0.485760,0
0,0,0,0.006515,0,0.456806,0.480644,0.559407,0
0.00237,0,0,0.005534,0,0.760746,0.812615,0.948127,0
0,0,0,0.030457,0,0.634845,0.670809,0.781728,0
0,0,0,0.004839,0,0.291760,0.303331,0.337315,0
0,0,0,0.015504,0,0.361064,0.379397,0.434777,0
0,0,0,0.010545,0,0.469502,0.493713,0.572190,0
0.002913,0,0,0.002915,0,0.802498,0.857169,1.000439,0
0,0,0,0.027322,0,0.613275,0.647530,0.753885,0
0,0,0,0.013554,0,0.284912,0.294555,0.331065,0
0,0,0,0,0,0.359430,0.375842,0.425190,0
0,0,0,0.00299,0,0.513331,0.544286,0.630640,1
0.012163,0,0,0.004233,0,0.715436,0.764635,0.891835,2
0,0,0,0.005291,0,0.550522,0.582267,0.673655,0
0,0,0,0.022968,0,0.279569,0.286226,0.322404,1
0,0,0,0.012821,0,0.487756,0.513532,0.594173,0
0.004167,0,0,0,0,0.419831,0.441273,0.510062,0
0.014039,0,0,0.001081,0,0.617828,0.659312,0.766641,0
0,0,0,0.019481,0,0.564328,0.595088,0.692385,0
0.007547,0,0,0.015123,0,0.176607,0.182154,0.194161,0
0,0,0,0.03125,0,0.545101,0.573085,0.663870,1
0,0,0,0.003552,0,0.430564,0.451396,0.523930,0
0.000997,0,0,0.003992,0,0.771583,0.824247,0.960396,0
0,0,0,0.02551,0,0.620015,0.653308,0.760292,0
0,0,0,0.014469,0,0.267958,0.276343,0.311098,0
0,0,0,0.017241,0,0.244768,0.252378,0.283050,0
0.004794,0,0,0.004798,0,0.399155,0.421603,0.485717,0
0.017062,0,0,0.001898,0,0.629660,0.672765,0.782779,0
0,0,0,0.046512,0,0.567370,0.596047,0.693260,0
0.010033,0,0,0.01005,0,0.235393,0.245742,0.270983,0
0.035928,0,0,0.006024,0,0.327166,0.345969,0.394618,1
0.046398,0,0,0.003667,0,0.204269,0.220950,0.243864,0
0.033708,0,0,0.00375,0,0.448225,0.479129,0.553571,0
0.091892,0,0,0.021739,0,0.361565,0.381425,0.437374,0
0,0,0,0.01107,0,0.217272,0.220454,0.241325,0
0,0,0,0.02521,0,0.375249,0.391241,0.448140,0
0.017493,0,0,0.00292,0,0.451752,0.479503,0.553483,0
0.01056,0,0,0.003171,0,0.752843,0.804184,0.938873,0
0,0,0,0.033333,0,0.598602,0.630684,0.734257,0
0,0,0,0.015306,0,0.319395,0.331043,0.374287,0
0,0,0,0.017391,0,0.339818,0.352874,0.402255,0
0.007491,0,0,0.005629,0,0.446609,0.470059,0.545014,0
0,0,0,0.006897,0,0.773911,0.825416,0.963117,1
0,0,0,0.016667,0,0.611237,0.645813,0.752683,0
0,0,0,0.004926,0,0.327337,0.340368,0.385409,0
0,0,0,0.024194,0,0.453273,0.468328,0.537906,0
0,0,0,0.004983,0,0.538532,0.568872,0.659888,0
0.001167,0,0,0.007009,0,0.751124,0.801247,0.934566,0
0,0,0,0.02809,0,0.575029,0.603355,0.701967,0
0,0,0,0.024074,0,0.217246,0.219716,0.239979,0
0,0,0,0.020202,0,0.326775,0.337396,0.384697,0
0,0,0,0.006065,0,0.668703,0.710989,0.828546,2
0,0,0,0.003226,0,0.795300,0.849013,0.990824,1
0,0,0,0.029557,0,0.625384,0.659303,0.767601,0
0,0,0,0.023438,0,0.290011,0.302312,0.337913,0
0.017391,0,0,0.026316,0,0.148664,0.147071,0.159320,0
0.003883,0,0,0.007782,0,0.388180,0.406214,0.470176,0
0.016018,0,0,0.003817,0,0.764996,0.817214,0.953393,0
0,0,0,0.021978,0,0.608708,0.641357,0.746048,0
0,0,0,0.029795,0,0.223078,0.226345,0.248036,0
0,0,0,0.02381,0,0.234993,0.234997,0.265800,1
0.007987,0,0,0.0064,0,0.383483,0.403908,0.465615,0
0,0,0,0.01218,0,0.738688,0.786264,0.916826,0
0,0,0,0,0,0.600452,0.634576,0.737636,0
0,0,0,0.013937,0,0.313670,0.326117,0.367238,1
0.057143,0,0,0.009615,0,0.218258,0.229368,0.252691,0
0.01721,0,0,0.00816,0,0.595813,0.633416,0.734847,0
0.013158,0,0.001317,0.003292,0,0.638870,0.682792,0.794920,1
0,0,0,0.025157,0,0.587162,0.619186,0.719706,0
0.003866,0,0,0.009032,0,0.253455,0.264575,0.294427,1
0.028037,0,0,0.037736,0,0.310176,0.315559,0.360283,0
0.013769,0,0,0.008621,0,0.444136,0.468316,0.539540,0
0.001431,0,0,0.001433,0,0.812440,0.868610,1.014390,0
0,0,0,0.035088,0,0.614368,0.646547,0.752933,0
0,0,0,0.014184,0,0.299125,0.309122,0.346659,0
0.078261,0,0,0.008772,0,0.185485,0.193685,0.210473,0
0.024862,0,0,0.002766,0,0.254957,0.272178,0.306806,0
0.037893,0,0,0.0037,0,0.591672,0.631581,0.734557,1
0,0,0,0.037975,0,0.500334,0.523507,0.606651,0
0.009728,0,0,0.017544,0,0.159879,0.165405,0.174206,0
0,0,0,0.041322,0,0.428673,0.443650,0.512203,0
0,0,0,0.007018,0,0.605843,0.643303,0.748941,0
0.021292,0,0,0.004261,0,0.662094,0.708134,0.824664,0
0.005291,0,0,0.037234,0,0.496342,0.520000,0.602573,0
0,0,0,0.014151,0,0.258235,0.265937,0.291959,0
0,0,0,0.019417,0,0.313671,0.320441,0.363722,0
0,0,0,0.005593,0,0.578821,0.616433,0.716010,0
0,0,0,0.002183,0,0.784791,0.838435,0.978049,0
0,0,0,0.012346,0,0.530760,0.559784,0.648770,0
0.028571,0,0,0.019678,0,0.192818,0.198112,0.212165,0
0,0,0,0.021127,0,0.444826,0.464315,0.534476,0
