@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature27 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature843 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1044 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.044643,0,0.00597,0.01194,0.01194,0.00597,0.008955,0,0,0.440684,0.480178,0.550269,0
0.019824,0.044053,0.002208,0,0,0,0.006623,0.002208,0,0,0.445566,0.493141,0.564713,0
0.045977,0,0,0,0.034884,0.034884,0,0.011628,0,0,0.349017,0.363576,0.413199,0
0.006061,0.072727,0,0,0.015198,0.00304,0.024316,0,0,0,0.286524,0.304384,0.338642,0
0,0.145833,0,0,0,0,0.042553,0,0,0,0.154422,0.158202,0.166718,0
0,0.048096,0,0.002008,0.002008,0.004016,0.01004,0.004016,0,0,0.582635,0.643039,0.739988,0
0,0.039848,0,0,0,0,0.001901,0,0,0,0.754185,0.836215,0.966201,0
0,0,0,0,0.0125,0.025,0,0.025,0,0,0.540467,0.585231,0.673411,0
0,0.159483,0,0.008658,0.012987,0.004329,0.021645,0.004329,0,0,0.199102,0.198344,0.211385,0
0,0.098039,0,0,0.04,0.04,0.02,0,0,0,0.206131,0.212157,0.228877,0
0.009804,0.034314,0,0.002457,0.009828,0.007371,0.007371,0.002457,0,0,0.433345,0.474945,0.544716,0
0.008097,0.012146,0,0,0,0,0.002028,0,0,0,0.651350,0.721846,0.833415,0
0.029126,0,0,0,0,0,0,0.009804,0,0,0.333963,0.364989,0.412646,0
0.003436,0.120275,0,0,0.017241,0.017241,0.010345,0,0,0,0.207975,0.206762,0.225019,0
0,0.058252,0,0,0.009804,0.009804,0.009804,0,0,0,0.440118,0.483702,0.552041,2
0,0.094118,0,0,0.007874,0.011811,0.007874,0.011811,0,0,0.335700,0.365037,0.414318,0
0,0.026022,0,0,0,0,0.001862,0,0,0,0.759752,0.842835,0.974497,0
0,0.038462,0,0,0.012987,0.025974,0,0,0,0,0.451263,0.488803,0.559164,0
0,0.237069,0,0,0.004329,0.008658,0.008658,0,0,0,0.245326,0.250284,0.271814,0
0,0.333333,0,0,0,0,0.04878,0,0,0,0.089615,0.087245,0.084309,0
0,0.074074,0,0,0.003717,0.007435,0.007435,0,0,0,0.489683,0.538263,0.617697,0
0.00159,0.047695,0,0,0,0,0.001592,0,0,0,0.611616,0.676845,0.780037,0
0,0,0,0,0,0,0,0,0,0,0.430100,0.459017,0.525362,0
0,0.2,0,0,0.022321,0.026786,0.022321,0.008929,0,0,0.191960,0.187533,0.204175,0
0,0.12766,0,0,0.021739,0,0.021739,0,0,0,0.369639,0.400081,0.454203,0
0,0.079365,0,0.007968,0.003984,0.007968,0.023904,0.003984,0,0,0.480080,0.525059,0.600402,0
0,0.017143,0,0,0,0,0,0,0,0,0.802152,0.888964,1.028361,0
0,0,0,0,0.013158,0.026316,0,0,0,0,0.506943,0.551348,0.633586,0
0,0.128814,0,0.003401,0.006803,0.006803,0.030612,0.006803,0,0,0.281559,0.288359,0.317710,1
0,0.2,0,0,0,0,0.040816,0,0,0,0.373490,0.403909,0.455463,2
0,0.10733,0,0,0.002625,0.002625,0.007874,0,0,0,0.508266,0.555153,0.635598,1
0.003521,0.005282,0.001764,0.001764,0.001764,0.003527,0,0,0,0,0.573330,0.633987,0.731307,1
0,0,0,0,0.045455,0.045455,0,0.011364,0,0,0.342368,0.362835,0.414555,0
0.012712,0.09322,0,0,0.004255,0,0.021277,0,0,0,0.127881,0.140540,0.141316,0
0,0.196721,0,0,0.016667,0.016667,0.016667,0,0,0,0.202427,0.212884,0.234686,0
0.00339,0.016949,0,0.003401,0,0,0.003401,0.003401,0,0,0.344036,0.383144,0.435209,0
0,0.026087,0,0,0,0,0.002907,0,0,0,0.744324,0.825579,0.954247,0
0,0.022989,0,0,0,0,0,0.011628,0,0,0.358553,0.376778,0.425835,0
0,0.218519,0,0,0.003717,0.007435,0.011152,0.011152,0,0,0.199380,0.197418,0.213428,0
0,0.097222,0,0,0.014085,0,0.028169,0,0,0,0.467932,0.510371,0.580831,1
0,0.054131,0,0.005714,0.008571,0.002857,0.011429,0.005714,0,0,0.533276,0.584999,0.672217,2
0,0.022727,0,0,0,0,0.003257,0.003257,0,0,0.788356,0.874135,1.010926,1
