@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute mono_feature24 numeric
@attribute mono_feature33 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature841 numeric
@attribute bi_feature843 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.021802,0.011919,0.009302,0.000291,0,0,0.009014,0.002326,0,0.712700,0.762722,0.907330,2
0.036232,0.086957,0.050725,0,0,0,0.054545,0.021818,0,0.503566,0.534217,0.630244,0
0.011659,0.087892,0.099552,0,0,0,0.060144,0.025135,0,0.184068,0.190893,0.204513,0
0.115108,0.068345,0.010791,0,0,0.00361,0.057762,0.00361,0,0.249939,0.262761,0.296442,1
0.07343,0.021256,0.008696,0,0,0,0.014507,0.003868,0,0.315441,0.338004,0.388433,0
0.04126,0.009377,0.007877,0.000375,0.00075,0,0.006754,0.001501,0,0.645301,0.691049,0.820246,1
0,0.063333,0.083333,0.003333,0,0,0.040134,0.020067,0,0.640881,0.682388,0.808374,0
0.030941,0.032178,0.034653,0,0,0,0.022305,0.004957,0,0.152967,0.163825,0.169577,1
0,0.149254,0.079602,0,0,0,0.13,0.015,0,0.484471,0.505630,0.590993,0
0.004945,0.050209,0.031951,0.001141,0,0,0.041476,0.00723,0,0.696505,0.741547,0.879735,0
0.004135,0.012405,0.009649,0,0,0,0.008276,0.002759,0,0.793547,0.849088,1.011427,0
0.018927,0.148265,0.066246,0,0,0,0.123418,0.022152,0,0.456509,0.479487,0.563172,0
0.005484,0.091408,0.136197,0.001828,0,0,0.056725,0.029277,0,0.309708,0.320175,0.363132,0
0,0.097826,0.065217,0,0,0,0.076503,0.021858,0,0.375063,0.391366,0.452228,0
0,0.059493,0.023622,0.000875,0,0,0.052539,0.004378,0,0.651131,0.691479,0.817484,0
0.041223,0.006948,0.006021,0,0,0,0.005561,0.000927,0,0.636222,0.681149,0.806730,0
0.003745,0.074906,0.067416,0,0,0,0.06391,0.003759,0,0.603787,0.640819,0.759519,0
0,0.131522,0.108696,0.002174,0,0,0.108814,0.01741,0,0.312335,0.320394,0.363806,0
0.00995,0.164179,0.18408,0,0,0,0.125,0.03,0,0.388343,0.400159,0.466657,0
0.015135,0.122162,0.037838,0.001081,0,0,0.106061,0.010823,0,0.465482,0.488384,0.569019,0
0.003564,0.012117,0.005702,0.000713,0,0,0.009272,0.00214,0,0.848494,0.908370,1.083995,0
0,0.098859,0.072243,0.003802,0,0,0.072519,0.022901,0,0.616680,0.651264,0.768894,0
0,0.122538,0.080963,0.002188,0,0,0.089814,0.020811,0,0.303237,0.311059,0.351337,0
0,0.135,0.045,0,0,0,0.120603,0.01005,0,0.498129,0.519980,0.610052,2
0.003234,0.046079,0.01536,0,0,0,0.038026,0.002427,0,0.498466,0.530179,0.623535,0
0.001275,0.01504,0.026001,0.000255,0,0,0.008924,0.005099,0,0.771657,0.824064,0.980419,1
0,0.182825,0.044321,0.00831,0,0,0.158333,0.011111,0,0.577331,0.605503,0.717139,2
0.037223,0.084507,0.055332,0,0,0,0.067942,0.010065,0,0.393162,0.410886,0.475567,2
0,0.152174,0.217391,0.005435,0,0,0.10929,0.043716,0,0.259447,0.261416,0.297142,0
0,0.099822,0.045455,0.000891,0,0,0.089206,0.008921,0,0.539182,0.568044,0.667213,0
0.056106,0.014521,0.005941,0,0,0,0.011229,0.001321,0,0.550004,0.588545,0.694494,0
0.089655,0.158621,0.141379,0.003448,0,0,0.121107,0.038062,0,0.411417,0.427698,0.501152,0
0.009991,0.112625,0.097184,0,0,0,0.079091,0.022727,0,0.345825,0.359247,0.410085,0
0.074534,0.111801,0.074534,0,0,0,0.0875,0.0125,0,0.248725,0.255119,0.284735,0
0.006002,0.033613,0.021609,0.0006,0,0,0.025225,0.006006,0,0.685531,0.731191,0.866258,0
0,0.005692,0.001707,0,0,0,0.003986,0.000569,0,0.850507,0.910189,1.084668,0
0,0.150735,0.080882,0,0,0,0.121771,0.02214,0,0.639563,0.673914,0.797866,0
0,0.134541,0.147477,0.002587,0,0,0.09456,0.031088,0,0.256258,0.259073,0.286341,0
