@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.04918,0,0,0.016529,0,0.238717,0.250517,0.282750,0
9,0.00846,0,0,0.001695,0,0.408962,0.441793,0.505351,0
9,0.002894,0,0,0.001449,0,0.804844,0.868296,1.006107,0
9,0.011494,0,0,0.034682,0,0.405353,0.425310,0.485637,0
9,0,0,0,0.014842,0,0.222888,0.225516,0.245795,0
9,0,0,0,0,0,0.525731,0.561174,0.645264,1
9,0,0,0,0.007133,0,0.596589,0.637897,0.735745,2
9,0,0,0,0,0,0.852392,0.919168,1.066118,1
9,0,0,0,0.025641,0,0.602497,0.640503,0.737745,0
9,0,0,0,0.017685,0,0.297048,0.304512,0.339407,2
9,0,0,0,0.019608,0,0.384007,0.397474,0.453195,0
9,0.005222,0,0,0.005229,0,0.570091,0.609723,0.703240,1
9,0,0,0,0.00417,0,0.816262,0.878638,1.018968,2
9,0,0,0,0.028249,0,0.619704,0.660078,0.761372,1
9,0,0,0,0.012545,0,0.204284,0.207099,0.222837,1
9,0,0,0,0.008547,0,0.375465,0.393782,0.454953,2
9,0,0,0,0.001208,0,0.427555,0.455051,0.523005,1
9,0.020647,0,0,0,0,0.645800,0.696578,0.804365,0
9,0,0,0,0.012903,0,0.626016,0.667385,0.769367,0
9,0,0,0,0.017986,0,0.309510,0.317561,0.357681,2
9,0.119658,0,0,0,0,0.128610,0.132834,0.141527,0
9,0,0,0,0.003106,0,0.593236,0.636659,0.733143,0
9,0.00309,0,0,0.004329,0,0.763170,0.821720,0.952185,2
9,0,0,0,0.016854,0,0.626869,0.666556,0.770578,0
9,0.021127,0,0,0.010582,0,0.192951,0.200301,0.214187,0
9,0.018868,0,0,0,0,0.339077,0.362151,0.406584,0
9,0,0,0,0.002967,0,0.583882,0.624011,0.720060,0
9,0,0,0,0,0,0.828907,0.893589,1.035801,0
9,0,0,0,0.034483,0,0.561614,0.594371,0.685945,0
9,0,0,0,0.028455,0,0.223667,0.225574,0.246165,0
9,0,0,0,0.028302,0,0.224087,0.228008,0.254138,0
9,0,0,0,0.011309,0,0.547678,0.582886,0.670234,0
9,0,0,0,0.003333,0,0.747704,0.804522,0.931125,0
9,0.016129,0,0,0.043243,0,0.446626,0.470723,0.542108,0
9,0,0,0,0.02649,0,0.219122,0.221153,0.242726,0
9,0,0,0,0,0,0.472085,0.504766,0.579573,1
9,0,0,0,0,0,0.637160,0.683780,0.790510,0
9,0,0,0,0,0,0.821779,0.886114,1.027077,0
9,0,0,0,0.028736,0,0.628133,0.669076,0.774997,0
9,0,0,0,0.021818,0,0.284932,0.290497,0.324943,0
9,0,0,0,0.008065,0,0.301597,0.323925,0.362976,1
9,0,0,0,0.00367,0,0.436039,0.461997,0.532072,0
9,0.012012,0,0.000751,0.001503,0,0.640722,0.690241,0.797277,1
9,0.009569,0,0,0.019231,0,0.380390,0.401633,0.459570,0
9,0,0,0,0.022556,0,0.269571,0.278584,0.310999,0
9,0.007874,0,0,0.007937,0,0.046188,0.045836,0.037928,1
9,0.038321,0,0,0.003656,0,0.261726,0.282507,0.313556,0
9,0.04497,0,0,0.000763,0,0.477700,0.515816,0.593374,0
9,0.006329,0,0,0.012739,0,0.390888,0.417874,0.476109,0
9,0,0,0,0.026168,0,0.288046,0.295311,0.329384,0
9,0,0,0,0.02521,0,0.398322,0.421497,0.483904,0
9,0,0,0,0.006515,0,0.454752,0.481873,0.557097,0
9,0.00237,0,0,0.005534,0,0.757196,0.815368,0.944713,0
9,0,0,0,0.030457,0,0.631902,0.672634,0.778723,0
9,0,0,0,0.004839,0,0.290754,0.304162,0.335809,0
9,0,0,0,0.015504,0,0.359510,0.380454,0.433093,0
9,0,0,0,0.010545,0,0.467398,0.494941,0.569824,0
9,0.002913,0,0,0.002915,0,0.798724,0.860069,0.996819,0
9,0,0,0,0.027322,0,0.610431,0.649292,0.751017,0
9,0,0,0,0.013554,0,0.283912,0.295264,0.329592,0
9,0,0,0,0,0,0.357892,0.376710,0.423490,0
9,0,0,0,0.00299,0,0.511137,0.546093,0.628217,1
9,0.012163,0,0,0.004233,0,0.712107,0.767230,0.888670,2
9,0,0,0,0.005291,0,0.547997,0.583904,0.671226,0
9,0,0,0,0.022968,0,0.278405,0.286571,0.320972,1
9,0,0,0,0.012821,0,0.485525,0.514631,0.591797,0
9,0.004167,0,0,0,0,0.418114,0.442581,0.507965,0
9,0.014039,0,0,0.001081,0,0.615020,0.661465,0.763925,0
9,0,0,0,0.019481,0,0.561745,0.596749,0.689738,0
9,0.007547,0,0,0.015123,0,0.176294,0.182654,0.193552,0
