@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute mono_feature25 numeric
@attribute bi_feature327 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1039 numeric
@attribute bi_feature1041 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.003745,0.074906,0,0,0.011278,0,0,0,0.607979,0.631696,0.735961,0
0,0.131522,0.101087,0,0.01741,0.018498,0.044614,0,0.313756,0.317671,0.357067,0
0.00995,0.164179,0.004975,0,0.04,0.005,0.015,0,0.390567,0.395310,0.455533,0
0.015135,0.122162,0.086486,0,0.008658,0.00974,0.029221,0,0.468250,0.482690,0.553726,0
0.003564,0.012117,0,0,0.001427,0,0,0,0.854806,0.894719,1.048165,0
0,0.098859,0,0,0.026718,0,0,0,0.620847,0.642408,0.745938,0
0,0.122538,0.09628,0,0.015334,0.013143,0.046002,0,0.304596,0.308565,0.344847,0
0,0.135,0.085,0,0.01005,0.005025,0.01005,0,0.501166,0.513906,0.594608,2
0.003234,0.046079,0.05578,0,0.002427,0.007282,0.023463,0,0.501787,0.523194,0.604899,0
0.001275,0.01504,0.005608,0,0.005099,0.001785,0.00357,0,0.777278,0.811964,0.948852,1
0,0.182825,0.060942,0,0.008333,0,0.002778,0,0.581050,0.597679,0.696958,2
0.037223,0.084507,0.077465,0,0.011072,0.008052,0.014595,0,0.395409,0.406390,0.463996,2
0,0.152174,0.005435,0,0.027322,0,0,0,0.260612,0.258877,0.292205,0
0,0.099822,0.043672,0,0.007136,0.006244,0.015165,0,0.542652,0.560816,0.648240,0
0.056106,0.014521,0.013201,0,0.001321,0.002642,0.01321,0,0.553869,0.580155,0.672031,0
0.089655,0.158621,0,0,0.038062,0,0,0,0.413887,0.422166,0.487884,0
0.009991,0.112625,0.049955,0,0.021818,0.005455,0.024545,0,0.347597,0.355627,0.400508,0
0.074534,0.111801,0.043478,0,0.0125,0.01875,0.0625,0,0.249775,0.253001,0.278970,0
0.006002,0.033613,0.029412,0,0.004805,0.007207,0.015616,0,0.690387,0.720787,0.838772,0
0,0.005692,0.014229,0,0.001139,0.003986,0.011959,0,0.856787,0.896668,1.049107,0
0,0.150735,0.003676,0,0.02583,0,0.00369,0,0.643853,0.664691,0.774018,0
0,0.134541,0.086675,0,0.032383,0.015544,0.050518,0,0.257173,0.257398,0.282356,0
0,0.098837,0.081395,0,0.017544,0.005848,0.035088,0,0.258498,0.262374,0.291608,0
0.020558,0.093979,0.026432,0,0.005878,0.002939,0.011756,0,0.539538,0.559600,0.646753,0
0.021831,0.004245,0.005458,0,0.00182,0.002427,0.009709,0,0.748825,0.784121,0.916689,0
0.058309,0.037901,0,0,0.01462,0,0,0,0.398209,0.414752,0.474978,0
