@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature27 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.004004,0.04004,0,0,0.003006,0,0.658062,0.689804,0.808961,0
0,0.031309,0,0,0.00095,0,0.827053,0.869361,1.024217,0
0,0.006135,0,0,0.037037,0,0.607064,0.629819,0.739037,0
0,0.125,0,0,0.010799,0,0.233168,0.232360,0.255892,0
0,0.097087,0,0,0.019608,0,0.226891,0.230496,0.256990,0
0.013464,0.029376,0,0,0.007353,0,0.504049,0.525684,0.613890,0
0.017189,0.016178,0,0,0.001012,0,0.719955,0.756844,0.890979,0
0.038835,0,0,0,0.009756,0,0.374307,0.390782,0.451949,0
0.013722,0.085763,0,0,0.024055,0,0.233744,0.232455,0.255415,0
0.038647,0.043478,0,0,0.009709,0,0.502403,0.526293,0.615296,2
0,0.068493,0,0,0.007843,0,0.410832,0.425713,0.490054,0
0,0.017658,0,0,0,0,0.834502,0.877448,1.033909,0
0,0.044872,0,0,0.032258,0,0.510166,0.529612,0.619574,0
0,0.181034,0,0,0.023758,0,0.273855,0.277841,0.307927,0
0,0.2,0,0,0,0,0.111326,0.113406,0.117325,0
0,0.05915,0,0,0.007407,0,0.573216,0.599996,0.702649,0
0.007154,0.030207,0,0,0.001591,0,0.689455,0.724594,0.851270,0
0.017647,0,0,0,0.023669,0,0.496900,0.513418,0.600318,0
0,0.144444,0,0,0.03118,0,0.217199,0.213416,0.237695,0
0,0.147368,0,0,0,0,0.440467,0.456348,0.527365,0
0,0.081349,0,0,0.007952,0,0.550384,0.574342,0.669536,0
0,0.008559,0,0,0.002857,0,0.872850,0.917286,1.082441,0
0,0.012987,0,0,0.019608,0,0.575645,0.596793,0.700229,0
0,0.105085,0,0,0.013582,0,0.310075,0.313172,0.354063,1
0,0.13,0,0,0,0,0.428904,0.445933,0.514670,2
0,0.090314,0,0,0.003932,0,0.568899,0.594239,0.693345,1
0.007042,0.007042,0,0,0.002643,0,0.648546,0.681142,0.801737,1
0.027933,0,0,0,0.033708,0,0.419086,0.429998,0.501872,0
0.023256,0.086681,0,0,0.004237,0,0.152188,0.161847,0.169146,0
0.04918,0.131148,0,0,0.016529,0,0.240226,0.247407,0.282750,0
0.00846,0.015228,0,0,0.001695,0,0.411919,0.434893,0.505351,0
0.002894,0.018813,0,0,0.001449,0,0.811826,0.853726,1.006107,0
0.011494,0.022989,0,0,0.034682,0,0.408461,0.419839,0.485637,0
0,0.155556,0,0,0.014842,0,0.224164,0.224143,0.245795,0
0,0.083333,0,0,0,0,0.530083,0.552757,0.645264,1
0,0.041311,0,0,0.007133,0,0.601517,0.627970,0.735745,2
0,0.019449,0,0,0,0,0.859840,0.903753,1.066118,1
0,0.050955,0,0,0.025641,0,0.607560,0.631075,0.737745,0
0,0.120385,0,0,0.017685,0,0.299065,0.301846,0.339407,2
0,0.029126,0,0,0.019608,0,0.387083,0.393496,0.453195,0
0.005222,0.046997,0,0,0.005229,0,0.574752,0.600289,0.703240,1
0,0.009167,0,0,0.00417,0,0.823356,0.864120,1.018968,2
0,0.050562,0,0,0.028249,0,0.624901,0.650093,0.761372,1
0,0.236136,0,0,0.012545,0,0.205447,0.205953,0.222837,1
0,0.016949,0,0,0.008547,0,0.378259,0.388773,0.454953,2
0,0.048251,0,0,0.001208,0,0.430830,0.448386,0.523005,1
0.020647,0.026153,0,0,0,0,0.651271,0.684975,0.804365,0
0,0.032051,0,0,0.012903,0,0.631286,0.657297,0.769367,0
0,0.073609,0,0,0.017986,0,0.311622,0.314781,0.357681,2
0.119658,0.111111,0,0,0,0,0.129129,0.131809,0.141527,0
0,0.045502,0,0,0.003106,0,0.598091,0.626608,0.733143,0
0.00309,0.008653,0,0,0.004329,0,0.769749,0.808133,0.952185,2
0,0,0,0,0.016854,0,0.632171,0.656660,0.770578,0
0.021127,0.112676,0,0,0.010582,0,0.193776,0.198700,0.214187,0
0.018868,0.207547,0,0,0,0,0.341434,0.356873,0.406584,0
0,0.066667,0,0,0.002967,0,0.588692,0.614356,0.720060,0
0,0.018025,0,0,0,0,0.836122,0.878679,1.035801,0
0,0.006849,0,0,0.034483,0,0.566196,0.585875,0.685945,0
0,0.21501,0,0,0.028455,0,0.224949,0.224222,0.246165,0
0,0.065421,0,0,0.028302,0,0.225506,0.226191,0.254138,0
0,0.077419,0,0,0.011309,0,0.552150,0.574187,0.670234,0
0,0.023307,0,0,0.003333,0,0.754152,0.791320,0.931125,0
0.016129,0,0,0,0.043243,0,0.450166,0.464159,0.542108,0
0,0.129956,0,0,0.02649,0,0.220387,0.219685,0.242726,0
0,0.132812,0,0,0,0,0.475671,0.497123,0.579573,1
0,0.026897,0,0,0,0,0.642483,0.672831,0.790510,0
0,0.013889,0,0,0,0,0.828938,0.871317,1.027077,0
0,0.005714,0,0,0.028736,0,0.633384,0.658944,0.774997,0
0,0.112523,0,0,0.021818,0,0.286797,0.288175,0.324943,0
0,0.056,0,0,0.008065,0,0.303336,0.319477,0.362976,1
0,0.047619,0,0,0.00367,0,0.439403,0.455454,0.532072,0
0.012012,0.012763,0,0.000751,0.001503,0,0.646120,0.679022,0.797277,1
0.009569,0.033493,0,0,0.019231,0,0.383340,0.396109,0.459570,0
0,0.171642,0,0,0.022556,0,0.271283,0.275853,0.310999,0
0.007874,0.047244,0,0,0.007937,0,0.045745,0.046509,0.037928,1
0.038321,0.041971,0,0,0.003656,0,0.263067,0.278683,0.313556,0
0.04497,0.016006,0,0,0.000763,0,0.481606,0.507302,0.593374,0
0.006329,0.031646,0,0,0.012739,0,0.393777,0.411825,0.476109,0
0,0.108209,0,0,0.026168,0,0.290036,0.292741,0.329384,0
0,0.038168,0,0,0.023077,0,0.521717,0.540342,0.631890,0
0,0.044321,0,0,0.009709,0,0.586779,0.611664,0.716708,0
0.003182,0.009547,0,0,0.003185,0,0.746953,0.783106,0.922293,0
0,0,0,0,0.01227,0,0.616589,0.639413,0.749625,0
0.00708,0.139823,0,0,0.019504,0,0.234588,0.236331,0.261366,0
0,0.018018,0,0,0.018182,0,0.422408,0.432328,0.502237,1
0,0.156069,0,0,0.005792,0,0.373316,0.386501,0.441647,0
0.002796,0.011184,0,0.000933,0.003731,0,0.776650,0.815061,0.960578,0
0,0.013333,0,0,0.020134,0,0.527863,0.545150,0.636724,0
0.001957,0.138943,0,0,0.017647,0,0.267396,0.269657,0.304295,0
0,0.041667,0,0,0.02521,0,0.401375,0.415641,0.483904,0
0,0.042276,0,0,0.006515,0,0.458296,0.475062,0.557097,0
0.00237,0.013428,0,0,0.005534,0,0.763755,0.801860,0.944713,0
0,0.005051,0,0,0.030457,0,0.637186,0.662350,0.778723,0
0,0.236715,0,0,0.004839,0,0.292687,0.300828,0.335809,0
0,0.123077,0,0,0.015504,0,0.362177,0.375279,0.433093,0
0,0.066667,0,0,0.010545,0,0.471058,0.488057,0.569824,0
0.002913,0.020388,0,0,0.002915,0,0.805661,0.845826,0.996819,0
0,0.016304,0,0,0.027322,0,0.615477,0.639453,0.751017,0
0,0.165414,0,0,0.013554,0,0.285693,0.292137,0.329592,0
0,0.175258,0,0,0,0,0.360598,0.371955,0.423490,0
0,0.070149,0,0,0.00299,0,0.515212,0.537742,0.628217,1
0.012163,0.00899,0,0,0.004233,0,0.718250,0.754508,0.888670,2
0,0.057895,0,0,0.005291,0,0.552449,0.575183,0.671226,0
0,0.160494,0,0,0.022968,0,0.280198,0.283909,0.320972,1
0,0.006369,0,0,0.012821,0,0.489500,0.507340,0.591797,0
0.004167,0.08125,0,0,0,0,0.421250,0.436369,0.507965,0
