@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature33 numeric
@attribute bi_feature10 numeric
@attribute bi_feature12 numeric
@attribute bi_feature165 numeric
@attribute bi_feature735 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1281 numeric
@attribute bi_feature1384 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.032787,0,0,0,0,0.016667,0,0.016667,0.016667,0,0.202628,0.212184,0.234686,0
0.00339,0.013559,0,0,0.006803,0.003401,0,0.003401,0.003401,0.003401,0,0.344608,0.377978,0.435209,0
0,0,0,0,0.002907,0,0,0,0,0,0,0.745519,0.815124,0.954247,0
0,0.011494,0,0,0,0,0,0.011628,0,0,0,0.359248,0.374264,0.425835,0
0,0.022222,0,0,0,0,0.007435,0.011152,0,0,0,0.199707,0.198216,0.213428,0
0,0,0,0,0,0,0,0,0,0,0,0.468586,0.505598,0.580831,1
0,0.014245,0,0,0,0.005714,0.002857,0.005714,0.005714,0,0,0.534112,0.578695,0.672217,2
0,0.003247,0,0,0,0,0,0.003257,0,0.003257,0,0.789629,0.863132,1.010926,1
0,0.038462,0,0,0,0,0,0.012987,0,0,0,0.535558,0.571462,0.661069,0
0,0.012862,0,0,0,0,0.009677,0,0,0,0,0.277261,0.281928,0.310625,2
0,0.058824,0,0,0,0.02,0,0.02,0.02,0,0,0.343367,0.350429,0.396236,0
0,0.013055,0,0,0,0,0.007853,0.007853,0,0,0,0.510493,0.553324,0.642765,1
0,0.006667,0,0,0,0,0.003339,0.001669,0.001669,0,0,0.752325,0.820471,0.960342,2
0,0.022472,0,0,0,0,0,0,0,0,0,0.557766,0.597068,0.692063,1
0,0.02509,0,0,0,0.003597,0.010791,0,0.003597,0,0,0.172942,0.172330,0.180615,1
0,0,0,0,0,0,0.017241,0,0,0,0,0.323126,0.341911,0.391400,2
0,0.002415,0,0,0.002421,0.002421,0.002421,0.002421,0,0,0,0.356969,0.385960,0.447439,1
0.009642,0,0,0,0,0,0,0,0,0,0,0.572140,0.625091,0.729441,0
0,0.025641,0,0,0,0.025974,0,0.012987,0,0,0,0.574903,0.616792,0.714067,0
0,0.010791,0,0,0,0,0,0.01083,0,0,0.00361,0.278367,0.281517,0.313266,2
0.103448,0.034483,0,0,0,0,0,0,0.017544,0,0,0.087063,0.087403,0.087669,0
0,0.008282,0,0,0,0.004149,0.002075,0.002075,0.004149,0,0,0.533749,0.580605,0.673933,0
0,0.003708,0,0,0,0,0.00495,0.001238,0.001238,0.001238,0,0.701468,0.765327,0.895471,2
0,0.022472,0,0,0,0,0.011364,0,0,0,0,0.563952,0.603743,0.701722,0
0.003521,0.007042,0,0,0,0,0,0.003534,0,0,0,0.176192,0.181767,0.192187,0
0,0,0,0,0,0,0,0,0,0,0,0.266798,0.284982,0.316910,0
0,0.005935,0,0,0,0,0.005952,0.002976,0,0,0,0.516091,0.559986,0.650944,0
0,0.001567,0,0,0,0,0,0.00157,0,0,0,0.765936,0.836910,0.979847,0
0,0.041096,0,0,0,0,0,0.027778,0,0,0,0.509107,0.542921,0.627924,0
0,0.020325,0,0,0,0,0.004082,0.004082,0.004082,0.004082,0,0.205068,0.202892,0.215394,0
0,0.018868,0,0,0,0.019231,0.038462,0.019231,0,0,0,0.171236,0.171299,0.186024,0
0,0.009677,0,0,0,0,0.016181,0,0.003236,0,0,0.485949,0.522592,0.604971,0
0,0.002222,0,0,0,0.002227,0.002227,0.002227,0,0,0,0.678404,0.739925,0.864103,0
0,0.021505,0,0,0,0,0.032609,0.01087,0,0,0,0.406889,0.431092,0.497352,0
0,0.017621,0,0,0,0,0.026549,0,0.004425,0,0,0.192202,0.193954,0.206826,0
0,0,0,0,0,0,0,0,0,0,0,0.413563,0.446856,0.512994,1
0,0,0,0,0,0,0,0,0,0,0,0.571116,0.622013,0.726220,0
0,0.001208,0,0,0,0,0,0,0,0.001209,0,0.759299,0.830173,0.971961,0
0,0.011494,0,0,0,0,0.011628,0.011628,0,0,0,0.564516,0.605775,0.704096,0
0,0.003636,0,0,0,0,0.007299,0.00365,0,0,0,0.260238,0.260450,0.286153,0
0,0,0,0,0,0,0,0,0,0,0,0.248084,0.270282,0.301032,1
0,0.003663,0,0,0,0,0,0,0,0.003676,0,0.364525,0.393098,0.455354,0
0.007508,0.003003,0,0,0.001504,0,0,0,0.001504,0,0,0.577660,0.630141,0.734340,1
0,0.038462,0,0,0,0.019417,0.009709,0.009709,0.019417,0.009709,0,0.311912,0.330463,0.377879,0
0,0,0,0,0,0,0,0,0,0,0,0.252296,0.258916,0.282224,0
0,0.015873,0,0,0,0,0,0,0,0,0,0.050237,0.049210,0.038808,1
0.025547,0.00365,0,0,0.010989,0,0,0,0,0,0,0.208430,0.228470,0.252203,0
0.022866,0.001524,0,0,0,0,0,0,0,0,0,0.417281,0.456137,0.529320,0
0,0,0,0,0,0,0.012821,0,0,0,0,0.356848,0.383564,0.436569,0
0,0.014925,0,0,0,0.003745,0.011236,0.007491,0.003745,0,0,0.264258,0.268886,0.295922,0
0,0.030769,0,0,0,0,0,0,0.015625,0,0,0.471068,0.501709,0.576969,0
0,0.01108,0,0,0,0.002778,0.013889,0.002778,0.002778,0.005556,0,0.521141,0.563299,0.654931,0
0,0.020701,0,0,0,0.001595,0.00319,0.001595,0.007974,0.001595,0,0.669007,0.728087,0.850777,0
0,0.012195,0,0,0,0,0.012346,0.012346,0,0.012346,0,0.558618,0.597933,0.693866,0
0.003546,0.014184,0,0,0,0,0.014235,0.003559,0,0.003559,0,0.205397,0.207840,0.225088,0
0,0.018182,0,0,0,0,0.018519,0,0,0,0,0.368721,0.386947,0.441386,1
0,0.007722,0,0,0,0,0.007752,0.003876,0,0.003876,0,0.325248,0.344435,0.387417,0
0,0.005597,0,0,0,0.001869,0.001869,0,0.001869,0,0,0.711821,0.776112,0.907788,0
0,0.04,0,0,0,0.013514,0.013514,0.027027,0,0,0,0.476781,0.506735,0.584108,0
0,0.031373,0,0,0,0.003937,0.007874,0,0.007874,0,0,0.234925,0.239739,0.263195,0
0,0,0,0,0,0,0,0,0,0,0,0.335275,0.358723,0.408029,0
0,0.006515,0,0,0,0,0.009804,0,0,0,0,0.380481,0.409675,0.475394,0
0,0.00316,0,0,0,0,0.001582,0.001582,0,0.001582,0,0.689114,0.751467,0.878984,0
0,0,0,0,0,0,0.040816,0,0,0,0,0.575046,0.618452,0.719557,0
0,0.012903,0,0,0,0,0,0,0.003236,0.006472,0,0.265486,0.277144,0.305017,0
0,0,0,0,0,0,0,0,0,0.015625,0,0.304551,0.324322,0.365791,0
0,0.024561,0,0,0,0,0.014085,0.014085,0.003521,0.003521,0,0.398593,0.427306,0.495150,0
0.001942,0.003883,0,0,0,0,0,0.001946,0,0,0,0.735998,0.802805,0.939194,0
0,0.01087,0,0,0,0,0.032967,0.010989,0,0,0,0.549825,0.591827,0.688456,0
0,0.021084,0,0,0,0,0.006042,0.003021,0.003021,0.003021,0,0.253164,0.262565,0.291168,0
0,0,0,0,0,0,0,0,0,0,0,0.315895,0.332320,0.368049,0
0,0.01194,0,0,0,0,0.005988,0.005988,0,0.008982,0,0.440722,0.477204,0.552612,1
0.004233,0.003175,0.001059,0,0,0,0,0,0.001059,0,0,0.646157,0.705120,0.824627,2
0,0.021053,0,0,0,0,0,0,0,0,0,0.490977,0.527642,0.608987,0
0,0.014134,0,0,0,0,0.014184,0,0.003546,0.003546,0,0.247869,0.253854,0.279536,1
0,0.012821,0,0,0,0,0.025974,0,0,0,0,0.434923,0.464078,0.532350,0
0,0.008333,0,0,0,0.004184,0,0,0.004184,0,0,0.350374,0.377195,0.435365,0
0.00432,0.006479,0,0,0.002165,0.004329,0,0.002165,0.002165,0,0,0.539642,0.587201,0.684392,0
0,0.012987,0,0,0,0,0.013158,0,0,0,0,0.490977,0.526227,0.608796,0
0.003774,0.015094,0,0,0.003788,0.003788,0.003788,0.003788,0.007576,0,0,0.152810,0.156800,0.161618,0
0,0,0,0,0,0,0.010526,0,0,0,0,0.490842,0.517583,0.595565,1
0,0.021277,0,0,0,0.007117,0.003559,0.003559,0.007117,0,0,0.362259,0.389258,0.450343,0
