@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature843 numeric
@attribute bi_feature888 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.001359,0,0,0.002719,0,0.00136,0,0.762297,0.818832,0.981701,2
9,0,0,0,0.017341,0.00578,0.011561,0,0.571270,0.605046,0.719192,0
9,0,0,0,0.008696,0,0.010435,0,0.273841,0.280516,0.313953,0
9,0,0,0,0.014388,0,0,0,0.489118,0.515387,0.611367,2
9,0,0,0,0.00519,0.000865,0.002595,0,0.567035,0.603988,0.720396,1
9,0,0,0,0.001649,0,0.000824,0,0.737358,0.792276,0.947565,1
9,0,0,0,0.046154,0,0.038462,0,0.537328,0.565282,0.673155,0
9,0,0,0,0.021201,0,0.021201,0,0.288713,0.293831,0.332787,0
9,0,0,0,0.030612,0,0.010204,0,0.410173,0.429857,0.506973,1
9,0.005525,0,0,0.011065,0,0.006916,0,0.460082,0.487548,0.578067,0
9,0.021898,0,0,0.00487,0,0.002435,0,0.641894,0.688958,0.824179,0
9,0,0,0,0.023529,0,0.023529,0,0.467656,0.493013,0.581764,0
9,0,0,0,0.007968,0.003984,0.007968,0,0.301760,0.313333,0.357969,0
9,0,0,0,0.005181,0,0.005181,0,0.605184,0.646951,0.773585,0
9,0,0,0,0.010029,0,0.008596,0,0.566858,0.603652,0.716688,0
9,0,0,0,0.003375,0.001125,0.00225,0,0.835786,0.898673,1.079476,0
9,0,0,0,0,0.005587,0,0,0.680002,0.729805,0.873889,0
9,0,0,0,0.009766,0.003906,0.009766,0,0.281894,0.290989,0.328851,0
9,0,0,0,0.021429,0.007143,0.007143,0,0.348212,0.366720,0.429613,0
9,0.008172,0,0,0.009202,0,0.00818,0,0.411800,0.434899,0.509566,0
9,0,0,0,0.004678,0,0.003509,0,0.807009,0.867159,1.041116,0
9,0,0,0,0.034884,0,0.023256,0,0.584325,0.617294,0.737591,0
9,0.002028,0,0,0.012195,0,0.020325,0,0.241103,0.244982,0.273212,0
9,0,0,0,0.035398,0,0.035398,0,0.333596,0.348119,0.408351,0
9,0.012563,0,0,0.007547,0,0.005031,0,0.535454,0.570162,0.680382,0
9,0,0,0,0.002427,0.000809,0.001618,0,0.769967,0.827767,0.991778,0
9,0,0,0,0.027933,0,0.027933,0,0.656261,0.696664,0.830608,0
9,0,0,0,0.016418,0,0.014925,0,0.363000,0.376282,0.436881,0
9,0,0,0,0.014815,0,0,0,0.359686,0.379346,0.446137,0
9,0,0,0,0.008865,0,0,0,0.533651,0.568560,0.675250,0
9,0.001966,0,0,0.002458,0,0.00295,0,0.773759,0.831595,0.998161,2
9,0,0,0,0.034091,0.005682,0.022727,0,0.628523,0.667605,0.797469,0
9,0,0,0,0.020121,0,0.016097,0,0.303499,0.314889,0.364910,0
9,0,0,0,0.007937,0,0.007937,0,0.465889,0.495007,0.582097,0
9,0,0,0,0.005219,0,0.007307,0,0.563999,0.599697,0.715635,0
9,0.040695,0,0,0.00183,0,0.001372,0,0.274883,0.299308,0.350206,1
9,0.106742,0,0,0,0,0,0,0.030945,0.041551,0.032468,0
9,0.021452,0,0,0,0,0,0,0.043179,0.058101,0.046334,0
9,0.175573,0,0,0,0.007692,0,0,0.093022,0.096296,0.101223,0
9,0.047927,0,0.001297,0.005188,0,0.003891,0,0.348985,0.372140,0.437741,1
9,0.016473,0,0,0.002424,0,0.002908,0,0.678741,0.730058,0.875138,2
9,0.030303,0,0,0.018293,0,0.006098,0,0.466490,0.498354,0.591954,0
9,0.005979,0,0,0.020958,0.001497,0.022455,0,0.164591,0.170787,0.182596,0
9,0.08982,0.006024,0,0,0,0,0,0.208509,0.220471,0.251378,1
9,0.057971,0,0,0.001613,0,0.001613,0,0.286230,0.308937,0.358967,0
9,0.029375,0.000625,0,0,0,0.001251,0,0.615735,0.662679,0.793084,1
9,0,0,0,0.022346,0,0.01676,0,0.615513,0.658376,0.783617,0
9,0.02268,0,0,0.002066,0,0.004132,0,0.133161,0.143801,0.149629,1
9,0,0,0,0.02521,0,0.033613,0,0.449505,0.472455,0.556879,0
9,0.003171,0,0,0.008883,0,0.008883,0,0.666610,0.713609,0.853131,0
9,0.003448,0,0,0.001151,0.001151,0.001151,0,0.761427,0.818931,0.982496,0
9,0.010526,0,0,0.021164,0,0.010582,0,0.416178,0.439346,0.520466,0
9,0.003049,0,0,0.019847,0.001527,0.015267,0,0.289502,0.299465,0.340149,0
9,0,0,0,0.036697,0,0.018349,0,0.344352,0.362203,0.421139,0
9,0,0,0,0.005839,0,0.00292,0,0.615291,0.657738,0.784556,0
9,0.03166,0,0,0.001546,0,0.001546,0,0.601845,0.647486,0.773639,0
9,0,0,0,0,0,0.006289,0,0.564283,0.601991,0.719024,0
9,0,0,0,0.005445,0,0.009074,0,0.284151,0.292560,0.333965,0
9,0,0,0,0.033613,0,0.033613,0,0.361551,0.373055,0.435392,0
9,0.007207,0,0,0.012635,0,0.005415,0,0.424703,0.448832,0.528856,0
9,0.002375,0,0,0.003567,0,0.001189,0,0.818670,0.881060,1.059224,0
9,0,0,0,0.025478,0,0.031847,0,0.576178,0.611330,0.726217,0
9,0,0,0,0.02011,0.001828,0.010969,0,0.273530,0.282331,0.321411,0
9,0,0,0,0.008403,0,0.008403,0,0.453318,0.477332,0.566857,2
9,0.001348,0,0,0.00135,0,0.00135,0,0.466773,0.500136,0.593535,0
9,0.000425,0,0,0.003825,0.00085,0.003825,0,0.739098,0.793378,0.950959,1
9,0,0,0,0.013889,0,0.023148,0,0.545081,0.577230,0.690233,2
9,0.030176,0,0,0.00755,0.000839,0.006711,0,0.364549,0.383690,0.449305,2
9,0,0,0,0.045872,0,0.027523,0,0.239321,0.239268,0.270784,0
9,0,0,0,0.00744,0,0.008929,0,0.501223,0.531595,0.630692,0
9,0.044004,0,0,0.001101,0.001101,0.001101,0,0.511938,0.550539,0.655307,0
9,0.074713,0,0,0.046243,0,0.046243,0,0.386914,0.402159,0.471660,0
9,0.007564,0,0,0.018182,0.001515,0.015152,0,0.320305,0.334810,0.385332,0
9,0.041667,0,0,0.010526,0,0.010526,0,0.199551,0.204407,0.226813,0
9,0.004004,0,0,0.004008,0.001002,0.003006,0,0.653284,0.700420,0.836638,0
9,0,0,0,0.00095,0,0.00095,0,0.820843,0.883202,1.060335,0
9,0,0,0,0.030864,0,0.037037,0,0.602837,0.639256,0.762854,0
9,0,0,0,0.019438,0.00216,0.010799,0,0.232259,0.234339,0.259567,0
