@relation rabc_features-weka.filters.unsupervised.attribute.Remove-R1

@attribute psy_feature1 numeric
@attribute psy_feature2 numeric
@attribute psy_feature3 numeric
@attribute psy_feature4 numeric
@attribute psy_feature5 numeric
@attribute psy_feature6 numeric
@attribute psy_feature7 numeric
@attribute psy_feature8 numeric
@attribute psy_feature9 numeric
@attribute psy_feature10 numeric
@attribute psy_feature11 numeric
@attribute psy_feature12 numeric
@attribute psy_feature13 numeric
@attribute psy_feature14 numeric
@attribute psy_feature15 numeric
@attribute psy_feature16 numeric
@attribute psy_feature17 numeric
@attribute psy_feature18 numeric
@attribute child_feature1 numeric
@attribute child_feature2 numeric
@attribute child_feature3 numeric
@attribute child_feature4 numeric
@attribute child_feature5 numeric
@attribute child_feature6 numeric
@attribute child_feature7 numeric
@attribute child_feature8 numeric
@attribute child_feature9 numeric
@attribute child_feature10 numeric
@attribute child_feature11 numeric
@attribute child_feature12 numeric
@attribute child_feature13 numeric
@attribute child_feature14 numeric
@attribute child_feature15 numeric
@attribute child_feature16 numeric
@attribute child_feature17 numeric
@attribute child_feature18 numeric
@attribute joint_feature1 numeric
@attribute joint_feature2 numeric
@attribute class {0,1,2}

@data
7,0.146096,0.127097,1.591687,4.352923,0.385003,-0.555874,0.697785,4.13519,-0.687273,0.591775,2.369764,7.758543,0.089002,0.4953,0.307795,6.967091,0.40169,2,0.020774,-0.967152,0.686345,2.083786,-1.476351,-0.554699,0.477257,3.494037,-0.602172,-0.50546,0,0,-0.50546,-0.151599,0,0,-0.151599,1.212753,0,2
2,0.382151,0.854873,0.537639,2.638,0.888558,-0.277477,0.795891,3.77945,-0.31284,0.677607,0.743926,4.66267,0.593375,0.491807,0.106783,2.446291,0.407211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99456,0,0
7,0.736222,0.009956,0.962057,4.445478,0.003151,-0.227174,0.557412,4.763555,-0.250882,0.057445,0.38879,3.60073,0.040644,0.331152,0.679413,3.695992,0.317421,2,0.015598,-0.178229,0.159907,1.13509,-0.485801,0.016,0.383666,2.348204,-0.127501,-0.458471,0.004051,0.321599,-0.447042,-0.151262,0.001029,0.156938,-0.159082,1.003526,1,0
2,0.48227,0.03638,0.654568,4.433939,0.100736,0.340035,0.592148,5.490695,0.555186,-0.043516,0.292894,3.274704,0.011246,-0.144013,1.204713,3.742179,0.071633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.151497,0,2
11,0.392641,-0.00104,0.965628,5.38112,-0.093432,0.385893,1.062563,4.516361,0.611451,-0.044267,1.378883,4.737869,0.222714,0.161859,1.214902,5.582357,0.373552,1,0.024357,-0.886822,1.254479,4.175038,-1.313144,1.219584,0.178536,1.842278,1.322486,1.279973,0.396175,2.223623,1.428821,0.35215,0.005007,0.308911,0.366821,1.472258,1,1
9,0.183825,-0.60243,0.70419,3.762812,-0.940066,-0.838481,0.595427,3.752936,-1.051597,0.24424,1.050929,6.474843,0.154873,0.208376,0.880223,5.936489,-0.00116,1,0.009059,-0.111095,0.038654,0.621202,-0.027793,0.004715,0.520608,2.624264,0.221137,-0.681152,0.000618,0.134765,-0.6749,-0.280182,0.000004,0.011568,-0.279676,0.999677,0,1
2,0.412747,1.09728,0.284694,2.927803,1.116517,0.177586,0.715505,3.511173,0.423014,0.217515,0.146695,1.629406,0.321725,0.141042,0.398727,2.185763,0.015935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.749903,0,0
6,0.721283,0.154677,1.061912,4.589115,0.183944,-0.019329,0.747023,4.083154,0.134559,-0.097963,0.696894,3.916443,-0.263785,-0.382912,0.481169,3.376651,-0.432215,2,0.020437,-0.747775,0.682681,1.847767,-0.167541,-0.452665,0.862733,2.573844,-0.686832,-0.388855,0.00024,0.066392,-0.385552,-0.147315,0.000367,0.062399,-0.139313,0.987177,1,0
3,0.565657,0.175963,0.994171,4.827151,0.086828,0.390419,1.38438,9.917293,0.539487,-0.342532,0.249408,2.062371,-0.367414,-0.161432,0.111443,1.873239,-0.167486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.616996,0,1
8,0.427388,-0.008638,0.900931,4.05231,0.02672,0.278826,1.131921,5.545071,0.232606,-0.435191,1.032689,3.65886,-0.737823,-0.482677,1.674217,4.780534,-0.10944,4,0.086969,-0.108267,0.541055,4.462056,-0.058425,-0.223901,1.059446,4.715075,-0.355114,0.216158,0.936205,2.912171,0.302881,0.076325,0.019707,0.542431,0.049001,0.921147,1,0
